time, roll, pitch, heading 
1574070986.378999, 0.629529, -4.967081, 0.000000
1574070986.392171, 0.342907, -4.078538, 0.000000
1574070986.407588, 0.483344, -4.982248, 0.000000
1574070986.419510, -0.418003, -4.745342, 0.000000
1574070986.432615, 0.513950, -4.542300, 0.000000
1574070986.445703, -0.275275, -4.994488, 0.000000
1574070986.458777, 0.507584, -4.451159, 0.000000
1574070986.473121, 1.170580, -5.098617, 0.000000
1574070986.485336, 0.350353, -4.678041, 0.000000
1574070986.502013, 1.276957, -4.848166, 0.000000
1574070986.512866, 0.384901, -4.623182, 0.000000
1574070986.525894, 1.028703, -3.905561, 0.000000
1574070986.540048, 0.350197, -4.510117, 0.000000
1574070986.553086, -0.530950, -4.743085, 0.000000
1574070986.566377, 0.403361, -4.580923, 0.000000
1574070986.579624, -0.134024, -5.312968, 0.000000
1574070986.592702, 0.334966, -4.492776, 0.000000
1574070986.606955, -0.232678, -5.202538, 0.000000
1574070986.619921, 0.431829, -4.526651, 0.000000
1574070986.633014, 1.375205, -4.328566, 0.000000
1574070986.647250, 0.477087, -4.478230, 0.000000
1574070986.662653, -0.436896, -4.435442, 0.000000
1574070986.673246, 0.506984, -4.489595, 0.000000
1574070986.687497, 0.429069, -5.397679, 0.000000
1574070986.700686, 0.498360, -4.466074, 0.000000
1574070986.715098, 0.062634, -5.261968, 0.000000
1574070986.726922, 0.760892, -4.600730, 0.000000
1574070986.740994, -0.152454, -4.558302, 0.000000
1574070986.753981, 0.524383, -3.893677, 0.000000
1574070986.767710, 0.504334, -4.806357, 0.000000
1574070986.783161, 0.135208, -3.951230, 0.000000
1574070986.794034, 0.559342, -4.769813, 0.000000
1574070986.809690, -0.355755, -4.772340, 0.000000
1574070986.820783, 0.539176, -4.462894, 0.000000
1574070986.833901, 0.527608, -3.509403, 0.000000
1574070986.848461, 0.270446, -4.380342, 0.000000
1574070986.863919, 0.915821, -5.054600, 0.000000
1574070986.874540, 0.025046, -4.829369, 0.000000
1574070986.888592, 0.875933, -4.404871, 0.000000
1574070986.901737, -0.027916, -4.248458, 0.000000
1574070986.915690, 0.446699, -5.042614, 0.000000
1574070986.928662, -0.106770, -4.280304, 0.000000
1574070986.941610, 0.490023, -4.997947, 0.000000
1574070986.955696, 0.232958, -4.099175, 0.000000
1574070986.969693, 0.463653, -4.987715, 0.000000
1574070986.981713, 0.599903, -4.057562, 0.000000
1574070986.995836, 0.615599, -4.970068, 0.000000
1574070987.013537, -0.080144, -4.360531, 0.000000
1574070987.023012, 0.861897, -4.439053, 0.000000
1574070987.036172, 0.154273, -5.032976, 0.000000
1574070987.049374, 1.102804, -4.977261, 0.000000
1574070987.062468, 0.310451, -4.503409, 0.000000
1574070987.076826, -0.126252, -5.295378, 0.000000
1574070987.089861, 0.651549, -4.750382, 0.000000
1574070987.102951, 0.760411, -3.816041, 0.000000
1574070987.117271, 0.716528, -4.726906, 0.000000
1574070987.130262, 0.313546, -3.890279, 0.000000
1574070987.143226, 0.562545, -4.787405, 0.000000
1574070987.156077, -0.316607, -5.032215, 0.000000
1574070987.170285, 0.539926, -4.627702, 0.000000
1574070987.183378, -0.345596, -4.387255, 0.000000
1574070987.197284, 0.481765, -4.829474, 0.000000
1574070987.210433, 0.614494, -3.899439, 0.000000
1574070987.225655, 0.708671, -4.808777, 0.000000
1574070987.237577, -0.121323, -4.376156, 0.000000
1574070987.250875, 0.519131, -5.050553, 0.000000
1574070987.263931, 0.106112, -4.213803, 0.000000
1574070987.276980, 0.747186, -4.885939, 0.000000
1574070987.322397, 0.037856, -4.292746, 0.000000
1574070987.323748, 0.971743, -4.115818, 0.000000
1574070987.325087, 0.470584, -4.871634, 0.000000
1574070987.331280, 0.205316, -3.975645, 0.000000
1574070987.344505, 0.398033, -4.887661, 0.000000
1574070987.359123, 1.271784, -5.241927, 0.000000
1574070987.374471, 0.543549, -4.675388, 0.000000
1574070987.385900, -0.326193, -4.949099, 0.000000
1574070987.398205, 0.542222, -4.561752, 0.000000
1574070987.411417, 0.952300, -3.709562, 0.000000
