time, a_x, a_y, a_z, g_x, g_y, g_z, deltat 
1574070986.377268, 0.074219, 0.004395, 0.881836, 0.915527, 0.549316, -3.967285, 0.013487
1574070986.391265, 0.065430, 0.005859, 0.882324, 0.793457, 0.610352, -4.150391, 0.013452
1574070986.404264, 0.071289, 0.006348, 0.889648, 1.159668, 1.159668, -4.028320, 0.013420
1574070986.418603, 0.077148, 0.002441, 0.899414, 0.915527, 0.976562, -4.089355, 0.013592
1574070986.430655, 0.072754, 0.000000, 0.893066, 1.159668, 0.793457, -4.150391, 0.013402
1574070986.444957, 0.071777, 0.004883, 0.881348, 0.854492, 0.915527, -3.906250, 0.013382
1574070986.457894, 0.070801, 0.004883, 0.882812, 0.976562, 1.037598, -3.845215, 0.013407
1574070986.471991, 0.073242, 0.011719, 0.890137, 0.793457, 1.037598, -3.906250, 0.013373
1574070986.484382, 0.071777, 0.001465, 0.897949, 0.732422, 0.793457, -4.028320, 0.013385
1574070986.501117, 0.073730, 0.011719, 0.885254, 0.854492, 0.976562, -3.967285, 0.013364
1574070986.512118, 0.071777, 0.003906, 0.889648, 0.915527, 1.159668, -3.967285, 0.013412
1574070986.525048, 0.068848, 0.008789, 0.890625, 1.098633, 0.976562, -3.967285, 0.013573
1574070986.539273, 0.068359, 0.007812, 0.893066, 0.793457, 1.037598, -3.845215, 0.013393
1574070986.552455, 0.071289, -0.000977, 0.881348, 0.915527, 1.098633, -3.906250, 0.013394
1574070986.565540, 0.070312, 0.008301, 0.879883, 0.976562, 0.976562, -3.967285, 0.013358
1574070986.577619, 0.072266, 0.005371, 0.887207, 0.976562, 0.732422, -3.967285, 0.013378
1574070986.591913, 0.070801, 0.004395, 0.886230, 0.915527, 1.037598, -3.967285, 0.013358
1574070986.606048, 0.073242, 0.002930, 0.895508, 0.793457, 0.915527, -4.089355, 0.013395
1574070986.618040, 0.068359, 0.008301, 0.885742, 0.854492, 0.793457, -3.967285, 0.013400
1574070986.632346, 0.068848, 0.014648, 0.889648, 0.793457, 0.854492, -4.089355, 0.013615
1574070986.645212, 0.070801, 0.000000, 0.885254, 0.976562, 0.915527, -4.211426, 0.013374
1574070986.660759, 0.068359, 0.003418, 0.874512, 0.976562, 0.793457, -4.150391, 0.013402
1574070986.671436, 0.069824, 0.012207, 0.882324, 0.915527, 0.976562, -3.906250, 0.013374
1574070986.685493, 0.079590, 0.006836, 0.887207, 0.915527, 0.793457, -3.906250, 0.013375
1574070986.698593, 0.073242, 0.007324, 0.892090, 0.793457, 0.732422, -4.028320, 0.013361
1574070986.711917, 0.074219, 0.004395, 0.875977, 0.976562, 0.976562, -3.967285, 0.013402
1574070986.726119, 0.075195, 0.008301, 0.893066, 0.915527, 0.671387, -3.845215, 0.013593
1574070986.740248, 0.070312, 0.008301, 0.875000, 0.976562, 0.976562, -4.028320, 0.013389
1574070986.753336, 0.065918, 0.002441, 0.886719, 0.915527, 0.793457, -4.028320, 0.013404
1574070986.766798, 0.069824, 0.007812, 0.893066, 0.976562, 0.793457, -3.967285, 0.013373
1574070986.780071, 0.066406, 0.004395, 0.876465, 0.915527, 0.976562, -4.089355, 0.013382
1574070986.793223, 0.069824, 0.006348, 0.884277, 0.976562, 0.854492, -4.028320, 0.013364
1574070986.808779, 0.074707, 0.001465, 0.894043, 0.854492, 0.793457, -3.906250, 0.013382
1574070986.819815, 0.072266, 0.000977, 0.892090, 0.610352, 0.854492, -3.906250, 0.013400
1574070986.833227, 0.066895, 0.008301, 0.891113, 1.098633, 0.915527, -3.967285, 0.013606
1574070986.847486, 0.070312, 0.003418, 0.893066, 1.037598, 0.976562, -4.028320, 0.013382
1574070986.862039, 0.068848, 0.005371, 0.881348, 0.976562, 0.915527, -3.906250, 0.013436
1574070986.873692, 0.074707, -0.000488, 0.883301, 0.915527, 1.037598, -3.967285, 0.013398
1574070986.886626, 0.074219, 0.001465, 0.884766, 0.915527, 0.976562, -3.967285, 0.013386
1574070986.899783, 0.066895, 0.003906, 0.887695, 0.732422, 1.159668, -4.089355, 0.013357
