time, a_x, a_y, a_z, g_x, g_y, g_z, deltat 
1574112029, 460, -31, 1692, 155, -157, -94, 0.013551
1574112029, 597, 52, 1633, 276, -283, -108, 0.013998
1574112029, 779, 101, 1595, 219, -346, -175, 0.013679
1574112029, 945, 137, 1624, 152, -363, -206, 0.013420
1574112029, 941, 116, 1576, 137, -356, -163, 0.013436
1574112029, 1073, 113, 1472, 161, -125, -22, 0.013415
1574112029, 1225, 149, 1511, 177, 104, 127, 0.013436
1574112029, 1350, 267, 1589, 132, 15, 54, 0.013441
1574112029, 1691, 292, 1716, -109, -178, -82, 0.013442
1574112029, 1960, 248, 1836, -490, -413, -305, 0.013492
1574112029, 2244, 149, 1800, -716, -431, -655, 0.013704
1574112029, 2174, -15, 1825, -763, -462, -1025, 0.013426
1574112029, 2001, -164, 1533, -708, -144, -1101, 0.013436
1574112029, 1888, -288, 1708, -714, 133, -1171, 0.013415
1574112029, 1771, -447, 1904, -651, -150, -1576, 0.013434
1574112029, 1638, -537, 1729, -512, -540, -1978, 0.013458
1574112029, 1177, -736, 1898, -663, -776, -2448, 0.013415
1574112029, 482, -921, 1725, -767, -826, -2565, 0.013490
1574112029, -77, -1040, 2116, -802, -792, -2463, 0.013652
1574112029, -271, -945, 1874, -646, -1007, -2642, 0.013436
1574112029, -842, -937, 2000, -432, -1408, -2836, 0.013416
1574112029, -1121, -743, 1742, -306, -1579, -2728, 0.013433
1574112029, -1198, -713, 1883, -514, -1344, -2606, 0.013440
1574112029, -1066, -733, 1976, -734, -832, -2363, 0.013439
1574112029, -1015, -804, 2179, -761, -196, -2208, 0.013453
1574112029, -1095, -865, 2393, -540, 110, -2050, 0.013676
1574112029, -1095, -723, 2268, -154, 393, -1785, 0.013471
1574112029, -1039, -595, 2303, -31, 653, -1560, 0.013465
1574112029, -1048, -496, 2367, -123, 751, -1414, 0.013446
1574112029, -1103, -392, 2125, -45, 870, -1232, 0.013425
1574112029, -1050, -318, 2117, 186, 1069, -916, 0.013468
1574112029, -925, -191, 2126, 262, 881, -704, 0.013424
1574112029, -797, -144, 2108, 266, 562, -575, 0.013495
1574112029, -721, -135, 1864, 176, 418, -469, 0.013645
1574112029, -606, -146, 1774, 242, 403, -240, 0.013448
1574112029, -482, -132, 1825, 217, 212, -108, 0.013416
1574112029, -389, -56, 1778, 172, 171, -36, 0.013430
1574112029, -301, -106, 1872, 1, 97, 55, 0.013440
1574112029, -130, -81, 1580, -81, 75, 80, 0.013436
1574112029, -77, -192, 1657, -111, 76, 92, 0.013443
1574112029, -45, -201, 1701, -157, 32, 155, 0.013659
1574112029, -11, -251, 1862, -195, -21, 185, 0.013442
1574112029, 124, -191, 1856, -279, -71, 156, 0.013425
1574112029, 215, -138, 1751, -360, -8, 86, 0.013439
1574112029, 169, -227, 1929, -369, 14, -10, 0.013467
1574112029, 175, -249, 1991, -221, 13, -47, 0.013496
1574112029, 161, -225, 1973, -33, 12, -118, 0.013422
1574112029, 58, -246, 1923, 245, 121, -128, 0.013478
1574112029, 63, -166, 1967, 404, 197, -96, 0.013642
1574112029, -32, -178, 2054, 402, 182, -87, 0.013442
