TIME,IOI,TEMPO,
0.00,,,
0.74,0.74,81.41103218,0.666864959
1.79,1.05,56.96311457,0.293554554
2.43,0.64,93.1768447,0.846524441
3.53,1.09,54.9149354,0.262279637
5.12,1.59,37.73836899,0
5.94,0.83,72.57609359,0.531958806
6.63,0.69,87.34530666,0.757479073
7.29,0.66,91.5953771,0.822376033
7.97,0.68,87.76527209,0.763891786
8.63,0.66,91.27209019,0.817439564
9.24,0.61,98.55691015,0.928675995
9.86,0.63,95.74703227,0.885770228
10.45,0.58,102.5965663,0.990360008
11.18,0.74,81.51226644,0.668410767
11.90,0.71,84.12887828,0.708365435
12.48,0.58,103.2278847,1
13.19,0.71,84.14012374,0.708537149
13.90,0.71,84.06515228,0.707392363
14.55,0.65,92.70098115,0.839258186
15.25,0.70,85.59125804,0.730695418
,MIN,37.73836899,
,MAX,65.48951572,
