time,est_amp,est_freq,est_phase
1572374377.998983, 128.694679, 0.037200, 0.117153
1572374378.070851, 155.030319, 0.033426, 2.951444
1572374378.115156, 193.829154, 0.028642, 5.958637
1572374378.142384, 281.690246, 0.022868, 8.816020
1572374378.279750, 297.781876, 0.018093, 11.162572
1572374378.288822, 374.590816, 0.020485, 11.590844
1572374378.318683, 414.205117, 0.022088, 12.251020
1572374378.391753, 423.519551, 0.021700, 13.496450
1572374378.460731, 372.233631, 0.021817, 14.561876
1572374378.535522, 377.433234, 0.022187, 15.566540
1572374378.600305, 376.832509, 0.021657, 16.731103
1572374378.672009, 384.611899, 0.021913, 17.782195
1572374378.756215, 404.086343, 0.022071, 18.838531
1572374378.831913, 410.842926, 0.022156, 19.986191
1572374378.902324, 425.525555, 0.022329, 21.069203
1572374378.968966, 438.899043, 0.022898, 22.053270
1572374379.042557, 452.309261, 0.023891, 23.013802
1572374379.111917, 523.544953, 0.023626, 24.236621
1572374379.172239, 538.815918, 0.022678, 25.531196
1572374379.241339, 528.703940, 0.020339, 27.030390
1572374379.320468, 430.101867, 0.017232, 28.543887
1572374379.401834, 598.639418, 0.015567, 29.903697
1572374379.462097, 619.333346, 0.015911, 30.623807
1572374379.555772, 602.075551, 0.015202, 31.568548
1572374379.623168, 626.868522, 0.016015, 32.244966
1572374379.695969, 587.071684, 0.016585, 32.911825
1572374379.768062, 606.787577, 0.017835, 33.535977
1572374379.842671, 640.964031, 0.018159, 34.280646
1572374379.912091, 629.331905, 0.016516, 35.523466
1572374379.999620, 507.935025, 0.017984, 36.090947
1572374380.068971, 492.537616, 0.017253, 37.066848
1572374380.150164, 461.436336, 0.014460, 38.437179
1572374380.236290, 429.192728, 0.013794, 39.204231
1572374380.286896, 433.904015, 0.013930, 39.912925
1572374380.359313, 477.399201, 0.013359, 40.697962
1572374380.429616, 467.482462, 0.014240, 41.289489
1572374380.498204, 497.996735, 0.016734, 41.506104
1572374380.592052, 550.970726, 0.016231, 42.461760
1572374380.643286, 588.685921, 0.018076, 42.957800
1572374380.719411, 695.955739, 0.020145, 43.487404
1572374380.813073, 766.512920, 0.020509, 44.357816
1572374380.864892, 793.958487, 0.019724, 45.514379
1572374380.955800, 789.467857, 0.019247, 46.551302
1572374381.031955, 777.589800, 0.018801, 47.615478
1572374381.103991, 840.276037, 0.017542, 48.804193
1572374381.193618, 863.843767, 0.017077, 49.730582
1572374381.260564, 843.943681, 0.016254, 50.753790
1572374381.323991, 914.756741, 0.016404, 51.572256
1572374381.399123, 915.588069, 0.016418, 52.397091
1572374381.462575, 922.019737, 0.016670, 53.158612
1572374381.539059, 908.680947, 0.016308, 54.035407
1572374381.612263, 893.777252, 0.015827, 54.939707
1572374381.683992, 874.279347, 0.016301, 55.669190
1572374381.756873, 865.981966, 0.015158, 56.610180
1572374381.867857, 860.923482, 0.013174, 57.698095
