time,palm_pos,palm_vel,span
1573752183.013688, 0.000000, 0.000000, 0.000000
1573752183.019559, 0.000000, 0.000000, 0.000000
1573752183.025736, 0.000000, 0.000000, 0.000000
1573752183.031253, 0.000000, 0.000000, 0.000000
1573752183.036654, 0.000000, 0.000000, 0.000000
1573752183.041845, 0.000000, 0.000000, 0.000000
1573752183.047043, 0.000000, 0.000000, 0.000000
1573752183.062442, 0.000000, 0.000000, 0.000000
1573752183.129558, 0.000000, 0.000000, 0.000000
1573752183.135311, 0.000000, 0.000000, 0.000000
1573752183.140827, 0.000000, 0.000000, 0.000000
1573752183.146541, 0.000000, 0.000000, 0.000000
1573752183.151921, 0.000000, 0.000000, 0.000000
1573752183.157509, 0.000000, 0.000000, 0.000000
1573752183.163170, 0.000000, 0.000000, 0.000000
1573752183.169204, 222.481705, 1.297950, 125.448333
1573752183.174693, 222.522858, 2.149731, 123.834833
1573752183.180998, 222.522858, 2.149731, 123.834833
1573752183.186803, 222.554703, 2.346590, 122.216831
1573752183.192292, 222.587738, 2.496984, 121.097386
1573752183.197706, 222.587738, 2.496984, 121.097386
1573752183.203561, 222.587738, 2.496984, 121.097386
1573752183.209161, 222.618210, 2.484257, 120.130835
1573752183.214411, 222.618210, 2.484257, 120.130835
1573752183.219979, 222.635208, 2.088972, 119.112979
1573752183.225710, 222.635208, 2.088972, 119.112979
1573752183.231153, 222.655090, 1.924042, 118.271218
1573752183.236442, 222.655090, 1.924042, 118.271218
1573752183.241703, 222.655090, 1.924042, 118.271218
1573752183.246947, 222.676132, 1.842424, 117.626389
1573752183.252270, 222.676132, 1.842424, 117.626389
1573752183.257627, 222.688477, 1.543780, 116.966261
1573752183.263472, 222.688477, 1.543780, 116.966261
1573752183.268730, 222.688477, 1.543780, 116.966261
1573752183.274079, 222.704254, 1.462705, 116.395697
1573752183.279363, 222.704254, 1.462705, 116.395697
1573752183.284619, 222.726562, 1.577472, 115.881485
1573752183.290042, 222.726562, 1.577472, 115.881485
1573752183.295651, 222.744812, 1.547058, 115.438062
1573752183.301502, 222.744812, 1.547058, 115.438062
1573752183.306894, 222.755798, 1.307734, 115.108020
1573752183.312714, 222.755798, 1.307734, 115.108020
1573752183.318146, 222.755798, 1.307734, 115.108020
1573752183.324081, 222.758926, 0.938719, 114.851203
1573752183.329526, 222.758926, 0.938719, 114.851203
1573752183.335070, 222.742706, 0.137267, 114.535397
1573752183.340389, 222.742706, 0.137267, 114.535397
1573752183.345818, 222.707764, -0.921724, 114.127067
