time, phase
1572374378.225493, 0
1572374378.338880, 1
1572374378.438430, 2
1572374378.540836, 3
1572374378.649531, 0
1572374378.746626, 1
1572374378.843119, 2
1572374378.949060, 3
1572374379.033686, 0
1572374379.135782, 1
1572374379.340560, 2
1572374379.417744, 3
1572374379.608213, 0
1572374379.695523, 1
1572374379.850332, 2
1572374380.006711, 3
1572374380.209281, 0
1572374380.361974, 1
1572374380.460370, 2
1572374380.601675, 3
1572374380.693891, 0
1572374380.815431, 1
1572374380.968680, 2
1572374381.110042, 3
1572374381.257121, 0
1572374381.377813, 1
1572374381.534606, 2
1572374381.671527, 3
1572374381.952466, 0
1572374382.056100, 1
1572374382.164576, 2
1572374382.230652, 3
1572374382.312326, 0
1572374382.374775, 1
1572374382.456696, 2
1572374382.525899, 3
1572374382.583711, 0
1572374382.704931, 1
1572374382.880821, 2
1572374383.035718, 3
1572374383.320772, 0
1572374383.452300, 1
1572374383.725419, 2
1572374383.918931, 3
1572374384.193527, 0
1572374384.304772, 1
1572374384.505075, 2
1572374384.709627, 3
1572374384.865913, 0
1572374385.014153, 1
1572374385.098437, 2
1572374385.251484, 3
1572374385.395457, 0
1572374385.529520, 1
1572374385.670169, 2
1572374385.789829, 3
1572374385.919495, 0
1572374386.023418, 1
1572374386.162396, 2
1572374386.373212, 3
1572374386.462301, 0
1572374386.568580, 1
1572374386.697860, 2
1572374386.885426, 3
1572374387.114049, 0
1572374387.300399, 1
1572374387.562904, 2
1572374387.834639, 3
1572374388.093019, 0
1572374388.304752, 1
1572374388.449125, 2
1572374388.650004, 3
1572374388.771405, 0
1572374388.886101, 1
1572374388.992627, 2
1572374389.102966, 3
1572374389.219482, 0
1572374389.323701, 1
1572374389.421307, 2
1572374389.545119, 3
1572374389.633317, 0
1572374389.715646, 1
1572374389.846594, 2
1572374390.018831, 3
1572374390.158194, 0
1572374390.283356, 1
1572374390.548218, 2
1572374390.687327, 3
1572374391.106666, 0
1572374391.311038, 1
1572374391.507867, 2
1572374391.670666, 3
1572374391.879998, 0
1572374391.999695, 1
1572374392.114724, 2
1572374392.261402, 3
1572374392.430446, 0
1572374392.552147, 1
1572374392.683220, 2
1572374392.868511, 3
1572374393.031430, 0
1572374393.128903, 1
1572374393.280862, 2
1572374393.466064, 3
1572374393.660887, 0
1572374393.834364, 1
1572374394.043250, 2
1572374394.280706, 3
1572374394.457581, 0
1572374394.586686, 1
1572374394.722102, 2
1572374394.867563, 3
1572374395.021165, 0
1572374395.164649, 1
1572374395.322146, 2
1572374395.483484, 3
1572374395.715275, 0
1572374395.930594, 1
1572374396.229526, 2
1572374396.323232, 3
1572374396.638055, 0
1572374396.834057, 1
1572374397.028644, 2
1572374397.181104, 3
1572374397.278424, 0
1572374397.389039, 1
1572374397.501293, 2
1572374397.647461, 3
1572374397.863141, 0
1572374397.940224, 1
1572374398.032937, 2
1572374398.188257, 3
1572374398.346739, 0
1572374398.480099, 1
1572374398.632158, 2
1572374398.779131, 3
1572374398.995381, 0
1572374399.141069, 1
