time,phase_from_reg,phase_for_plbck,plbck_pos
1572374377.999531, 0.117153, 0.000000, 0.000000
1572374378.071035, 2.951444, 0.000000, 0.000000
1572374378.115725, 5.958637, 0.000000, 0.000000
1572374378.142605, 8.816020, 0.000000, 0.000000
1572374378.283406, 11.162572, 0.000000, 0.000000
1572374378.289106, 11.590844, 0.428271, 0.428271
1572374378.318907, 12.251020, 1.088448, 1.088448
1572374378.391955, 13.496450, 2.333878, 2.333878
1572374378.460905, 14.561876, 3.399303, 3.399303
1572374378.535670, 15.566540, 4.403968, 4.403968
1572374378.600494, 16.731103, 5.568530, 5.568530
1572374378.672151, 17.782195, 6.619622, 6.619622
1572374378.756376, 18.838531, 7.675959, 7.675959
1572374378.832067, 19.986191, 8.823619, 8.823619
1572374378.905101, 21.069203, 9.906631, 9.906631
1572374378.969149, 22.053270, 10.890698, 10.890698
1572374379.042710, 23.013802, 11.851230, 11.851230
1572374379.112087, 24.236621, 13.074049, 13.074049
1572374379.172454, 25.531196, 14.368624, 14.368624
1572374379.241504, 27.030390, 15.867818, 15.867818
1572374379.320659, 28.543887, 17.381314, 17.381314
1572374379.402003, 29.903697, 18.741125, 18.741125
1572374379.462295, 30.623807, 19.461234, 19.461234
1572374379.555945, 31.568548, 20.405976, 20.405976
1572374379.623345, 32.244966, 21.082394, 21.082394
1572374379.696122, 32.911825, 21.749253, 21.749253
1572374379.768263, 33.535977, 22.373405, 22.373405
1572374379.842823, 34.280646, 23.118073, 23.118073
1572374379.914696, 35.523466, 24.360894, 24.360894
1572374380.000008, 36.090947, 24.928375, 24.928375
1572374380.069122, 37.066848, 25.904275, 25.904275
1572374380.150307, 38.437179, 27.274607, 27.274607
1572374380.236438, 39.204231, 28.041659, 28.041659
1572374380.291963, 39.912925, 28.750353, 28.750353
1572374380.359456, 40.697962, 29.535389, 29.535389
1572374380.429821, 41.289489, 30.126917, 30.126917
1572374380.498380, 41.506104, 30.343532, 30.343532
1572374380.592251, 42.461760, 31.299188, 31.299188
1572374380.643499, 42.957800, 31.795227, 31.795227
1572374380.777583, 43.487404, 32.324832, 32.324832
1572374380.813233, 44.357816, 33.195244, 33.195244
1572374380.865070, 45.514379, 34.351807, 34.351807
1572374380.955979, 46.551302, 35.388730, 35.388730
1572374381.032199, 47.615478, 36.452906, 36.452906
1572374381.107330, 48.804193, 37.641621, 37.641621
1572374381.193768, 49.730582, 38.568009, 38.568009
1572374381.260723, 50.753790, 39.591218, 39.591218
1572374381.324172, 51.572256, 40.409683, 40.409683
1572374381.399335, 52.397091, 41.234518, 41.234518
1572374381.462827, 53.158612, 41.996040, 41.996040
1572374381.539390, 54.035407, 42.872834, 42.872834
1572374381.612469, 54.939707, 43.777135, 43.777135
1572374381.684287, 55.669190, 44.506618, 44.506618
1572374381.757067, 56.610180, 45.447608, 45.447608
1572374381.868003, 57.698095, 46.535523, 46.535523
1572374381.923971, 58.451156, 47.288584, 47.288584
1572374381.976758, 59.216631, 48.054059, 48.054059
1572374382.048022, 59.962042, 48.799470, 48.799470
1572374382.134512, 60.249772, 49.087200, 49.087200
1572374382.205260, 60.254522, 49.091950, 49.091950
1572374382.289409, 60.517122, 49.354550, 49.354550
1572374382.325368, 60.685111, 49.522538, 49.522538
1572374382.416197, 61.677454, 50.514881, 50.514881
1572374382.496166, 62.563354, 51.400781, 51.400781
1572374382.544455, 63.451486, 52.288914, 52.288914
1572374382.613881, 64.642861, 53.480289, 53.480289
1572374382.719055, 66.497538, 55.334966, 55.334966
1572374382.779657, 68.382406, 57.219834, 57.219834
1572374382.825372, 71.079965, 59.917393, 59.917393
1572374382.917879, 72.345279, 61.182707, 61.182707
1572374382.977475, 74.476216, 63.313643, 63.313643
1572374383.033852, 75.078501, 63.915929, 63.915929
1572374383.094654, 76.086710, 64.924138, 64.924138
1572374383.180661, 76.705949, 65.543377, 65.543377
1572374383.236639, 77.358219, 66.195647, 66.195647
1572374383.303425, 78.033196, 66.870624, 66.870624
1572374383.380586, 78.422116, 67.259544, 67.259544
1572374383.473510, 79.098703, 67.936131, 67.936131
1572374383.551847, 79.719437, 68.556864, 68.556864
1572374383.615196, 80.171268, 69.008696, 69.008696
1572374383.713504, 80.789387, 69.626815, 69.626815
1572374383.754913, 81.327765, 70.165193, 70.165193
1572374383.862060, 81.943262, 70.780690, 70.780690
1572374384.126681, 84.313507, 73.150935, 73.150935
1572374384.147259, 84.313507, 73.150935, 73.150935
1572374384.206917, 84.313507, 73.150935, 73.150935
1572374384.206985, 84.313507, 73.150935, 73.150935
1572374384.301391, 84.384445, 73.221873, 73.221873
1572374384.412341, 84.829678, 73.667105, 73.667105
1572374384.441445, 85.196285, 74.033712, 74.033712
1572374384.524534, 85.376358, 74.213786, 74.213786
1572374384.601599, 86.418383, 75.255811, 75.255811
1572374384.703437, 87.035721, 75.873149, 75.873149
1572374384.781554, 87.594332, 76.431760, 76.431760
1572374384.877361, 88.140171, 76.977599, 76.977599
1572374384.957556, 89.194182, 78.031610, 78.031610
1572374385.016637, 90.164776, 79.002204, 79.002204
1572374385.089136, 90.923707, 79.761135, 79.761135
1572374385.164367, 91.563055, 80.400483, 80.400483
1572374385.238911, 92.384253, 81.221681, 81.221681
1572374385.296624, 93.429212, 82.266640, 82.266640
1572374385.362405, 94.664170, 83.501597, 83.501597
1572374385.431952, 95.600672, 84.438100, 84.438100
1572374385.501420, 96.362814, 85.200241, 85.200241
1572374385.573969, 97.163619, 86.001047, 86.001047
1572374385.645968, 97.801192, 86.638620, 86.638620
1572374385.732222, 98.544118, 87.381546, 87.381546
1572374385.819236, 99.262734, 88.100162, 88.100162
1572374385.867229, 99.993260, 88.830688, 88.830688
1572374385.939327, 100.812906, 89.650334, 89.650334
1572374386.008949, 101.491049, 90.328477, 90.328477
1572374386.077713, 102.309549, 91.146977, 91.146977
1572374386.156984, 103.359279, 92.196707, 92.196707
1572374386.256246, 104.281207, 93.118635, 93.118635
1572374386.348779, 105.437940, 94.275368, 94.275368
1572374386.401868, 106.307225, 95.144653, 95.144653
1572374386.473141, 107.002680, 95.840108, 95.840108
1572374386.594433, 108.106853, 96.944280, 96.944280
1572374386.619860, 108.830056, 97.667484, 97.667484
1572374386.702298, 109.488813, 98.326240, 98.326240
1572374386.772443, 110.233981, 99.071409, 99.071409
1572374386.844662, 111.330608, 100.168036, 100.168036
1572374386.921773, 112.446026, 101.283454, 101.283454
1572374386.991885, 113.811908, 102.649336, 102.649336
1572374387.065660, 114.722814, 103.560242, 103.560242
1572374387.139312, 115.612179, 104.449606, 104.449606
1572374387.229038, 116.286054, 105.123482, 105.123482
1572374387.315979, 116.829273, 105.666701, 105.666701
1572374387.374308, 117.184995, 106.022422, 106.022422
1572374387.452806, 117.831233, 106.668661, 106.668661
1572374387.515011, 118.472576, 107.310004, 107.310004
1572374387.599937, 119.034587, 107.872015, 107.872015
1572374387.662526, 119.708953, 108.546381, 108.546381
1572374387.784169, 121.650741, 110.488169, 110.488169
1572374387.838744, 122.296292, 111.133720, 111.133720
1572374387.906776, 122.296292, 111.133720, 111.133720
1572374387.974040, 122.296292, 111.133720, 111.133720
1572374388.057091, 122.296292, 111.133720, 111.133720
1572374388.120392, 122.703921, 111.541349, 111.541349
1572374388.236400, 122.999292, 111.836720, 111.836720
1572374388.321932, 123.337583, 112.175011, 112.175011
1572374388.382533, 124.366904, 113.204332, 113.204332
1572374388.445878, 124.366904, 113.204332, 113.204332
1572374388.507667, 124.596109, 113.433536, 113.433536
1572374388.591684, 125.061651, 113.899079, 113.899079
1572374388.657688, 125.641989, 114.479417, 114.479417
1572374388.742409, 126.547965, 115.385393, 115.385393
1572374388.791731, 127.254401, 116.091829, 116.091829
1572374388.863763, 127.847534, 116.684962, 116.684962
1572374388.933346, 128.349529, 117.186956, 117.186956
1572374389.008259, 128.747949, 117.585377, 117.585377
1572374389.082580, 129.241760, 118.079188, 118.079188
1572374389.151886, 130.134312, 118.971740, 118.971740
1572374389.222459, 131.139139, 119.976567, 119.976567
1572374389.307687, 132.123850, 120.961277, 120.961277
1572374389.368089, 133.114473, 121.951901, 121.951901
1572374389.443596, 134.155852, 122.993280, 122.993280
1572374389.519466, 135.134134, 123.971562, 123.971562
1572374389.605685, 136.044816, 124.882244, 124.882244
1572374389.674648, 137.094102, 125.931530, 125.931530
1572374389.735843, 138.098564, 126.935991, 126.935991
1572374389.819151, 139.361534, 128.198962, 128.198962
1572374389.879828, 140.562702, 129.400130, 129.400130
1572374389.948383, 141.827565, 130.664993, 130.664993
1572374390.021195, 143.136165, 131.973593, 131.973593
1572374390.094634, 144.289893, 133.127321, 133.127321
