time, beats
1548007142.872577, 0.008452
1548007142.877885, 0.016904
1548007142.883360, 0.025356
1548007142.888507, 0.033807
1548007142.894227, 0.042259
1548007142.902907, 0.050711
1548007142.913579, 0.059163
1548007142.918987, 0.067615
1548007142.927495, 0.076067
1548007142.935558, 0.084518
1548007142.945284, 0.092970
1548007142.951098, 0.101422
1548007142.956788, 0.109874
1548007142.961928, 0.118326
1548007142.968953, 0.126778
1548007142.974163, 0.135229
1548007142.979563, 0.143681
1548007142.984870, 0.152133
1548007142.990213, 0.160585
1548007142.999211, 0.169037
1548007143.004364, 0.177489
1548007143.010238, 0.185940
1548007143.015920, 0.194392
1548007143.021510, 0.202844
1548007143.026804, 0.211296
1548007143.032344, 0.219748
1548007143.037910, 0.228200
1548007143.043161, 0.236651
1548007143.048635, 0.245103
1548007143.054003, 0.253555
1548007143.059417, 0.262007
1548007143.064866, 0.270459
1548007143.070270, 0.278911
1548007143.075820, 0.287363
1548007143.081297, 0.295814
1548007143.086436, 0.304266
1548007143.091610, 0.312718
1548007143.097175, 0.321170
1548007143.102565, 0.329622
1548007143.108398, 0.338074
1548007143.113748, 0.346525
1548007143.119200, 0.354977
1548007143.124428, 0.363429
1548007143.129961, 0.371881
1548007143.135588, 0.380333
1548007143.141065, 0.388785
1548007143.146189, 0.397236
1548007143.151557, 0.405688
1548007143.158469, 0.414140
1548007143.163762, 0.422592
1548007143.169802, 0.431044
1548007143.174965, 0.439496
1548007143.181257, 0.447947
1548007143.186364, 0.456399
1548007143.191947, 0.464851
1548007143.198055, 0.473303
1548007143.204769, 0.481755
1548007143.210124, 0.481960
1548007143.215356, 0.482165
1548007143.220830, 0.482370
1548007143.226534, 0.482576
1548007143.231986, 0.482781
1548007143.241127, 0.482986
1548007143.246741, 0.483191
1548007143.252286, 0.483396
1548007143.258243, 0.483601
1548007143.263826, 0.483807
1548007143.269375, 0.484012
1548007143.274929, 0.484217
1548007143.280169, 0.484422
1548007143.285515, 0.484627
1548007143.290759, 0.484833
1548007143.296199, 0.485038
1548007143.302382, 0.485243
1548007143.307598, 0.485448
1548007143.313114, 0.485653
1548007143.319325, 0.485858
1548007143.324844, 0.486064
1548007143.330579, 0.486269
1548007143.335937, 0.486474
1548007143.341603, 0.486679
1548007143.347531, 0.486884
1548007143.352942, 0.487090
1548007143.358220, 0.487295
1548007143.363865, 0.487500
1548007143.369164, 0.487705
1548007143.374722, 0.487910
1548007143.380090, 0.488115
1548007143.386156, 0.488321
1548007143.391567, 0.488526
1548007143.396875, 0.488731
1548007143.402304, 0.488936
1548007143.407790, 0.489141
1548007143.412978, 0.489347
1548007143.418247, 0.489552
1548007143.423661, 0.489757
1548007143.429137, 0.489962
1548007143.434661, 0.490167
1548007143.440123, 0.490373
1548007143.445579, 0.490578
1548007143.451470, 0.490783
1548007143.456968, 0.490988
1548007143.462421, 0.491193
1548007143.467656, 0.491398
1548007143.472991, 0.491604
1548007143.480290, 0.491809
1548007143.486477, 0.492014
1548007143.491753, 0.492219
1548007143.497251, 0.492424
1548007143.502471, 0.492630
1548007143.507917, 0.492835
1548007143.513625, 0.493040
1548007143.518711, 0.493245
1548007143.524046, 0.493450
1548007143.529650, 0.493655
1548007143.535256, 0.493861
1548007143.540726, 0.494066
1548007143.546836, 0.494271
1548007143.552117, 0.494476
1548007143.557610, 0.494681
1548007143.562794, 0.494887
1548007143.568041, 0.495092
1548007143.573734, 0.495297
1548007143.579202, 0.495502
1548007143.584656, 0.495707
1548007143.590141, 0.495912
1548007143.595377, 0.496118
1548007143.600581, 0.496323
1548007143.605793, 0.496528
1548007143.610916, 0.496733
1548007143.616395, 0.496938
1548007143.621526, 0.497144
1548007143.627226, 0.497349
1548007143.632687, 0.497554
1548007143.638513, 0.497759
1548007143.644409, 0.497964
1548007143.651176, 0.498169
1548007143.656378, 0.498375
1548007143.661853, 0.498580
1548007143.666995, 0.498785
1548007143.673273, 0.498990
1548007143.678403, 0.499195
1548007143.683543, 0.499401
1548007143.689147, 0.499606
1548007143.694959, 0.499811
1548007143.700386, 0.500016
1548007143.705588, 0.500221
1548007143.710868, 0.500427
1548007143.716974, 0.500632
1548007143.722452, 0.500837
1548007143.727651, 0.501042
1548007143.733094, 0.501247
1548007143.739752, 0.507314
1548007143.745300, 0.513382
1548007143.750663, 0.519449
1548007143.755875, 0.525516
1548007143.761655, 0.531583
1548007143.766831, 0.537650
1548007143.772262, 0.543717
1548007143.777334, 0.549784
1548007143.783037, 0.555852
1548007143.789072, 0.561919
1548007143.794600, 0.567986
1548007143.800408, 0.574053
1548007143.805946, 0.580120
1548007143.811756, 0.586187
1548007143.816916, 0.592254
1548007143.822055, 0.598322
1548007143.827809, 0.604389
1548007143.833339, 0.610456
1548007143.838898, 0.616523
1548007143.844022, 0.622590
