time, phase
1548007157.297595, 0
1548007157.398550, 1
1548007157.554103, 2
1548007157.712301, 3
1548007157.837412, 0
1548007157.939069, 1
1548007158.091652, 2
1548007158.224405, 3
1548007158.356673, 0
1548007158.476627, 1
1548007158.612654, 2
1548007158.782145, 3
1548007158.909691, 0
1548007158.987787, 1
1548007159.079723, 2
1548007159.222902, 3
1548007159.335902, 0
1548007159.436474, 1
1548007159.561300, 2
1548007159.696718, 3
1548007159.807657, 0
1548007159.928496, 1
1548007160.097669, 2
1548007160.297556, 3
1548007160.404618, 0
1548007160.553449, 1
1548007160.753867, 2
1548007160.868506, 3
1548007161.286946, 0
1548007161.461750, 1
1548007161.978604, 2
1548007162.173199, 3
1548007162.424605, 0
1548007162.537064, 1
1548007162.753754, 2
1548007163.348338, 3
1548007163.437807, 0
1548007163.596633, 1
1548007163.732828, 2
1548007163.917126, 3
1548007164.058647, 0
1548007164.185136, 1
1548007164.356761, 2
1548007164.574397, 3
1548007164.703971, 0
1548007164.794966, 1
1548007164.950066, 2
1548007165.127975, 3
1548007165.277821, 0
