time,phase_from_reg,phase_for_plbck,plbck_pos
1548007155.228613, 0.003956, 0.000000, 0.000000
1548007155.294846, 0.628338, 0.000000, 0.000000
1548007155.374190, 0.000000, 0.000000, 0.000000
1548007155.436911, 0.000000, 0.000000, 0.000000
1548007155.498930, 0.000000, 0.000000, 0.000000
1548007155.608160, 0.000000, 0.000000, 0.000000
1548007155.726937, 0.000000, 0.000000, 0.000000
1548007155.821601, 0.000000, 0.000000, 0.000000
1548007155.969166, 0.083702, 0.000000, 0.000000
1548007156.095889, 0.083707, 0.000000, 0.000000
1548007156.210153, 0.083707, 0.000000, 0.000000
1548007156.317131, 1.987000, 0.000000, 0.000000
1548007156.363085, 2.264679, 0.000000, 0.000000
1548007156.518129, 3.549825, 0.000000, 0.000000
1548007156.548127, 5.641187, 0.000000, 0.000000
1548007156.632021, 7.026939, 0.000000, 0.000000
1548007156.695624, 8.653816, 0.000000, 0.000000
1548007156.792171, 9.911420, 0.000000, 0.000000
1548007156.879483, 11.441261, 0.000000, 0.000000
1548007156.972730, 12.864783, 0.000000, 0.000000
1548007157.087326, 13.972397, 0.000000, 0.000000
1548007157.200186, 15.040114, 0.000000, 0.000000
1548007157.287394, 15.944027, 0.000000, 0.000000
1548007157.368854, 17.373706, 0.000000, 0.000000
1548007157.476994, 18.452586, 1.078880, 1.078880
1548007157.567784, 19.520997, 2.147291, 2.147291
1548007157.680214, 20.816616, 3.442910, 3.442910
1548007157.758806, 22.314865, 4.941159, 4.941159
1548007157.858937, 23.753480, 6.379775, 6.379775
1548007157.938840, 24.995593, 7.621887, 7.621887
1548007158.020554, 26.174357, 8.800651, 8.800651
1548007158.117963, 27.205716, 9.832010, 9.832010
1548007158.214206, 28.228359, 10.854653, 10.854653
1548007158.296885, 29.291520, 11.917814, 11.917814
1548007158.402029, 30.368164, 12.994458, 12.994458
1548007158.476428, 31.510506, 14.136800, 14.136800
1548007158.586217, 32.713075, 15.339369, 15.339369
1548007158.671118, 33.737617, 16.363911, 16.363911
1548007158.754673, 34.847653, 17.473947, 17.473947
1548007158.837169, 36.201249, 18.827543, 18.827543
1548007158.935282, 37.032594, 19.658889, 19.658889
1548007159.013696, 37.909627, 20.535921, 20.535921
1548007159.096741, 38.702229, 21.328523, 21.328523
1548007159.210868, 39.800670, 22.426964, 22.426964
1548007159.307158, 40.682783, 23.309077, 23.309077
