time,est_amp,est_freq,est_phase
1548007170.837651, 2.334815, 0.044015, 0.000013
1548007170.937166, 5.695414, 0.044839, 0.970748
1548007171.025841, 8.391201, 0.024564, 0.000000
1548007171.111779, 9.362787, 0.015848, 0.000000
1548007171.157768, 12.762771, 0.009185, 2.536156
1548007171.347343, 45.938925, 0.013278, 2.536156
1548007171.425049, 97.028999, 0.014442, 2.610399
1548007171.535315, 113.401075, 0.018675, 2.610399
1548007171.683300, 184.919640, 0.022178, 2.610438
1548007171.768690, 238.228590, 0.027524, 2.610438
1548007171.898588, 335.185393, 0.031308, 2.871175
1548007171.991522, 392.876288, 0.029902, 4.908015
1548007172.071880, 483.101239, 0.030894, 6.061035
1548007172.148332, 509.939121, 0.028495, 8.029336
1548007172.237499, 540.003883, 0.028685, 9.395688
1548007172.332013, 596.840988, 0.026599, 11.240528
1548007172.431291, 599.165429, 0.026122, 12.655985
1548007172.523877, 627.602124, 0.025170, 14.176237
1548007172.633382, 622.992863, 0.025328, 15.430477
1548007172.728642, 673.568605, 0.026184, 16.528303
1548007172.809528, 709.745396, 0.025867, 17.883059
1548007172.891705, 683.510152, 0.024938, 19.304635
1548007172.973322, 714.616359, 0.024413, 20.650608
1548007173.056718, 754.084592, 0.022640, 22.095941
1548007173.143142, 811.978006, 0.020177, 23.705986
1548007173.233703, 874.968708, 0.020473, 24.683279
1548007173.328107, 871.081272, 0.019720, 25.929252
1548007173.426943, 867.533257, 0.020339, 26.856470
1548007173.507678, 875.421906, 0.020643, 27.769324
1548007173.607411, 870.128266, 0.021314, 28.649933
1548007173.678870, 867.228120, 0.019681, 29.884223
1548007173.771891, 808.503124, 0.018328, 31.032927
1548007173.880841, 849.002863, 0.016594, 32.395058
1548007173.977403, 833.949486, 0.016575, 33.259829
1548007174.064123, 786.330851, 0.017434, 34.030148
1548007174.157054, 794.791675, 0.018135, 34.722013
1548007174.252774, 774.460617, 0.019257, 35.366867
1548007174.344094, 798.707393, 0.018556, 36.413986
1548007174.469869, 826.108432, 0.018823, 37.301394
1548007174.539237, 879.687079, 0.018707, 38.316353
1548007174.642507, 841.330535, 0.019401, 39.173087
1548007174.716955, 844.892888, 0.019857, 40.074037
1548007174.817861, 879.807347, 0.020772, 40.832999
1548007174.892192, 917.001731, 0.020011, 41.948234
1548007174.973598, 953.584539, 0.019462, 43.012437
1548007175.051603, 981.018688, 0.019294, 44.048598
1548007175.138352, 1039.303973, 0.018195, 45.278313
1548007175.225727, 1018.248961, 0.018612, 46.138815
1548007175.326948, 1035.201257, 0.018947, 46.975058
1548007175.409148, 1036.991319, 0.019332, 47.825317
1548007175.490320, 1046.502356, 0.020252, 48.691144
1548007175.590214, 1141.020461, 0.021019, 49.607520
1548007175.718538, 1102.089495, 0.022331, 50.449978
1548007175.828023, 1087.617875, 0.024044, 51.230021
1548007175.979305, 1043.931091, 0.024723, 52.300682
1548007176.037961, 1106.977429, 0.025789, 53.299819
1548007176.120487, 1171.583310, 0.026009, 54.525536
1548007176.205217, 1171.583310, 0.025515, 55.889623
1548007176.299985, 1107.676105, 0.023277, 57.528046
1548007176.409715, 1049.964909, 0.022635, 58.788960
1548007176.505845, 1108.753104, 0.020415, 60.350370
1548007176.582154, 1192.536324, 0.020222, 61.485530
1548007176.676854, 1192.536324, 0.020539, 62.451169
1548007176.791912, 1192.536324, 0.020224, 63.548613
1548007176.868488, 1192.536324, 0.020161, 64.553860
1548007176.955207, 1188.859211, 0.019584, 65.553473
1548007177.043338, 1188.859211, 0.018969, 66.686567
1548007177.138545, 1188.859211, 0.017725, 67.838967
1548007177.229009, 1188.859211, 0.015941, 68.981110
1548007177.324489, 1188.859211, 0.014082, 70.163004
1548007177.419118, 1184.695710, 0.013502, 70.943057
1548007177.511998, 1016.489619, 0.012893, 71.737488
1548007177.626622, 927.902778, 0.014900, 72.179115
1548007177.713303, 911.264759, 0.014517, 72.980701
1548007177.837154, 776.058229, 0.014993, 73.473175
1548007177.919422, 598.417581, 0.015211, 74.153864
1548007178.005351, 488.168733, 0.015314, 75.050768
1548007178.104633, 476.104015, 0.014589, 75.933915
1548007178.194462, 423.346766, 0.013697, 76.659447
1548007178.274271, 315.832887, 0.012770, 77.378632
1548007178.357853, 262.082863, 0.011366, 78.288061
1548007178.434830, 284.041108, 0.008853, 79.486838
1548007178.627316, 284.041108, 0.000750, 81.539222
1548007178.670276, 284.041108, 0.001000, 81.539222
1548007178.703171, 263.254967, 0.006748, 81.539222
1548007178.831990, 364.745955, 0.010142, 81.539222
1548007178.922153, 491.529893, 0.012274, 81.539222
1548007179.025531, 538.281625, 0.014930, 81.539222
1548007179.107112, 571.345859, 0.016713, 81.893789
1548007179.203407, 606.602643, 0.016964, 82.697654
1548007179.356101, 721.445502, 0.016112, 83.698803
1548007179.372440, 745.833989, 0.016282, 84.440458
1548007179.460365, 737.749942, 0.015942, 85.298983
1548007179.563206, 778.415123, 0.015267, 86.265576
1548007179.650062, 806.869365, 0.015205, 87.033834
1548007179.748662, 814.487560, 0.015555, 87.735369
1548007179.865815, 817.937217, 0.015711, 88.493816
1548007179.938601, 828.659803, 0.015756, 89.279073
1548007180.014505, 851.254714, 0.015727, 90.069159
1548007180.095730, 868.483795, 0.016192, 90.765313
1548007180.186341, 864.348936, 0.016148, 91.563935
1548007180.275580, 846.478482, 0.015546, 92.474635
1548007180.423549, 810.787819, 0.015679, 93.238091
1548007180.512379, 795.943826, 0.016278, 93.974808
1548007180.617643, 843.204983, 0.017348, 94.635045
1548007180.700101, 781.241376, 0.018190, 95.331632
1548007180.783038, 722.297469, 0.018352, 96.192384
1548007180.893283, 721.437753, 0.017621, 97.163834
1548007180.980469, 718.149417, 0.017749, 98.018232
1548007181.066420, 724.179395, 0.017492, 98.971110
1548007181.147658, 719.007977, 0.016990, 99.914271
1548007181.241292, 680.942167, 0.015267, 101.096029
1548007181.317668, 644.121937, 0.015144, 101.854121
