time, beats
1548007209.167825, 0.006400
1548007209.173636, 0.012800
1548007209.179472, 0.019200
1548007209.185201, 0.025600
1548007209.191026, 0.032000
1548007209.196767, 0.038400
1548007209.202098, 0.044800
1548007209.207725, 0.051200
1548007209.213579, 0.057600
1548007209.219391, 0.064000
1548007209.225112, 0.070400
1548007209.230390, 0.076800
1548007209.235604, 0.083200
1548007209.240786, 0.089600
1548007209.245977, 0.096000
1548007209.251424, 0.102400
1548007209.256965, 0.108800
1548007209.262671, 0.115200
1548007209.267812, 0.121600
1548007209.273186, 0.128000
1548007209.278286, 0.134400
1548007209.283491, 0.140800
1548007209.288619, 0.147200
1548007209.294923, 0.153600
1548007209.300027, 0.160000
1548007209.305449, 0.166400
1548007209.310628, 0.172800
1548007209.316442, 0.179200
1548007209.321739, 0.185600
1548007209.327459, 0.192000
1548007209.332567, 0.198400
1548007209.338013, 0.204800
1548007209.343954, 0.211200
1548007209.349657, 0.217600
1548007209.355370, 0.224000
1548007209.360572, 0.230400
1548007209.366299, 0.236800
1548007209.371415, 0.243200
1548007209.377166, 0.249600
1548007209.382471, 0.256000
1548007209.388187, 0.262400
1548007209.393464, 0.268800
1548007209.398709, 0.275200
1548007209.404475, 0.281600
1548007209.410108, 0.288000
1548007209.415204, 0.294400
1548007209.421026, 0.300800
1548007209.426467, 0.307200
1548007209.431747, 0.313600
1548007209.437243, 0.320000
1548007209.442666, 0.326400
1548007209.448036, 0.332800
1548007209.453299, 0.339200
1548007209.458460, 0.345600
1548007209.464666, 0.352000
1548007209.469927, 0.358400
1548007209.475594, 0.364800
1548007209.480880, 0.371200
1548007209.486611, 0.377600
1548007209.491971, 0.384000
1548007209.497665, 0.390400
1548007209.503218, 0.396800
1548007209.508976, 0.403200
1548007209.514690, 0.409600
1548007209.519990, 0.416000
1548007209.525506, 0.422400
1548007209.530850, 0.428800
1548007209.536941, 0.435200
1548007209.542670, 0.441600
1548007209.548382, 0.448000
1548007209.554162, 0.454400
1548007209.559707, 0.460800
1548007209.564838, 0.467200
1548007209.569994, 0.473600
1548007209.575238, 0.480000
