time, palm_pos, vel, avg_vel, avg_vel_schm, avg_acc, avg_acc_schm
1542730325.635968, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000
1542730325.641205, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000
1542730325.646388, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000
1542730325.651579, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000
1542730325.656901, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000
1542730325.662886, 157.659531, 80.808342, 0.223798, 20.000000, 22.379812, 150.000000
1542730325.668209, 157.659531, 80.808342, 0.460094, 20.000000, 23.629563, 150.000000
1542730325.673893, 157.659531, 80.808342, 0.730282, 20.000000, 27.018795, 150.000000
1542730325.679133, 159.581650, 93.042953, 1.089579, 20.000000, 35.929758, 150.000000
1542730325.684309, 159.581650, 93.042953, 1.526866, 20.000000, 43.728715, 150.000000
1542730325.689618, 159.581650, 93.042953, 2.065394, 20.000000, 53.852782, 150.000000
1542730325.695028, 161.297684, 93.821121, 2.727159, 20.000000, 66.176468, 150.000000
1542730325.701965, 161.297684, 93.821121, 3.534629, 20.000000, 80.747022, 150.000000
1542730325.707851, 161.297684, 93.821121, 4.504000, 20.000000, 96.937112, 150.000000
1542730325.713639, 162.467728, 79.909294, 5.612731, 20.000000, 110.873027, 150.000000
1542730325.718956, 162.467728, 79.909294, 6.910411, 20.000000, 129.768038, 150.000000
1542730325.724350, 162.467728, 79.909294, 8.403521, 20.000000, 149.310971, 150.000000
1542730325.729724, 162.467728, 79.909294, 10.095275, 20.000000, 169.175424, 169.175424
1542730325.735167, 162.467728, 79.909294, 11.985530, 20.000000, 189.025534, 189.025534
1542730325.740403, 163.741379, 75.529076, 14.058622, 20.000000, 207.309136, 207.309136
1542730325.745908, 163.741379, 75.529076, 16.319109, 20.000000, 226.048780, 226.048780
1542730325.751338, 163.741379, 75.529076, 18.755677, 20.000000, 243.656735, 243.656735
1542730325.757276, 164.434875, 57.905201, 21.305094, 21.305094, 254.941698, 254.941698
1542730325.762971, 164.434875, 57.905201, 23.996157, 23.996157, 269.106344, 269.106344
1542730325.768225, 164.434875, 57.905201, 26.804341, 26.804341, 280.818391, 280.818391
1542730325.773822, 164.871063, 41.859497, 29.658464, 29.658464, 285.412259, 285.412259
1542730325.779297, 164.871063, 41.859497, 32.571994, 32.571994, 291.353057, 291.353057
1542730325.784836, 164.871063, 41.859497, 35.510961, 35.510961, 293.896650, 293.896650
1542730325.790145, 165.132233, 28.832174, 38.404621, 38.404621, 289.366065, 289.366065
1542730325.795664, 165.132233, 28.832174, 41.252315, 41.252315, 284.769371, 284.769371
1542730325.800988, 165.132233, 28.832174, 44.016436, 44.016436, 276.412115, 276.412115
1542730325.806164, 165.132233, 28.832174, 46.660581, 46.660581, 264.414469, 264.414469
1542730325.811608, 165.274353, 18.410555, 49.121351, 49.121351, 246.077024, 246.077024
1542730325.817282, 165.274353, 18.410555, 51.393965, 51.393965, 227.261345, 227.261345
1542730325.822717, 165.269455, 9.794736, 53.422858, 53.422858, 202.889319, 202.889319
1542730325.827987, 165.269455, 9.794736, 55.202487, 55.202487, 177.962928, 177.962928
1542730325.833502, 165.269455, 9.794736, 56.706644, 56.706644, 150.415652, 150.415652
1542730325.838711, 165.269455, 9.794736, 57.913708, 57.913708, 120.706481, 150.000000
1542730325.843941, 165.219238, 3.819708, 58.790500, 58.790500, 87.679202, 150.000000
1542730325.849398, 165.219238, 3.819708, 59.341299, 59.341299, 55.079832, 150.000000
1542730325.854725, 165.219238, 3.819708, 59.558670, 59.558670, 21.737107, 150.000000
1542730325.860080, 164.913818, -6.024957, 59.413515, 59.413515, -14.515513, -150.000000
1542730325.865377, 164.913818, -6.024957, 58.935368, 58.935368, -47.814705, -150.000000
