time, beats
1542730326.136832, 0.005600
1542730326.142332, 0.011200
1542730326.147967, 0.016800
1542730326.153346, 0.022400
1542730326.158496, 0.028000
1542730326.164270, 0.033600
1542730326.169346, 0.039200
1542730326.174677, 0.044800
1542730326.179764, 0.050400
1542730326.185321, 0.056000
1542730326.190703, 0.061600
1542730326.196142, 0.067200
1542730326.201387, 0.072800
1542730326.207094, 0.078400
1542730326.212304, 0.084000
1542730326.217520, 0.089600
1542730326.223188, 0.095200
1542730326.228509, 0.100800
1542730326.234218, 0.106400
1542730326.240254, 0.112000
1542730326.245388, 0.117600
1542730326.250620, 0.123200
1542730326.255752, 0.128800
1542730326.261975, 0.134400
1542730326.269154, 0.140000
1542730326.274422, 0.145600
1542730326.279838, 0.151200
1542730326.285609, 0.156800
1542730326.291367, 0.162400
1542730326.297517, 0.168000
1542730326.303630, 0.173600
1542730326.309052, 0.179200
1542730326.314660, 0.184800
1542730326.320369, 0.190400
1542730326.325517, 0.196000
1542730326.331358, 0.201600
1542730326.336564, 0.207200
1542730326.342267, 0.212800
1542730326.349588, 0.218400
1542730326.355305, 0.224000
1542730326.360724, 0.229600
1542730326.365877, 0.235200
1542730326.370955, 0.240800
1542730326.377089, 0.246400
1542730326.382232, 0.252000
1542730326.387459, 0.257600
1542730326.393117, 0.263200
1542730326.398612, 0.268800
1542730326.403859, 0.274400
1542730326.409564, 0.280000
1542730326.415039, 0.285600
1542730326.420864, 0.291200
1542730326.426096, 0.296800
1542730326.431393, 0.302400
1542730326.437228, 0.308000
1542730326.442930, 0.313600
1542730326.448656, 0.319200
1542730326.454025, 0.324800
1542730326.459410, 0.330400
1542730326.464812, 0.336000
1542730326.469930, 0.341600
1542730326.475333, 0.347200
1542730326.481082, 0.352800
1542730326.486299, 0.358400
1542730326.491459, 0.364000
1542730326.496741, 0.369600
1542730326.502213, 0.375200
1542730326.508169, 0.380800
1542730326.513741, 0.386400
1542730326.518988, 0.392000
1542730326.524562, 0.397600
1542730326.530255, 0.403200
1542730326.535445, 0.408800
1542730326.540602, 0.414400
1542730326.547969, 0.420000
1542730326.553681, 0.425600
1542730326.558818, 0.431200
1542730326.564516, 0.436800
1542730326.570033, 0.442400
1542730326.575664, 0.448000
1542730326.581093, 0.453600
1542730326.586284, 0.459200
1542730326.591409, 0.464800
1542730326.597145, 0.470400
