# time,beats,midi_note,midi_vel
1550749191.406126,  0.009082, 44.000000,127.000000
1550749191.406619,  0.009082, 64.000000,127.000000
1550749191.406758,  0.009082, 76.000000,127.000000
1550749191.831603,  0.483181, 44.000000, 68.000000
1550749191.831766,  0.483181, 64.000000, 68.000000
1550749191.831865,  0.483181, 76.000000, 68.000000
1550749191.841159,  0.505344, 49.000000, 68.000000
1550749191.841329,  0.505344, 54.000000, 68.000000
1550749191.841437,  0.505344, 58.000000, 68.000000
1550749191.841532,  0.505344, 66.000000, 68.000000
1550749191.841620,  0.505344, 78.000000, 68.000000
1550749192.270480,  0.993935, 49.000000, 71.000000
1550749192.270648,  0.993935, 54.000000, 71.000000
1550749192.270754,  0.993935, 58.000000, 71.000000
1550749192.287057,  1.016858, 49.000000, 71.000000
1550749192.287393,  1.016858, 54.000000, 71.000000
1550749192.287527,  1.016858, 58.000000, 71.000000
1550749192.452106,  1.229898, 66.000000, 66.000000
1550749192.452315,  1.229898, 78.000000, 66.000000
1550749192.466585,  1.255461, 61.000000, 66.000000
1550749192.466807,  1.255461, 73.000000, 66.000000
1550749192.671402,  1.493395, 49.000000, 90.000000
1550749192.671618,  1.493395, 54.000000, 90.000000
1550749192.671771,  1.493395, 58.000000, 90.000000
1550749192.671940,  1.493395, 61.000000, 90.000000
1550749192.672185,  1.493395, 73.000000, 90.000000
1550749192.680683,  1.519888, 35.000000, 90.000000
1550749192.680936,  1.519888, 47.000000, 90.000000
1550749192.681059,  1.519888, 63.000000, 90.000000
1550749192.681160,  1.519888, 75.000000, 90.000000
1550749192.917268,  1.734852, 63.000000, 89.000000
1550749192.917886,  1.734852, 75.000000, 89.000000
1550749192.944913,  1.757410, 66.000000, 89.000000
1550749192.945254,  1.757410, 78.000000, 89.000000
1550749193.162898,  1.985829, 35.000000, 84.000000
1550749193.163074,  1.985829, 47.000000, 84.000000
1550749193.163183,  1.985829, 66.000000, 84.000000
1550749193.163280,  1.985829, 78.000000, 84.000000
1550749193.172899,  2.004232, 51.000000, 84.000000
1550749193.173146,  2.004232, 54.000000, 84.000000
1550749193.173309,  2.004232, 59.000000, 84.000000
1550749193.173550,  2.004232, 68.000000, 84.000000
1550749193.173798,  2.004232, 80.000000, 84.000000
1550749193.590964,  2.491527, 51.000000, 87.000000
1550749193.591468,  2.491527, 54.000000, 87.000000
1550749193.592864,  2.491527, 59.000000, 87.000000
1550749193.593140,  2.491527, 68.000000, 87.000000
1550749193.593730,  2.491527, 80.000000, 87.000000
1550749193.618555,  2.513180, 51.000000, 87.000000
1550749193.619224,  2.513180, 54.000000, 87.000000
1550749193.619379,  2.513180, 59.000000, 87.000000
1550749193.619708,  2.513180, 63.000000, 87.000000
1550749193.620613,  2.513180, 75.000000, 87.000000
1550749194.081389,  2.979689, 51.000000,127.000000
1550749194.081694,  2.979689, 54.000000,127.000000
1550749194.082019,  2.979689, 59.000000,127.000000
1550749194.082211,  2.979689, 63.000000,127.000000
1550749194.082645,  2.979689, 75.000000,127.000000
1550749194.105767,  3.017749, 30.000000,127.000000
1550749194.106222,  3.017749, 42.000000,127.000000
1550749194.140491,  3.017749, 64.000000,127.000000
1550749194.144053,  3.017749, 76.000000,127.000000
1550749194.639475,  3.475515, 30.000000,127.000000
1550749194.640279,  3.475515, 42.000000,127.000000
1550749194.640443,  3.475515, 64.000000,127.000000
1550749194.640782,  3.475515, 76.000000,127.000000
1550749194.666072,  3.511087, 49.000000,127.000000
1550749194.666314,  3.511087, 54.000000,127.000000
1550749194.670146,  3.511087, 58.000000,127.000000
1550749194.670265,  3.511087, 66.000000,127.000000
1550749194.670594,  3.511087, 78.000000,127.000000
1550749195.293004,  3.983222, 49.000000,115.000000
1550749195.293358,  3.983222, 54.000000,115.000000
1550749195.294056,  3.983222, 58.000000,115.000000
1550749195.311016,  4.013138, 49.000000,115.000000
1550749195.311343,  4.013138, 54.000000,115.000000
1550749195.311479,  4.013138, 58.000000,115.000000
1550749195.591697,  4.212767, 66.000000, 75.000000
1550749195.592519,  4.212767, 78.000000, 75.000000
1550749195.652834,  4.264147, 61.000000, 75.000000
1550749195.653406,  4.264147, 73.000000, 75.000000
1550749195.927646,  4.475734, 49.000000,127.000000
1550749195.932491,  4.475734, 54.000000,127.000000
1550749195.932863,  4.475734, 58.000000,127.000000
1550749195.935299,  4.491583, 61.000000,127.000000
1550749195.935573,  4.491583, 73.000000,127.000000
1550749195.953627,  4.507432, 35.000000,127.000000
1550749195.953819,  4.507432, 47.000000,127.000000
1550749195.953932,  4.507432, 63.000000,127.000000
1550749195.954031,  4.507432, 75.000000,127.000000
1550749198.394787,  4.975166, 35.000000,111.000000
1550749198.421773,  5.003451, 54.000000,111.000000
1550749198.422099,  5.003451, 59.000000,111.000000
1550749199.274610,  5.448772, 47.000000, 47.000000
1550749199.276367,  5.448772, 63.000000, 47.000000
1550749199.276542,  5.448772, 75.000000, 47.000000
1550749199.300810,  5.476711, 54.000000, 47.000000
1550749199.301272,  5.476711, 59.000000, 47.000000
1550749199.329949,  5.504649, 63.000000, 47.000000
1550749199.944057,  6.003995, 63.000000,125.000000
1550749199.944361,  6.003995, 64.000000,125.000000
1550749200.495897,  6.360887, 64.000000,104.000000
1550749200.522369,  6.382834, 63.000000,104.000000
1550749200.631794,  6.503934, 63.000000,104.000000
1550749200.631963,  6.503934, 62.000000,104.000000
