time, phase
1550749108.532057, 0
1550749109.228314, 0
1550749109.631561, 0
1550749109.960252, 0
1550749110.374312, 0
1550749110.765762, 0
1550749111.142191, 0
1550749111.631410, 0
1550749112.091520, 0
1550749112.522808, 0
1550749112.964117, 0
1550749113.380319, 0
1550749113.735828, 0
1550749114.131046, 0
1550749114.541346, 0
1550749114.862072, 0
1550749115.261887, 0
1550749115.976052, 0
1550749116.713399, 0
1550749117.596926, 0
1550749118.303693, 0
1550749118.883449, 0
1550749119.389250, 0
1550749119.919667, 0
