time,beats,midi_note,midi_vel
1550748571.814463, 0.006869, 46.000000, 106.000000
1550748571.814966, 0.006869, 75.000000, 106.000000
1550748572.012960, 0.247290, 75.000000, 111.000000
1550748572.019092, 0.254160, 73.000000, 111.000000
1550748572.196088, 0.473973, 46.000000, 116.000000
1550748572.219092, 0.501532, 73.000000, 117.000000
1550748572.219318, 0.501532, 54.000000, 117.000000
1550748572.219482, 0.501532, 61.000000, 117.000000
1550748572.219603, 0.501532, 66.000000, 117.000000
1550748572.219697, 0.501532, 78.000000, 117.000000
1550748572.593125, 0.980429, 54.000000, 126.000000
1550748572.593275, 0.980429, 61.000000, 126.000000
1550748572.593370, 0.980429, 66.000000, 126.000000
1550748572.593457, 0.980429, 78.000000, 126.000000
1550748572.613094, 1.001737, 45.000000, 126.000000
1550748572.613241, 1.001737, 75.000000, 126.000000
1550748572.850069, 1.248450, 75.000000, 125.000000
1550748572.855297, 1.254187, 73.000000, 125.000000
1550748573.074020, 1.477950, 45.000000, 124.000000
1550748573.092658, 1.495162, 73.000000, 124.000000
1550748573.097788, 1.500807, 52.000000, 123.000000
1550748573.097951, 1.500807, 57.000000, 123.000000
1550748573.098097, 1.500807, 61.000000, 123.000000
1550748573.098257, 1.500807, 67.000000, 123.000000
1550748573.098376, 1.500807, 79.000000, 123.000000
1550748573.607120, 1.974102, 52.000000, 114.000000
1550748573.607414, 1.974102, 57.000000, 114.000000
1550748573.607589, 1.974102, 61.000000, 114.000000
1550748573.607720, 1.974102, 67.000000, 114.000000
1550748573.607834, 1.974102, 79.000000, 114.000000
1550748573.639331, 2.003886, 75.000000, 113.000000
1550748573.971042, 2.245308, 75.000000, 99.000000
1550748573.982006, 2.253356, 73.000000, 99.000000
1550748574.315861, 2.498801, 73.000000, 85.000000
1550748574.321087, 2.501118, 85.000000, 84.000000
1550748575.129474, 2.735092, 85.000000, 69.000000
1550748576.041112, 3.002519, 44.000000, 51.000000
1550748576.041258, 3.002519, 68.000000, 51.000000
1550748576.342306, 3.247694, 68.000000, 68.000000
1550748576.347960, 3.252151, 69.000000, 68.000000
1550748576.619871, 3.475038, 44.000000, 84.000000
1550748576.646664, 3.497326, 69.000000, 85.000000
1550748576.652971, 3.502432, 56.000000, 86.000000
1550748576.653232, 3.502432, 61.000000, 86.000000
1550748576.653429, 3.502432, 64.000000, 86.000000
1550748576.653560, 3.502432, 68.000000, 86.000000
1550748576.706966, 3.563203, 68.000000, 87.000000
1550748576.707198, 3.563203, 69.000000, 87.000000
1550748576.760143, 3.623973, 69.000000, 88.000000
1550748576.765960, 3.630050, 68.000000, 88.000000
1550748576.868250, 3.745514, 68.000000, 91.000000
1550748576.881142, 3.751592, 67.000000, 91.000000
1550748577.081642, 3.976443, 56.000000, 96.000000
1550748577.081839, 3.976443, 61.000000, 96.000000
1550748577.081960, 3.976443, 64.000000, 96.000000
1550748577.103938, 4.000827, 67.000000, 96.000000
1550748577.104089, 4.000827, 54.000000, 96.000000
1550748577.104168, 4.000827, 56.000000, 96.000000
1550748577.104250, 4.000827, 60.000000, 96.000000
1550748577.104368, 4.000827, 68.000000, 96.000000
1550748577.305933, 4.248581, 68.000000, 94.000000
1550748577.311171, 4.255277, 76.000000, 93.000000
1550748577.493458, 4.476246, 54.000000, 91.000000
1550748577.493610, 4.476246, 56.000000, 91.000000
1550748577.493695, 4.476246, 60.000000, 91.000000
1550748577.510743, 4.496334, 76.000000, 91.000000
1550748577.516149, 4.502229, 37.000000, 90.000000
1550748577.516347, 4.502229, 73.000000, 90.000000
1550748577.797478, 4.748474, 73.000000, 81.000000
1550748577.802852, 4.753399, 61.000000, 81.000000
1550748578.047130, 4.975020, 37.000000, 72.000000
1550748578.073934, 4.999644, 61.000000, 72.000000
1550748578.080214, 5.003713, 56.000000, 71.000000
1550748578.080414, 5.003713, 64.000000, 71.000000
1550748578.080569, 5.003713, 73.000000, 71.000000
1550748578.723285, 5.475966, 56.000000, 48.000000
1550748578.723451, 5.475966, 64.000000, 48.000000
1550748578.760866, 5.505526, 56.000000, 46.000000
1550748578.761037, 5.505526, 64.000000, 46.000000
1550748579.201112, 5.949997, 73.000000, 38.000000
1550748579.230643, 5.977776, 56.000000, 38.000000
1550748579.231431, 5.977776, 64.000000, 38.000000
