time,phase_from_reg,phase_for_plbck,plbck_pos
1550749495.133425, 0.284399, 0.000000, 0.000000
1550749495.200364, 1.156110, 0.000000, 0.000000
1550749495.284245, 3.141593, 0.000000, 0.000000
1550749495.350613, 3.141593, 0.000000, 0.000000
1550749495.398438, 3.182502, 0.000000, 0.000000
1550749495.471102, 5.512983, 0.000000, 0.000000
1550749495.549180, 5.841609, 0.000000, 0.000000
1550749495.684407, 5.886544, 0.000000, 0.000000
1550749495.767506, 6.905164, 0.000000, 0.000000
1550749495.841099, 7.580543, 0.000000, 0.000000
1550749495.935580, 7.617299, 0.000000, 0.000000
1550749495.998681, 8.793928, 0.000000, 0.000000
1550749496.078521, 9.731169, 0.000000, 0.000000
1550749496.164825, 9.892885, 0.000000, 0.000000
1550749496.232984, 9.892885, 0.000000, 0.000000
1550749496.388488, 11.276936, 0.000000, 0.000000
1550749496.468053, 14.137167, 0.000000, 0.000000
1550749496.547300, 15.336801, 0.000000, 0.000000
1550749496.688579, 17.869909, 0.000000, 0.000000
1550749496.737562, 20.785469, 0.000000, 0.000000
1550749496.780413, 21.198436, 0.000000, 0.000000
1550749496.886467, 22.058923, 0.000000, 0.000000
1550749496.969086, 23.572533, 0.000000, 0.000000
1550749497.059694, 24.526904, 0.000000, 0.000000
1550749497.181093, 25.483773, 0.000000, 0.000000
1550749497.263492, 26.145993, 0.000000, 0.000000
1550749497.373896, 27.100312, 0.000000, 0.000000
1550749497.468908, 28.146744, 0.000000, 0.000000
1550749497.550407, 29.399446, 0.000000, 0.000000
1550749497.639661, 30.569614, 0.000000, 0.000000
1550749497.746352, 31.936484, 0.000000, 0.000000
1550749497.812369, 33.157959, 0.000000, 0.000000
1550749497.892598, 34.069877, 0.000000, 0.000000
1550749497.976332, 35.000104, 0.000000, 0.000000
1550749498.082782, 35.799588, 0.000000, 0.000000
1550749498.179559, 36.932022, 0.000000, 0.000000
1550749498.266259, 37.979627, 0.000000, 0.000000
1550749498.347860, 39.048989, 0.000000, 0.000000
1550749498.454354, 39.879691, 0.000000, 0.000000
1550749498.554147, 40.753784, 0.000000, 0.000000
1550749498.642353, 41.301861, 0.000000, 0.000000
1550749498.723773, 42.570530, 0.000000, 0.000000
1550749498.807935, 43.933421, 0.000000, 0.000000
1550749498.889931, 45.331470, 0.000000, 0.000000
1550749499.003099, 46.071744, 0.000000, 0.000000
1550749499.135515, 46.732880, 0.000000, 0.000000
1550749499.202443, 46.880740, 0.000000, 0.000000
1550749499.274642, 46.880740, 0.000000, 0.000000
1550749499.447476, 47.755972, 0.000000, 0.000000
1550749499.464876, 49.238181, 0.000000, 0.000000
1550749499.520969, 50.055741, 0.000000, 0.000000
1550749499.599193, 51.147680, 1.091939, 1.091939
1550749499.682039, 52.017424, 1.961683, 1.961683
1550749499.763735, 53.104851, 3.049109, 3.049109
1550749499.843588, 54.034039, 3.978298, 3.978298
1550749499.932140, 54.437263, 4.381521, 4.381521
1550749500.021334, 55.205230, 5.149489, 5.149489
1550749500.099214, 55.880118, 5.824377, 5.824377
1550749500.179692, 56.742860, 6.687119, 6.687119
1550749500.265074, 57.632530, 7.576788, 7.576788
1550749500.343793, 58.480711, 8.424969, 8.424969
1550749500.431225, 59.374285, 9.318544, 9.318544
1550749500.514028, 60.267292, 10.211550, 10.211550
1550749500.593298, 60.874080, 10.818339, 10.818339
1550749500.672482, 61.668420, 11.612679, 11.612679
1550749500.767331, 62.463593, 12.407852, 12.407852
1550749500.846376, 63.394801, 13.339060, 13.339060
1550749500.922119, 64.409717, 14.353976, 14.353976
1550749500.997909, 65.353952, 15.298211, 15.298211
1550749501.086486, 66.255704, 16.199963, 16.199963
1550749501.178423, 67.337366, 17.281625, 17.281625
1550749501.251290, 68.286948, 18.231206, 18.231206
1550749501.352618, 69.236129, 19.180388, 19.180388
1550749501.430228, 70.365217, 20.309476, 20.309476
1550749501.535518, 71.159913, 21.104172, 21.104172
1550749501.636469, 71.900076, 21.844335, 21.844335
1550749501.696541, 72.567060, 22.511319, 22.511319
1550749501.783986, 73.042809, 22.987068, 22.987068
1550749501.872671, 73.782452, 23.726711, 23.726711
1550749501.955936, 74.771178, 24.715436, 24.715436
1550749502.033526, 75.665848, 25.610107, 25.610107
1550749502.133075, 76.786986, 26.731245, 26.731245
1550749502.209517, 77.710989, 27.655248, 27.655248
1550749502.282634, 78.685974, 28.630233, 28.630233
1550749502.387322, 79.440114, 29.384373, 29.384373
1550749502.459724, 80.441880, 30.386138, 30.386138
1550749502.542237, 81.290075, 31.234333, 31.234333
1550749502.632157, 82.418197, 32.362456, 32.362456
1550749502.706108, 83.573764, 33.518022, 33.518022
1550749502.786125, 84.682615, 34.626874, 34.626874
1550749502.867223, 86.301083, 36.245342, 36.245342
1550749502.948013, 86.973233, 36.917491, 36.917491
1550749503.025678, 87.578015, 37.522274, 37.522274
1550749503.112426, 88.333634, 38.277893, 38.277893
1550749503.202284, 89.256582, 39.200840, 39.200840
1550749503.283784, 89.928041, 39.872300, 39.872300
1550749503.375838, 90.573665, 40.517924, 40.517924
1550749503.455400, 91.048807, 40.993066, 40.993066
1550749503.534840, 91.701786, 41.646045, 41.646045
1550749503.628274, 92.328157, 42.272416, 42.272416
1550749503.712298, 92.975303, 42.919561, 42.919561
1550749503.805912, 93.708121, 43.652379, 43.652379
1550749503.887505, 94.610140, 44.554399, 44.554399
1550749503.980156, 95.551676, 45.495935, 45.495935
1550749504.076843, 96.530003, 46.474262, 46.474262
1550749504.204449, 97.538886, 47.483145, 47.483145
1550749504.222736, 99.569091, 49.513349, 49.513349
1550749504.316695, 99.873360, 49.817619, 49.817619
1550749504.407384, 100.283378, 50.227637, 50.227637
1550749504.493408, 100.840003, 50.784262, 50.784262
1550749504.562768, 101.280211, 51.224470, 51.224470
1550749504.657679, 101.398459, 51.342718, 51.342718
1550749504.774299, 101.716893, 51.661152, 51.661152
1550749504.888448, 103.093385, 53.037644, 53.037644
1550749504.963187, 103.093462, 53.037721, 53.037721
1550749505.053400, 103.093462, 53.037721, 53.037721
1550749505.137913, 103.093462, 53.037721, 53.037721
1550749505.242323, 105.089297, 55.033556, 55.033556
1550749505.449348, 105.729370, 55.673628, 55.673628
1550749505.477641, 106.879769, 56.824028, 56.824028
1550749505.515261, 108.099211, 58.043470, 58.043470
1550749505.596429, 108.663392, 58.607651, 58.607651
1550749505.701382, 109.340660, 59.284919, 59.284919
1550749505.776629, 109.824086, 59.768345, 59.768345
1550749505.923142, 110.037717, 59.981976, 59.981976
1550749505.998889, 110.513825, 60.458084, 60.458084
1550749506.054928, 110.513825, 60.458084, 60.458084
1550749506.159197, 110.513825, 60.458084, 60.458084
