# time,beats,midi_note,midi_vel
1550748659.710693,  0.006869, 46.000000,106.000000
1550748659.711317,  0.006869, 75.000000,106.000000
1550748659.918665,  0.247290, 75.000000,111.000000
1550748659.924715,  0.254160, 73.000000,111.000000
1550748660.106907,  0.473973, 46.000000,116.000000
1550748660.130029,  0.501532, 73.000000,117.000000
1550748660.130178,  0.501532, 54.000000,117.000000
1550748660.130274,  0.501532, 61.000000,117.000000
1550748660.130377,  0.501532, 66.000000,117.000000
1550748660.130481,  0.501532, 78.000000,117.000000
1550748660.504293,  0.980429, 54.000000,126.000000
1550748660.504491,  0.980429, 61.000000,126.000000
1550748660.504635,  0.980429, 66.000000,126.000000
1550748660.504737,  0.980429, 78.000000,126.000000
1550748660.521023,  1.001737, 45.000000,126.000000
1550748660.521314,  1.001737, 75.000000,126.000000
1550748660.760390,  1.248450, 75.000000,125.000000
1550748660.765464,  1.254187, 73.000000,125.000000
1550748660.982034,  1.477950, 45.000000,124.000000
1550748660.997903,  1.495162, 73.000000,124.000000
1550748661.003372,  1.500807, 52.000000,123.000000
1550748661.003557,  1.500807, 57.000000,123.000000
1550748661.003670,  1.500807, 61.000000,123.000000
1550748661.003745,  1.500807, 67.000000,123.000000
1550748661.003810,  1.500807, 79.000000,123.000000
1550748661.519305,  1.974102, 52.000000,114.000000
1550748661.519500,  1.974102, 57.000000,114.000000
1550748661.519649,  1.974102, 61.000000,114.000000
1550748661.519781,  1.974102, 67.000000,114.000000
1550748661.519869,  1.974102, 79.000000,114.000000
1550748661.551681,  2.003886, 75.000000,113.000000
1550748661.883869,  2.245308, 75.000000, 99.000000
1550748661.895975,  2.253356, 73.000000, 99.000000
1550748662.228898,  2.498801, 73.000000, 85.000000
1550748662.233353,  2.501118, 85.000000, 84.000000
1550748663.031895,  2.735092, 85.000000, 69.000000
1550748663.941167,  3.002519, 44.000000, 51.000000
1550748663.941292,  3.002519, 68.000000, 51.000000
1550748664.240548,  3.247694, 68.000000, 68.000000
1550748664.245859,  3.252151, 69.000000, 68.000000
1550748664.526652,  3.475038, 44.000000, 84.000000
1550748664.553978,  3.497326, 69.000000, 85.000000
1550748664.559721,  3.502432, 56.000000, 86.000000
1550748664.559933,  3.502432, 61.000000, 86.000000
1550748664.560225,  3.502432, 64.000000, 86.000000
1550748664.560994,  3.502432, 68.000000, 86.000000
1550748664.619410,  3.563203, 68.000000, 87.000000
1550748664.619630,  3.563203, 69.000000, 87.000000
1550748664.674643,  3.623973, 69.000000, 88.000000
1550748664.680293,  3.630050, 68.000000, 88.000000
1550748664.780984,  3.745514, 68.000000, 91.000000
1550748664.786760,  3.751592, 67.000000, 91.000000
1550748664.989978,  3.976443, 56.000000, 96.000000
1550748664.990157,  3.976443, 61.000000, 96.000000
1550748664.990295,  3.976443, 64.000000, 96.000000
1550748665.011429,  4.000827, 67.000000, 96.000000
1550748665.011593,  4.000827, 54.000000, 96.000000
1550748665.011713,  4.000827, 56.000000, 96.000000
1550748665.011833,  4.000827, 60.000000, 96.000000
1550748665.011927,  4.000827, 68.000000, 96.000000
1550748665.212067,  4.248581, 68.000000, 94.000000
1550748665.217409,  4.255277, 76.000000, 93.000000
1550748665.401080,  4.476246, 54.000000, 91.000000
1550748665.401351,  4.476246, 56.000000, 91.000000
1550748665.401510,  4.476246, 60.000000, 91.000000
1550748665.414545,  4.496334, 76.000000, 91.000000
1550748665.420235,  4.502229, 37.000000, 90.000000
1550748665.420429,  4.502229, 73.000000, 90.000000
1550748665.693757,  4.748474, 73.000000, 81.000000
1550748665.699274,  4.753399, 61.000000, 81.000000
1550748665.947690,  4.975020, 37.000000, 72.000000
1550748665.975311,  4.999644, 61.000000, 72.000000
1550748665.980629,  5.003713, 56.000000, 71.000000
1550748665.980866,  5.003713, 64.000000, 71.000000
1550748665.981053,  5.003713, 73.000000, 71.000000
1550748666.626580,  5.475966, 56.000000, 48.000000
1550748666.627059,  5.475966, 64.000000, 48.000000
1550748666.665065,  5.505526, 56.000000, 46.000000
1550748666.665200,  5.505526, 64.000000, 46.000000
1550748667.101322,  5.949997, 73.000000, 38.000000
1550748667.129056,  5.977776, 56.000000, 38.000000
1550748667.129281,  5.977776, 64.000000, 38.000000
