time, phase
1543228726.203595, 0
1543228726.681888, 0
1543228727.111208, 0
1543228727.564705, 0
1543228728.054947, 0
1543228728.530495, 0
1543228728.915012, 0
1543228729.446609, 0
1543228729.885477, 0
1543228730.473358, 0
1543228731.003054, 0
1543228731.475241, 0
1543228731.940534, 0
1543228732.335510, 0
1543228732.753648, 0
1543228733.191853, 0
1543228733.618697, 0
1543228734.085834, 0
1543228734.600975, 0
1543228735.119086, 0
1543228735.641875, 0
1543228736.134161, 0
1543228736.683226, 0
1543228737.384224, 0
1543228738.059694, 0
1543228738.779743, 0
1543228739.272341, 0
1543228739.793457, 0
1543228740.268095, 0
1543228740.690380, 0
1543228741.114587, 0
1543228741.629196, 0
