time, palm_pos, vel, avg_vel, avg_vel_schm, avg_acc, avg_acc_schm, avg_still_buff
1542924770.832142, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.837509, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.843358, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.848730, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.854055, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.859466, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.865229, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.870665, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.876447, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.881965, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.887539, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.893034, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.898824, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.904535, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.909748, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.914968, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.920726, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.926642, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.932428, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.938385, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.944234, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.949817, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.956429, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.962245, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1542924770.968032, 141.123383, -50.841450, -0.388508, -20.000000, -38.850783, -150.000000, 1.000000
1542924770.973844, 141.123383, -50.841450, -0.899575, -20.000000, -51.106688, -150.000000, 0.900000
1542924770.979717, 141.123383, -50.841450, -1.763970, -20.000000, -86.439528, -150.000000, 0.800000
1542924770.985029, 141.123383, -50.841450, -3.175711, -20.000000, -141.174071, -150.000000, 0.700000
1542924770.990522, 140.258102, -44.175919, -5.219462, -20.000000, -204.375158, -204.375158, 0.600000
1542924770.996107, 140.258102, -44.175919, -7.991989, -20.000000, -277.252702, -277.252702, 0.500000
1542924771.001480, 140.258102, -44.175919, -11.444053, -20.000000, -345.206405, -345.206405, 0.400000
1542924771.006827, 140.258102, -44.175919, -15.452111, -20.000000, -400.805804, -400.805804, 0.300000
1542924771.012033, 139.576324, -36.628223, -19.774004, -20.000000, -432.189272, -432.189272, 0.200000
1542924771.017566, 139.576324, -36.628223, -24.223932, -24.223932, -444.992779, -444.992779, 0.100000
1542924771.023387, 139.576324, -36.628223, -28.526243, -28.526243, -430.231090, -430.231090, 0.000000
1542924771.028701, 139.576324, -36.628223, -32.421114, -32.421114, -389.487150, -389.487150, 0.000000
1542924771.034377, 139.554565, -17.028641, -35.543334, -35.543334, -312.221976, -312.221976, 0.000000
1542924771.039898, 139.554565, -17.028641, -37.848003, -37.848003, -230.466936, -230.466936, 0.000000
