time, beats
1543253992.186224, 0.006717
1543253992.195599, 0.013434
1543253992.201223, 0.020151
1543253992.206791, 0.026868
1543253992.212648, 0.033585
1543253992.223275, 0.040301
1543253992.229077, 0.047018
1543253992.234439, 0.053735
1543253992.242118, 0.060452
1543253992.247949, 0.067169
1543253992.253671, 0.073886
1543253992.259786, 0.080603
1543253992.266284, 0.087320
1543253992.272182, 0.094037
1543253992.277467, 0.100754
1543253992.282861, 0.107470
1543253992.289516, 0.114187
1543253992.294786, 0.120904
1543253992.301034, 0.127621
1543253992.306959, 0.134338
1543253992.312368, 0.141055
1543253992.318588, 0.147772
1543253992.324989, 0.154489
1543253992.330880, 0.161206
1543253992.337230, 0.167923
1543253992.344073, 0.174639
1543253992.355710, 0.181356
1543253992.367627, 0.188073
1543253992.373818, 0.194790
1543253992.379177, 0.201507
1543253992.385226, 0.208224
1543253992.391075, 0.214941
1543253992.396983, 0.221658
1543253992.403474, 0.228375
1543253992.411216, 0.235092
1543253992.416977, 0.241808
1543253992.422369, 0.248525
1543253992.427556, 0.255242
1543253992.433260, 0.261959
1543253992.439398, 0.268676
1543253992.445730, 0.275393
1543253992.451254, 0.282110
1543253992.456977, 0.288827
1543253992.462348, 0.295544
1543253992.469567, 0.302261
1543253992.475770, 0.308977
1543253992.481737, 0.315694
1543253992.486996, 0.322411
1543253992.498186, 0.329128
1543253992.505347, 0.335845
1543253992.510599, 0.342562
1543253992.519200, 0.349279
1543253992.525099, 0.355996
1543253992.530441, 0.362713
1543253992.536399, 0.369430
1543253992.543005, 0.376146
1543253992.549454, 0.382863
1543253992.555192, 0.389580
1543253992.560545, 0.396297
1543253992.566096, 0.403014
1543253992.572264, 0.409731
1543253992.577536, 0.416448
1543253992.584479, 0.423165
1543253992.593821, 0.429882
1543253992.605703, 0.436599
1543253992.615836, 0.443315
1543253992.625586, 0.450032
1543253992.634966, 0.456749
1543253992.643385, 0.463466
1543253992.650440, 0.470183
1543253992.655577, 0.476900
1543253992.661417, 0.483617
1543253992.666634, 0.483836
1543253992.672997, 0.484056
1543253992.678537, 0.484275
1543253992.684831, 0.484495
1543253992.690462, 0.484714
1543253992.699245, 0.484933
1543253992.705576, 0.485153
1543253992.711758, 0.485372
1543253992.716966, 0.485592
1543253992.722799, 0.485811
1543253992.728480, 0.486030
1543253992.734428, 0.486250
1543253992.740431, 0.486469
1543253992.746705, 0.486689
1543253992.752445, 0.486908
1543253992.758970, 0.487128
1543253992.764470, 0.487347
1543253992.770220, 0.487566
1543253992.775873, 0.487786
1543253992.781533, 0.488005
1543253992.787263, 0.488225
1543253992.796961, 0.488444
1543253992.802503, 0.488663
1543253992.808764, 0.488883
1543253992.813972, 0.489102
1543253992.819993, 0.489322
1543253992.825510, 0.489541
1543253992.831664, 0.489760
1543253992.837574, 0.489980
1543253992.847157, 0.490199
1543253992.856390, 0.490419
1543253992.868083, 0.490638
1543253992.878967, 0.490858
1543253992.886531, 0.491077
1543253992.892580, 0.491296
1543253992.898289, 0.491516
1543253992.903880, 0.491735
1543253992.908998, 0.491955
1543253992.914763, 0.492174
1543253992.920509, 0.492393
1543253992.926393, 0.492613
1543253992.932344, 0.492832
1543253992.940868, 0.493052
1543253992.946462, 0.493271
1543253992.952074, 0.493491
1543253992.957814, 0.493710
1543253992.963393, 0.493929
1543253992.969068, 0.494149
1543253992.976271, 0.494368
1543253992.983347, 0.494588
1543253992.990370, 0.494807
1543253992.997593, 0.495026
1543253993.003101, 0.495246
1543253993.009437, 0.495465
1543253993.014770, 0.495685
1543253993.023003, 0.495904
1543253993.029219, 0.496123
1543253993.035845, 0.496343
1543253993.041598, 0.496562
1543253993.047563, 0.496782
1543253993.053046, 0.497001
1543253993.059077, 0.497221
1543253993.064429, 0.497440
1543253993.072400, 0.497659
1543253993.079185, 0.497879
1543253993.084770, 0.498098
1543253993.090040, 0.498318
1543253993.096719, 0.498537
1543253993.108100, 0.498756
1543253993.123030, 0.498976
1543253993.138374, 0.499195
1543253993.144256, 0.499415
1543253993.150031, 0.499634
1543253993.156277, 0.499854
1543253993.161908, 0.500073
1543253993.174296, 0.500292
1543253993.181016, 0.500512
1543253993.186734, 0.500731
1543253993.192551, 0.506794
1543253993.197863, 0.512856
1543253993.203673, 0.518918
1543253993.208930, 0.524981
1543253993.214749, 0.531043
1543253993.220822, 0.537106
1543253993.227904, 0.543168
1543253993.233574, 0.549231
1543253993.239840, 0.555293
1543253993.246260, 0.561355
1543253993.251643, 0.567418
1543253993.257112, 0.573480
1543253993.263450, 0.579543
1543253993.268618, 0.585605
1543253993.274396, 0.591667
1543253993.279754, 0.597730
1543253993.285088, 0.603792
1543253993.290960, 0.609855
1543253993.296824, 0.615917
1543253993.302255, 0.621980
1543253993.308279, 0.628042
1543253993.314151, 0.634104
1543253993.319804, 0.640167
1543253993.325661, 0.646229
1543253993.332053, 0.652292
1543253993.337758, 0.658354
1543253993.343026, 0.664417
1543253993.349955, 0.670479
1543253993.356361, 0.676541
1543253993.364872, 0.682604
1543253993.370633, 0.688666
1543253993.376307, 0.694729
1543253993.382083, 0.700791
1543253993.387222, 0.706853
1543253993.392960, 0.712916
1543253993.398114, 0.718978
1543253993.403869, 0.725041
1543253993.409856, 0.731103
1543253993.415337, 0.737166
1543253993.420812, 0.743228
1543253993.426590, 0.749290
1543253993.431723, 0.755353
1543253993.437142, 0.761415
1543253993.442452, 0.767478
1543253993.447608, 0.773540
1543253993.453322, 0.779603
1543253993.459327, 0.785665
1543253993.465041, 0.791727
1543253993.471305, 0.797790
1543253993.476830, 0.803852
1543253993.482472, 0.809915
1543253993.488278, 0.815977
1543253993.493932, 0.822039
1543253993.499656, 0.828102
1543253993.504825, 0.834164
1543253993.510333, 0.840227
1543253993.515675, 0.846289
1543253993.521629, 0.852352
1543253993.526957, 0.858414
1543253993.532686, 0.864476
1543253993.539168, 0.870539
1543253993.544423, 0.876601
1543253993.550269, 0.882664
1543253993.557050, 0.888726
1543253993.563000, 0.894789
1543253993.568225, 0.900851
1543253993.573922, 0.906913
1543253993.579144, 0.912976
1543253993.584860, 0.919038
1543253993.590794, 0.925101
1543253993.596505, 0.931163
1543253993.630945, 0.937225
1543253993.636219, 0.943288
1543253993.641376, 0.949350
1543253993.646806, 0.955413
1543253993.652558, 0.963042
1543253993.658124, 0.970671
1543253993.663865, 0.978299
1543253993.669750, 0.985928
1543253993.675603, 0.993557
1543253993.681243, 1.001186
1543253993.686382, 1.008815
1543253993.692069, 1.016444
1543253993.697454, 1.024073
1543253993.702858, 1.031702
1543253993.708201, 1.039331
1543253993.713391, 1.046960
1543253993.719106, 1.054589
1543253993.724216, 1.062217
1543253993.730474, 1.069846
1543253993.735737, 1.077475
1543253993.742105, 1.085104
1543253993.748085, 1.092733
