time, beats
1543350424.047095, 0.005682
1543350424.052984, 0.011363
1543350424.058531, 0.017045
1543350424.064375, 0.022727
1543350424.069636, 0.028408
1543350424.074857, 0.034090
1543350424.082149, 0.039771
1543350424.089627, 0.045453
1543350424.095459, 0.051135
1543350424.100706, 0.056816
1543350424.107327, 0.062498
1543350424.112551, 0.068180
1543350424.118439, 0.073861
1543350424.124601, 0.079543
1543350424.130483, 0.085225
1543350424.135828, 0.090906
1543350424.141981, 0.096588
1543350424.147608, 0.102269
1543350424.153625, 0.107951
1543350424.161278, 0.113633
1543350424.168084, 0.119314
1543350424.173324, 0.124996
1543350424.178664, 0.130678
1543350424.186694, 0.136359
1543350424.191844, 0.142041
1543350424.197297, 0.147723
1543350424.202735, 0.153404
1543350424.208475, 0.159086
1543350424.213946, 0.164767
1543350424.220128, 0.170449
1543350424.225278, 0.176131
1543350424.232652, 0.181812
1543350424.238227, 0.187494
1543350424.243515, 0.193176
1543350424.248893, 0.198857
1543350424.254846, 0.204539
1543350424.260568, 0.210221
1543350424.266361, 0.215902
1543350424.272290, 0.221584
1543350424.277600, 0.227266
1543350424.283029, 0.232947
1543350424.290404, 0.238629
1543350424.295555, 0.244310
1543350424.301338, 0.249992
1543350424.306789, 0.255674
1543350424.311998, 0.261355
1543350424.317162, 0.267037
1543350424.322656, 0.272719
1543350424.328393, 0.278400
1543350424.334153, 0.284082
1543350424.339349, 0.289764
1543350424.345212, 0.295445
1543350424.350928, 0.301127
1543350424.356655, 0.306808
1543350424.362464, 0.312490
1543350424.367887, 0.318172
1543350424.373154, 0.323853
1543350424.378705, 0.329535
1543350424.384600, 0.335217
1543350424.389884, 0.340898
1543350424.395129, 0.346580
1543350424.400257, 0.352262
1543350424.406313, 0.357943
1543350424.412285, 0.363625
1543350424.417460, 0.369306
1543350424.423237, 0.374988
1543350424.429117, 0.380670
1543350424.434319, 0.386351
1543350424.439861, 0.392033
1543350424.446339, 0.397715
1543350424.452041, 0.403396
1543350424.457229, 0.409078
1543350424.462939, 0.414760
1543350424.468682, 0.420441
1543350424.473949, 0.426123
1543350424.479888, 0.431804
1543350424.485619, 0.437486
1543350424.491074, 0.443168
1543350424.496194, 0.448849
1543350424.501920, 0.454531
1543350424.507545, 0.460213
1543350424.512842, 0.465894
1543350424.517970, 0.471576
1543350424.523600, 0.477258
1543350424.529306, 0.482939
1543350424.534689, 0.489501
1543350424.540609, 0.496063
1543350424.546347, 0.502625
1543350424.551776, 0.509187
1543350424.557534, 0.515749
1543350424.563287, 0.522311
1543350424.569990, 0.528872
1543350424.575414, 0.535434
1543350424.581387, 0.541996
1543350424.587072, 0.548558
1543350424.593561, 0.555120
1543350424.599070, 0.561682
1543350424.604716, 0.568244
1543350424.610820, 0.574806
1543350424.616336, 0.581368
1543350424.621867, 0.587930
1543350424.627715, 0.594491
1543350424.632875, 0.601053
1543350424.637952, 0.607615
1543350424.643318, 0.614177
1543350424.648653, 0.620739
1543350424.654045, 0.627301
1543350424.660306, 0.633863
1543350424.665622, 0.640425
1543350424.671004, 0.646987
1543350424.676275, 0.653548
1543350424.681667, 0.660110
1543350424.687366, 0.666672
1543350424.692803, 0.673234
1543350424.697973, 0.679796
1543350424.703101, 0.686358
1543350424.708457, 0.692920
1543350424.713968, 0.699482
1543350424.719563, 0.706044
1543350424.724971, 0.712606
1543350424.730715, 0.719167
1543350424.736557, 0.725729
1543350424.741886, 0.732291
1543350424.747086, 0.738853
1543350424.752196, 0.745415
1543350424.757687, 0.751977
1543350424.762995, 0.758539
1543350424.768487, 0.765101
1543350424.774189, 0.771663
1543350424.779395, 0.778225
1543350424.784701, 0.784786
1543350424.790109, 0.791348
1543350424.795216, 0.797910
1543350424.800619, 0.804472
1543350424.805832, 0.811034
1543350424.811027, 0.817596
1543350424.816742, 0.824158
1543350424.821943, 0.830720
1543350424.827390, 0.837282
1543350424.833085, 0.843843
1543350424.838485, 0.850405
1543350424.844172, 0.856967
1543350424.849267, 0.863529
1543350424.854594, 0.870091
1543350424.859944, 0.876653
1543350424.865311, 0.883215
1543350424.870912, 0.889777
1543350424.876445, 0.896339
1543350424.881887, 0.902901
1543350424.887452, 0.909462
1543350424.892711, 0.916024
1543350424.898208, 0.922586
1543350424.904128, 0.929148
1543350424.909898, 0.935710
1543350424.915287, 0.942272
1543350424.920490, 0.948834
1543350424.925625, 0.955396
1543350424.931035, 0.961958
1543350424.936549, 0.968519
1543350424.941868, 0.975081
1543350424.948251, 0.981643
1543350424.953570, 0.988205
1543350424.959229, 0.994767
1543350424.965563, 1.001329
1543350424.971172, 1.007891
1543350424.977126, 1.014453
1543350424.983170, 1.021581
1543350424.989007, 1.028710
1543350424.994257, 1.035838
1543350424.999770, 1.042967
1543350425.005024, 1.050096
1543350425.010289, 1.057224
1543350425.015616, 1.064353
1543350425.021009, 1.071481
1543350425.026695, 1.078610
1543350425.033213, 1.085738
1543350425.038425, 1.092867
1543350425.044175, 1.099996
1543350425.049893, 1.107124
1543350425.055730, 1.114253
1543350425.061488, 1.121381
1543350425.066842, 1.128510
1543350425.072567, 1.135638
1543350425.078091, 1.142767
1543350425.083312, 1.149896
1543350425.088579, 1.157024
1543350425.093903, 1.164153
1543350425.099069, 1.171281
1543350425.104463, 1.178410
1543350425.109776, 1.185538
1543350425.115624, 1.192667
1543350425.121459, 1.199795
1543350425.127271, 1.206924
1543350425.132505, 1.214053
1543350425.138204, 1.221181
1543350425.143835, 1.228310
1543350425.149156, 1.235438
1543350425.154472, 1.242567
1543350425.159850, 1.249695
1543350425.166203, 1.256824
1543350425.171470, 1.263953
1543350425.176850, 1.271081
1543350425.182638, 1.278210
1543350425.188047, 1.285338
1543350425.193617, 1.292467
1543350425.199450, 1.299595
1543350425.205143, 1.306724
1543350425.211012, 1.313853
1543350425.216810, 1.320981
1543350425.222162, 1.328110
1543350425.227477, 1.335238
1543350425.234568, 1.342367
1543350425.240204, 1.349495
1543350425.245752, 1.356624
1543350425.251468, 1.363753
1543350425.256573, 1.370881
1543350425.261736, 1.378010
1543350425.266872, 1.385138
1543350425.272576, 1.392267
1543350425.278072, 1.399395
1543350425.283385, 1.406524
1543350425.288584, 1.413652
1543350425.293700, 1.420781
1543350425.298869, 1.427910
1543350425.304723, 1.435038
1543350425.310526, 1.442167
1543350425.315860, 1.449295
1543350425.321665, 1.456424
1543350425.327076, 1.463552
1543350425.332819, 1.470681
1543350425.338291, 1.477810
1543350425.343910, 1.484938
1543350425.349288, 1.492067
1543350425.354918, 1.499195
1543350425.360636, 1.506324
1543350425.365840, 1.513452
1543350425.371634, 1.520581
1543350425.376944, 1.527710
1543350425.382959, 1.534838
1543350425.388672, 1.541967
1543350425.393916, 1.549095
1543350425.399694, 1.556224
1543350425.404962, 1.563352
1543350425.410205, 1.570481
1543350425.415963, 1.577610
1543350425.421187, 1.584738
1543350425.426528, 1.591867
1543350425.431829, 1.598995
1543350425.437608, 1.606124
1543350425.443439, 1.613252
1543350425.448985, 1.620381
1543350425.454229, 1.627509
1543350425.459991, 1.634638
1543350425.466139, 1.641767
1543350425.471960, 1.648388
1543350425.477645, 1.655009
1543350425.483052, 1.661630
1543350425.488211, 1.668251
1543350425.494332, 1.674872
1543350425.500468, 1.681493
1543350425.506878, 1.688114
1543350425.512113, 1.694735
1543350425.518921, 1.701356
1543350425.524340, 1.707977
1543350425.529440, 1.714598
1543350425.534746, 1.721219
1543350425.540055, 1.727840
1543350425.546445, 1.734461
1543350425.552419, 1.741082
1543350425.558192, 1.747703
1543350425.564003, 1.754324
1543350425.569319, 1.760945
1543350425.574962, 1.767566
1543350425.581034, 1.774187
1543350425.586996, 1.780808
1543350425.592242, 1.787429
1543350425.597473, 1.794050
1543350425.602791, 1.800671
1543350425.608500, 1.807292
1543350425.614004, 1.813913
1543350425.619689, 1.820534
1543350425.625159, 1.827155
1543350425.630456, 1.833776
1543350425.635857, 1.840397
1543350425.641706, 1.847018
1543350425.647184, 1.853639
1543350425.652399, 1.860260
1543350425.657601, 1.866881
1543350425.663156, 1.873502
1543350425.668516, 1.880122
1543350425.674249, 1.886743
1543350425.679620, 1.893364
1543350425.685048, 1.899985
1543350425.690524, 1.906606
1543350425.695793, 1.913227
1543350425.700947, 1.919848
1543350425.706468, 1.926469
1543350425.712295, 1.933090
1543350425.717551, 1.939711
1543350425.722941, 1.946332
1543350425.728381, 1.952953
1543350425.733960, 1.959574
1543350425.739682, 1.966195
1543350425.745008, 1.972816
1543350425.750922, 1.979437
1543350425.756411, 1.986058
1543350425.762055, 1.992679
1543350425.767200, 1.999300
1543350425.772525, 2.005921
1543350425.777872, 2.012542
1543350425.783255, 2.019163
1543350425.789077, 2.025784
1543350425.794359, 2.032405
1543350425.799540, 2.039026
1543350425.804662, 2.045647
1543350425.810195, 2.052268
1543350425.815883, 2.058889
1543350425.821169, 2.065510
1543350425.826599, 2.072131
1543350425.831959, 2.078752
1543350425.837273, 2.085373
1543350425.843982, 2.091994
1543350425.849789, 2.098615
1543350425.855647, 2.105236
1543350425.860870, 2.111857
