time, palm_pos, vel, avg_vel, avg_vel_schm, avg_acc, avg_acc_schm, avg_still_buff
1551458815.694707, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.697586, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.701976, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.705155, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.706777, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.708523, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.709963, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.711380, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.713287, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.714704, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.716335, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.717796, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.719266, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.720856, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.722196, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.723600, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.724956, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.726376, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1551458815.728110, 90.950676, -4.707747, -0.007011, -100.000000, -0.701062, -150.000000, 1.000000
1551458815.729548, 90.950676, -4.707747, -0.014104, -100.000000, -0.709292, -150.000000, 1.000000
1551458815.730922, 90.950676, -4.707747, -0.021441, -100.000000, -0.733727, -150.000000, 1.000000
1551458815.732332, 90.950676, -4.707747, -0.029184, -100.000000, -0.774277, -150.000000, 1.000000
1551458815.735020, 90.951096, -3.438603, -0.035601, -100.000000, -0.641787, -150.000000, 1.000000
1551458815.736660, 90.951096, -3.438603, -0.042720, -100.000000, -0.711814, -150.000000, 1.000000
1551458815.738327, 90.951096, -3.438603, -0.050649, -100.000000, -0.792926, -150.000000, 1.000000
1551458815.739643, 91.019447, -0.427062, -0.055012, -100.000000, -0.436332, -150.000000, 1.000000
1551458815.741011, 91.019447, -0.427062, -0.060346, -100.000000, -0.533338, -150.000000, 1.000000
1551458815.742991, 91.019447, -0.427062, -0.066645, -100.000000, -0.629967, -150.000000, 1.000000
1551458815.744441, 91.019447, -0.427062, -0.073903, -100.000000, -0.725827, -150.000000, 1.000000
1551458815.747072, 91.019447, -0.427062, -0.082109, -100.000000, -0.820531, -150.000000, 1.000000
1551458815.748516, 91.019447, -0.427062, -0.091246, -100.000000, -0.913696, -150.000000, 1.000000
1551458815.749907, 91.019447, -0.427062, -0.101295, -100.000000, -1.004943, -150.000000, 1.000000
1551458815.751510, 91.087357, 1.769889, -0.108963, -100.000000, -0.766741, -150.000000, 1.000000
1551458815.753376, 91.087357, 1.769889, -0.117455, -100.000000, -0.849215, -150.000000, 1.000000
1551458815.754865, 91.087357, 1.769889, -0.126666, -100.000000, -0.921129, -150.000000, 1.000000
1551458815.756101, 91.087357, 1.769889, -0.136488, -100.000000, -0.982190, -150.000000, 1.000000
1551458815.757332, 91.087357, 1.769889, -0.146809, -100.000000, -1.032145, -150.000000, 1.000000
1551458815.758662, 91.087357, 1.769889, -0.157517, -100.000000, -1.070788, -150.000000, 1.000000
1551458815.760120, 91.087357, 1.769889, -0.168497, -100.000000, -1.097957, -150.000000, 1.000000
1551458815.761395, 91.159317, 3.490535, -0.177070, -100.000000, -0.857306, -150.000000, 1.000000
1551458815.763939, 91.159317, 3.490535, -0.185652, -100.000000, -0.858224, -150.000000, 1.000000
1551458815.765307, 91.159317, 3.490535, -0.194068, -100.000000, -0.841544, -150.000000, 1.000000
1551458815.766803, 91.297371, 6.840432, -0.197152, -100.000000, -0.308471, -150.000000, 1.000000
1551458815.768227, 91.297371, 6.840432, -0.199662, -100.000000, -0.250988, -150.000000, 1.000000
1551458815.769631, 91.297371, 6.840432, -0.201310, -100.000000, -0.164770, -150.000000, 1.000000
1551458815.770976, 91.297371, 6.840432, -0.201811, -100.000000, -0.050150, -150.000000, 1.000000
1551458815.772778, 91.297371, 6.840432, -0.200887, -100.000000, 0.092419, 0.092419, 1.000000
1551458815.774124, 91.297371, 6.840432, -0.198263, -100.000000, 0.262375, 0.262375, 1.000000
1551458815.775286, 91.297371, 6.840432, -0.193673, -100.000000, 0.459041, 0.459041, 1.000000
1551458815.776621, 91.297371, 6.840432, -0.186857, -100.000000, 0.681635, 0.681635, 1.000000
1551458815.778775, 91.428352, 9.036963, -0.174293, -100.000000, 1.256369, 1.256369, 1.000000
1551458815.780880, 91.428352, 9.036963, -0.158974, -100.000000, 1.531891, 1.531891, 1.000000
1551458815.782370, 91.428352, 9.036963, -0.140595, -100.000000, 1.837935, 1.837935, 1.000000
1551458815.783880, 91.636276, 12.981627, -0.112988, -100.000000, 2.760704, 2.760704, 1.000000
1551458815.788332, 91.636276, 12.981627, -0.081679, -100.000000, 3.130900, 3.130900, 1.000000
1551458815.791246, 91.636276, 12.981627, -0.046267, -100.000000, 3.541175, 3.541175, 1.000000
1551458815.797330, 91.636276, 12.981627, -0.006368, -100.000000, 3.989890, 3.989890, 1.000000
1551458815.803574, 91.636276, 12.981627, 0.038384, 0.038384, 4.475250, 4.475250, 1.000000
1551458815.805749, 91.636276, 12.981627, 0.088338, 0.088338, 4.995311, 4.995311, 1.000000
1551458815.811239, 91.867851, 14.283996, 0.145757, 0.145757, 5.741932, 5.741932, 1.000000
