time, phase
1551877161.764816, 0
1551877162.908193, 0
1551877164.002168, 0
1551877165.310955, 0
1551877166.548241, 0
1551877167.548553, 0
1551877168.502715, 0
1551877170.844975, 0
1551877174.843265, 0
1551877177.432345, 0
1551877179.699413, 0
1551877181.730224, 0
1551877182.842964, 0
1551877183.397702, 0
1551877183.876390, 0
1551877184.417839, 0
1551877185.078582, 0
1551877185.648729, 0
1551877186.228147, 0
1551877186.860546, 0
1551877187.366006, 0
1551877187.935065, 0
1551877188.439325, 0
1551877188.851128, 0
1551877189.318990, 0
1551877189.723818, 0
1551877190.037050, 0
1551877190.441042, 0
1551877190.834825, 0
1551877191.122266, 0
1551877191.385939, 0
1551877192.011836, 0
1551877192.875315, 0
1551877193.657743, 0
1551877194.552051, 0
1551877195.657128, 0
1551877196.665454, 0
1551877197.535763, 0
1551877198.494919, 0
1551877199.175458, 0
1551877200.038459, 0
1551877200.673145, 0
1551877201.358021, 0
1551877201.948027, 0
1551877202.549881, 0
1551877203.159627, 0
1551877203.628214, 0
1551877204.225568, 0
1551877204.710523, 0
1551877205.207406, 0
1551877205.656006, 0
1551877206.126157, 0
1551877206.749720, 0
1551877207.750857, 0
1551877209.255433, 0
1551877210.618759, 0
1551877212.849682, 0
1551877214.861944, 0
1551877216.487094, 0
1551877218.140422, 0
1551877219.795909, 0
1551877221.565223, 0
1551877223.172189, 0
1551877224.448690, 0
1551877225.704536, 0
1551877226.724005, 0
1551877227.780710, 0
1551877228.733663, 0
1551877229.652110, 0
1551877230.493937, 0
1551877231.462737, 0
1551877232.307460, 0
1551877232.865187, 0
1551877233.743736, 0
1551877234.296659, 0
1551877235.132449, 0
1551877235.921985, 0
1551877236.621573, 0
1551877237.299337, 0
1551877238.564614, 0
1551877239.342777, 0
1551877239.861320, 0
1551877240.906186, 0
1551877241.678544, 0
1551877242.754605, 0
1551877243.522442, 0
1551877244.193865, 0
1551877245.274886, 0
1551877245.982272, 0
1551877247.461917, 0
1551877248.895965, 0
1551877249.619542, 0
1551877251.825140, 0
1551877255.174688, 0
1551877257.600815, 0
1551877259.644068, 0
1551877261.150289, 0
1551877262.794101, 0
1551877264.641857, 0
1551877266.427336, 0
1551877268.400497, 0
1551877269.617011, 0
1551877270.467869, 0
1551877271.443385, 0
1551877272.183314, 0
1551877273.007559, 0
1551877273.649943, 0
1551877274.354784, 0
1551877274.974921, 0
1551877275.567865, 0
1551877276.105650, 0
1551877276.630467, 0
1551877277.152028, 0
1551877277.743771, 0
1551877278.331024, 0
1551877278.771227, 0
1551877279.211090, 0
1551877279.683072, 0
1551877280.487561, 0
1551877281.472663, 0
1551877282.233977, 0
1551877282.928089, 0
1551877283.606657, 0
1551877284.262412, 0
1551877284.888405, 0
1551877285.481508, 0
1551877286.030840, 0
1551877286.661433, 0
1551877287.069078, 0
1551877287.580379, 0
1551877288.031687, 0
1551877288.556844, 0
1551877288.882319, 0
1551877289.558407, 0
1551877290.179103, 0
1551877291.066483, 0
1551877291.866024, 0
1551877292.585804, 0
1551877293.075865, 0
1551877293.726245, 0
1551877294.498559, 0
1551877295.374903, 0
1551877296.388039, 0
1551877297.319306, 0
1551877297.904756, 0
1551877298.490852, 0
