time, palm_pos, vel, avg_vel, avg_vel_schm, avg_acc, avg_acc_schm, avg_still_buff
1551877161.374980, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.381114, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.386357, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.391969, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.397562, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.403032, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.408397, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.413840, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.419278, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.424594, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.429919, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.435492, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.442618, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.449658, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.454976, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.460393, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.465940, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.471797, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.477271, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.482676, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.488097, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.502585, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.512641, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.520145, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1551877161.528639, 56.399944, -427.872620, -1.288679, -20.000000, -128.867880, -150.000000, 0.900000
1551877161.536033, 56.399944, -427.872620, -2.638299, -20.000000, -134.962060, -150.000000, 0.800000
1551877161.541346, 51.221409, -302.211700, -3.791088, -20.000000, -115.278844, -150.000000, 0.700000
1551877161.548613, 51.221409, -302.211700, -5.225355, -20.000000, -143.426725, -150.000000, 0.600000
1551877161.553909, 48.619694, -251.622375, -6.866136, -20.000000, -164.078111, -164.078111, 0.500000
1551877161.559414, 46.906254, -207.902161, -8.798436, -20.000000, -193.229972, -193.229972, 0.400000
1551877161.564959, 46.906254, -207.902161, -11.197900, -20.000000, -239.946377, -239.946377, 0.300000
1551877161.572625, 45.977482, -136.662674, -14.094622, -20.000000, -289.672188, -289.672188, 0.200000
1551877161.577958, 45.977482, -136.662674, -17.295970, -20.000000, -320.134843, -320.134843, 0.100000
1551877161.583521, 45.977482, -136.662674, -21.019763, -21.019763, -372.379286, -372.379286, 0.000000
1551877161.589131, 45.977482, -136.662674, -25.250561, -25.250561, -423.079785, -423.079785, 0.000000
1551877161.594491, 45.832020, -77.433884, -29.786204, -29.786204, -453.564347, -453.564347, 0.000000
1551877161.600283, 45.832020, -77.433884, -34.764929, -34.764929, -497.872464, -497.872464, 0.000000
1551877161.605724, 45.985615, -37.650272, -40.130889, -40.130889, -536.596061, -536.596061, 0.000000
1551877161.610936, 45.985615, -37.650272, -45.702049, -45.702049, -557.115945, -557.115945, 0.000000
1551877161.616773, 45.985615, -37.650272, -51.524998, -51.524998, -582.294940, -582.294940, 0.000000
1551877161.622569, 47.128941, 10.127892, -57.372814, -57.372814, -584.781580, -584.781580, 0.000000
1551877161.627880, 47.128941, 10.127892, -63.296784, -63.296784, -592.397004, -592.397004, 0.000000
1551877161.633342, 47.128941, 10.127892, -69.196252, -69.196252, -589.946795, -589.946795, 0.000000
1551877161.639037, 49.852043, 77.874672, -74.766911, -74.766911, -557.065895, -557.065895, 0.000000
1551877161.644385, 49.852043, 77.874672, -80.104928, -80.104928, -533.801682, -533.801682, 0.000000
1551877161.651024, 49.852043, 77.874672, -85.096622, -85.096622, -499.169372, -499.169372, 0.000000
1551877161.656301, 53.592545, 141.349503, -89.442814, -89.442814, -434.619222, -434.619222, 0.000000
1551877161.661784, 53.592545, 141.349503, -93.225090, -93.225090, -378.227617, -378.227617, 0.000000
1551877161.667135, 53.592545, 141.349503, -96.334103, -96.334103, -310.901348, -310.901348, 0.000000
1551877161.672458, 53.592545, 141.349503, -98.671558, -98.671558, -233.745417, -233.745417, 0.000000
1551877161.677892, 55.602772, 129.632339, -100.187113, -100.187113, -151.555503, -151.555503, 0.000000
1551877161.683582, 55.602772, 129.632339, -100.775593, -100.775593, -58.848001, -150.000000, 0.000000
1551877161.688883, 55.602772, 129.632339, -100.384001, -100.384001, 39.159210, 39.159210, 0.000000
1551877161.694067, 59.362671, 169.991882, -98.853881, -98.853881, 153.011958, 153.011958, 0.000000
1551877161.699332, 59.362671, 169.991882, -96.280847, -96.280847, 257.303380, 257.303380, 0.000000
1551877161.705166, 59.362671, 169.991882, -92.650358, -92.650358, 363.048947, 363.048947, 0.000000
1551877161.710498, 64.654930, 232.235519, -87.777773, -87.777773, 487.258504, 487.258504, 0.000000
1551877161.715825, 64.654930, 232.235519, -81.861844, -81.861844, 591.592890, 591.592890, 0.000000
1551877161.721258, 64.654930, 232.235519, -74.922155, -74.922155, 693.968890, 693.968890, 0.000000
1551877161.726697, 70.635361, 284.505249, -66.995101, -66.995101, 792.705367, 792.705367, 0.000000
1551877161.732003, 70.635361, 284.505249, -57.975864, -57.975864, 901.923733, 901.923733, 0.000000
1551877161.737668, 70.635361, 284.505249, -48.082383, -48.082383, 989.348102, 989.348102, 0.000000
1551877161.743174, 74.560585, 257.127136, -37.382103, -37.382103, 1070.027995, 1070.027995, 0.000000
1551877161.748542, 74.560585, 257.127136, -26.038169, -26.038169, 1134.393401, 1134.393401, 0.000000
1551877161.754328, 74.560585, 257.127136, -14.064625, -20.000000, 1197.354423, 1197.354423, 0.000000
1551877161.759575, 74.560585, 257.127136, -1.572190, -20.000000, 1249.243510, 1249.243510, 0.000000
1551877161.764841, 79.071533, 257.944397, 11.322366, 11.322366, 1289.455593, 1289.455593, 0.000000
1551877161.770658, 79.071533, 257.944397, 24.490914, 24.490914, 1316.854764, 1316.854764, 0.000000
1551877161.775923, 79.071533, 257.944397, 37.803414, 37.803414, 1331.250036, 1331.250036, 0.000000
1551877161.781147, 83.190002, 248.943710, 51.127478, 51.127478, 1332.406374, 1332.406374, 0.000000
1551877161.786571, 83.190002, 248.943710, 64.303432, 64.303432, 1317.595437, 1317.595437, 0.000000
1551877161.791883, 83.190002, 248.943710, 77.226543, 77.226543, 1292.311060, 1292.311060, 0.000000
1551877161.797296, 83.190002, 248.943710, 89.767858, 89.767858, 1254.131526, 1254.131526, 0.000000
1551877161.802504, 87.703796, 253.691238, 101.819013, 101.819013, 1205.115421, 1205.115421, 0.000000
1551877161.808105, 87.703796, 253.691238, 114.601424, 114.601424, 1278.241113, 1278.241113, 0.000000
1551877161.813811, 87.703796, 253.691238, 126.844206, 126.844206, 1224.278276, 1224.278276, 0.000000
1551877161.819161, 96.177650, 362.725342, 138.506089, 138.506089, 1166.188249, 1166.188249, 0.000000
1551877161.824511, 96.177650, 362.725342, 149.652294, 149.652294, 1114.620476, 1114.620476, 0.000000
1551877161.829715, 96.177650, 362.725342, 160.162360, 160.162360, 1051.006633, 1051.006633, 0.000000
1551877161.834898, 102.494652, 363.887695, 170.086916, 170.086916, 992.455598, 992.455598, 0.000000
1551877161.840270, 102.494652, 363.887695, 179.582026, 179.582026, 949.510999, 949.510999, 0.000000
1551877161.845528, 102.494652, 363.887695, 188.682793, 188.682793, 910.076664, 910.076664, 0.000000
1551877161.850953, 102.494652, 363.887695, 197.206119, 197.206119, 852.332604, 852.332604, 0.000000
1551877161.856887, 107.699669, 334.712646, 205.305970, 205.305970, 809.985154, 809.985154, 0.000000
1551877161.862151, 107.699669, 334.712646, 213.098845, 213.098845, 779.287516, 779.287516, 0.000000
1551877161.867410, 107.699669, 334.712646, 220.427473, 220.427473, 732.862718, 732.862718, 0.000000
1551877161.872851, 113.109184, 323.715485, 227.454486, 227.454486, 702.701350, 702.701350, 0.000000
1551877161.878315, 113.109184, 323.715485, 234.233213, 234.233213, 677.872660, 677.872660, 0.000000
1551877161.883672, 113.109184, 323.715485, 240.660898, 240.660898, 642.768497, 642.768497, 0.000000
1551877161.889569, 118.236412, 310.721008, 246.833415, 246.833415, 617.251732, 617.251732, 0.000000
1551877161.894866, 118.236412, 310.721008, 252.656099, 252.656099, 582.268388, 582.268388, 0.000000
1551877161.900857, 118.236412, 310.721008, 258.277670, 258.277670, 562.157154, 562.157154, 0.000000
