time, beats
1551878011.215808, 0.009742
1551878011.220970, 0.019484
1551878011.227105, 0.029226
1551878011.237272, 0.038969
1551878011.242542, 0.048711
1551878011.247702, 0.058453
1551878011.261030, 0.068195
1551878011.266803, 0.077937
1551878011.272590, 0.087679
1551878011.278307, 0.097421
1551878011.285734, 0.107164
1551878011.290898, 0.116906
1551878011.296191, 0.126648
1551878011.308021, 0.136390
1551878011.313536, 0.146132
1551878011.320677, 0.155874
1551878011.327923, 0.165616
1551878011.333317, 0.175358
1551878011.339186, 0.185101
1551878011.345688, 0.194843
1551878011.351023, 0.204585
1551878011.357643, 0.214327
1551878011.363130, 0.224069
1551878011.368626, 0.233811
1551878011.374376, 0.243553
1551878011.379999, 0.253296
1551878011.385724, 0.263038
1551878011.391442, 0.272780
1551878011.398072, 0.282522
1551878011.404735, 0.292264
1551878011.410467, 0.302006
1551878011.415844, 0.311748
1551878011.421218, 0.321491
1551878011.426521, 0.331233
1551878011.432055, 0.340975
1551878011.437773, 0.350717
1551878011.444014, 0.360459
1551878011.449723, 0.370201
1551878011.455008, 0.379943
1551878011.460632, 0.389686
1551878011.467435, 0.399428
1551878011.472753, 0.409170
1551878011.478153, 0.418912
1551878011.484036, 0.428654
1551878011.490474, 0.438396
1551878011.496534, 0.448138
1551878011.502240, 0.457880
1551878011.507372, 0.467623
1551878011.513777, 0.477365
1551878011.519157, 0.487107
1551878011.524329, 0.496849
1551878011.530044, 0.506591
1551878011.539126, 0.516333
1551878011.546061, 0.526075
1551878011.556293, 0.535818
1551878011.565047, 0.545560
1551878011.573992, 0.555302
1551878011.579929, 0.565044
1551878011.585016, 0.574786
1551878011.590502, 0.584528
1551878011.596081, 0.594270
1551878011.601851, 0.604013
1551878011.608520, 0.613755
1551878011.613972, 0.623497
1551878011.619347, 0.633239
1551878011.625767, 0.642981
1551878011.632127, 0.649779
1551878011.637869, 0.656577
1551878011.645042, 0.663375
1551878011.653674, 0.670173
1551878011.659449, 0.676971
1551878011.664561, 0.683768
1551878011.670322, 0.690566
1551878011.675598, 0.697364
1551878011.680806, 0.704162
1551878011.691521, 0.710960
1551878011.697652, 0.717758
1551878011.702986, 0.724556
1551878011.710418, 0.731354
1551878011.715544, 0.738152
1551878011.723553, 0.744950
1551878011.728867, 0.751747
1551878011.736764, 0.758545
1551878011.741998, 0.765343
1551878011.748140, 0.772141
1551878011.754046, 0.778939
1551878011.759874, 0.785737
1551878011.765153, 0.792535
1551878011.770969, 0.799333
1551878011.777413, 0.806131
1551878011.782935, 0.812929
1551878011.788708, 0.819726
1551878011.794175, 0.826524
1551878011.799810, 0.833322
1551878011.805412, 0.840120
1551878011.811235, 0.846918
1551878011.817173, 0.853716
1551878011.824935, 0.860514
1551878011.831457, 0.867312
1551878011.836959, 0.874110
1551878011.842236, 0.880907
1551878011.848776, 0.887705
1551878011.854296, 0.894503
1551878011.859700, 0.901301
1551878011.865268, 0.915189
1551878011.870413, 0.929076
1551878011.877276, 0.942964
1551878011.886331, 0.956851
1551878011.894380, 0.970739
1551878011.900668, 0.984626
1551878011.906717, 0.998514
1551878011.916046, 1.012401
1551878011.922086, 1.026289
1551878011.927644, 1.040176
1551878011.937153, 1.054064
1551878011.942589, 1.067951
1551878011.948479, 1.081839
1551878011.958284, 1.095726
1551878011.963799, 1.109614
1551878011.970018, 1.123501
1551878011.975767, 1.137388
1551878011.981557, 1.151276
1551878011.987351, 1.165163
1551878011.992613, 1.179051
1551878011.997949, 1.192938
1551878012.003447, 1.206826
1551878012.008554, 1.220713
1551878012.014314, 1.234601
1551878012.019480, 1.248488
1551878012.026656, 1.262376
1551878012.031912, 1.276263
1551878012.037625, 1.290151
1551878012.042842, 1.304038
1551878012.053346, 1.317926
1551878012.066831, 1.331813
1551878012.074137, 1.345701
1551878012.079664, 1.359588
1551878012.085630, 1.373476
1551878012.091720, 1.387363
1551878012.097343, 1.401251
1551878012.105181, 1.415138
1551878012.113624, 1.429026
1551878012.119992, 1.442913
1551878012.125436, 1.456801
1551878012.130560, 1.470688
1551878012.135646, 1.484576
1551878012.141373, 1.498463
1551878012.147167, 1.512351
1551878012.152505, 1.526238
1551878012.157817, 1.540126
1551878012.163511, 1.554013
1551878012.169940, 1.567901
1551878012.175984, 1.581788
1551878012.181672, 1.595676
1551878012.187598, 1.609563
1551878012.194169, 1.623451
1551878012.199526, 1.637338
1551878012.204768, 1.651226
1551878012.210151, 1.665113
1551878012.215455, 1.679001
1551878012.221109, 1.692888
1551878012.226674, 1.706776
1551878012.232729, 1.720663
1551878012.238502, 1.734551
1551878012.244252, 1.748438
1551878012.249667, 1.762326
1551878012.256643, 1.776213
1551878012.261798, 1.790101
1551878012.267501, 1.803988
1551878012.273877, 1.817875
1551878012.279540, 1.831763
1551878012.285439, 1.845650
1551878012.290589, 1.859538
1551878012.295737, 1.873425
1551878012.301387, 1.887313
1551878012.307173, 1.901200
1551878012.312725, 1.915088
1551878012.317958, 1.928975
1551878012.323067, 1.942863
1551878012.328382, 1.956750
1551878012.333822, 1.970638
1551878012.339119, 1.984525
1551878012.344829, 1.998413
1551878012.350364, 2.012300
1551878012.356101, 2.026188
1551878012.361422, 2.040075
1551878012.366753, 2.053963
1551878012.371889, 2.067850
1551878012.380232, 2.081738
1551878012.387410, 2.095625
1551878012.392735, 2.109513
1551878012.398252, 2.123400
1551878012.406290, 2.129284
1551878012.412465, 2.135168
1551878012.421903, 2.141051
1551878012.428213, 2.146935
1551878012.434354, 2.152818
1551878012.441656, 2.158702
1551878012.449457, 2.164586
1551878012.455420, 2.170469
1551878012.461603, 2.176353
1551878012.467470, 2.182237
1551878012.473983, 2.188120
1551878012.479695, 2.194004
1551878012.485137, 2.199888
1551878012.493114, 2.205771
1551878012.499281, 2.211655
1551878012.504911, 2.217539
1551878012.510668, 2.223422
1551878012.516610, 2.229306
1551878012.522214, 2.235189
1551878012.527935, 2.241073
1551878012.534087, 2.246957
1551878012.539630, 2.252840
1551878012.545589, 2.258724
1551878012.556458, 2.264608
1551878012.564645, 2.270491
1551878012.572042, 2.276375
1551878012.578493, 2.282259
1551878012.584361, 2.288142
1551878012.590471, 2.294026
1551878012.595952, 2.299909
1551878012.601785, 2.305793
1551878012.612403, 2.311677
1551878012.617892, 2.317560
1551878012.623239, 2.323444
1551878012.628891, 2.329328
1551878012.634147, 2.335211
1551878012.639352, 2.341095
1551878012.645100, 2.346979
1551878012.650453, 2.352862
1551878012.656397, 2.358746
1551878012.661642, 2.364630
1551878012.666988, 2.370513
1551878012.672443, 2.376397
1551878012.678128, 2.382280
1551878012.683957, 2.388164
1551878012.689162, 2.394048
1551878012.695044, 2.399931
1551878012.700909, 2.405815
1551878012.706757, 2.411699
1551878012.712509, 2.417582
1551878012.717867, 2.423466
1551878012.723604, 2.429350
1551878012.728874, 2.435233
1551878012.734600, 2.441117
1551878012.741426, 2.447000
1551878012.747098, 2.452884
1551878012.752821, 2.458768
1551878012.758612, 2.464651
1551878012.764031, 2.470535
1551878012.769445, 2.476419
1551878012.774646, 2.482302
1551878012.779892, 2.488186
1551878012.785608, 2.494070
1551878012.790837, 2.499953
1551878012.796659, 2.505837
1551878012.803278, 2.511721
1551878012.808652, 2.517604
1551878012.813735, 2.523488
1551878012.819177, 2.529371
1551878012.824584, 2.535255
1551878012.829710, 2.541139
1551878012.835648, 2.547022
1551878012.840734, 2.552906
1551878012.845940, 2.558790
1551878012.851165, 2.564673
1551878012.856299, 2.570557
1551878012.861744, 2.576441
1551878012.866890, 2.582324
1551878012.872067, 2.588208
1551878012.877224, 2.594092
1551878012.882622, 2.599975
1551878012.887936, 2.605859
1551878012.893698, 2.611742
1551878012.899084, 2.617626
1551878012.904233, 2.623510
1551878012.910123, 2.629393
1551878012.915628, 2.635277
1551878012.921340, 2.641161
1551878012.926568, 2.647044
1551878012.933726, 2.653111
1551878012.938907, 2.659177
1551878012.944099, 2.665244
1551878012.949565, 2.671310
1551878012.955825, 2.677376
1551878012.961322, 2.683443
1551878012.967360, 2.689509
1551878012.972546, 2.695576
1551878012.980381, 2.701642
1551878012.985783, 2.707708
1551878012.991507, 2.713775
1551878012.997337, 2.719841
1551878013.003456, 2.725908
1551878013.008745, 2.731974
1551878013.014457, 2.738041
1551878013.019815, 2.744107
1551878013.025299, 2.750173
1551878013.030951, 2.756240
1551878013.037081, 2.762306
1551878013.042820, 2.768373
1551878013.052610, 2.774439
1551878013.057678, 2.780506
1551878013.063205, 2.786572
1551878013.068400, 2.792638
1551878013.075234, 2.798705
1551878013.080845, 2.804771
1551878013.086068, 2.810838
1551878013.091185, 2.816904
1551878013.097031, 2.822970
1551878013.102600, 2.829037
1551878013.113566, 2.835103
1551878013.119122, 2.841170
1551878013.125725, 2.847236
1551878013.132518, 2.853303
1551878013.137961, 2.859369
1551878013.144126, 2.865435
1551878013.149678, 2.871502
1551878013.155217, 2.877568
1551878013.161101, 2.883635
1551878013.166999, 2.889701
1551878013.172709, 2.895768
1551878013.178035, 2.901834
1551878013.186473, 2.907900
1551878013.193230, 2.913967
1551878013.198475, 2.920033
1551878013.203880, 2.926100
1551878013.211066, 2.932166
1551878013.216695, 2.938232
1551878013.222437, 2.944299
1551878013.228022, 2.950365
1551878013.233787, 2.956432
1551878013.239023, 2.962498
1551878013.246323, 2.968565
1551878013.251631, 2.974631
1551878013.257143, 2.980697
1551878013.262561, 2.986764
1551878013.268268, 2.992830
1551878013.274110, 2.998897
1551878013.280895, 3.004963
1551878013.286292, 3.011029
1551878013.291684, 3.017096
1551878013.298544, 3.023162
1551878013.304763, 3.029229
1551878013.310623, 3.035295
1551878013.316110, 3.041362
1551878013.326160, 3.047428
1551878013.333829, 3.053494
1551878013.340896, 3.059561
1551878013.347486, 3.065627
1551878013.354183, 3.071694
1551878013.359752, 3.077760
1551878013.367081, 3.083827
1551878013.373218, 3.089893
1551878013.378826, 3.095959
1551878013.387037, 3.102026
1551878013.396390, 3.108092
1551878013.402298, 3.114159
1551878013.407750, 3.120225
1551878013.413422, 3.126291
1551878013.421874, 3.132358
1551878013.428826, 3.138424
1551878013.435801, 3.144491
1551878013.443377, 3.150557
1551878013.449539, 3.156624
1551878013.454992, 3.162690
1551878013.461688, 3.168756
1551878013.466937, 3.174823
1551878013.472347, 3.180889
1551878013.477680, 3.186956
1551878013.482837, 3.193022
1551878013.491477, 3.199089
1551878013.497479, 3.205155
1551878013.503432, 3.210824
1551878013.509197, 3.216494
1551878013.514444, 3.222163
1551878013.519920, 3.227833
1551878013.526135, 3.233502
1551878013.535125, 3.239172
1551878013.542476, 3.244841
1551878013.553637, 3.250511
1551878013.560408, 3.256180
1551878013.567324, 3.261849
1551878013.572515, 3.267519
1551878013.577956, 3.273188
1551878013.584879, 3.278858
1551878013.591359, 3.284527
1551878013.596571, 3.290197
1551878013.603410, 3.295866
1551878013.615465, 3.301536
1551878013.621685, 3.307205
1551878013.629962, 3.312874
1551878013.636082, 3.318544
1551878013.641454, 3.324213
1551878013.646722, 3.329883
1551878013.652969, 3.335552
1551878013.658304, 3.341222
1551878013.664064, 3.346891
1551878013.669952, 3.352561
1551878013.675533, 3.358230
1551878013.681167, 3.363899
1551878013.687136, 3.369569
1551878013.692512, 3.375238
1551878013.698738, 3.380908
1551878013.708768, 3.386577
1551878013.715973, 3.392247
1551878013.722565, 3.397916
1551878013.728295, 3.403586
1551878013.734187, 3.409255
1551878013.740038, 3.414924
1551878013.745212, 3.420594
1551878013.750512, 3.426263
1551878013.755999, 3.431933
1551878013.762099, 3.437602
