time,phase_from_reg,phase_for_plbck,plbck_pos
1552484321.048621, 0.002223, 0.000000, 0.000000
1552484321.185626, 0.819075, 0.000000, 0.000000
1552484321.353586, 3.734705, 0.000000, 0.000000
1552484321.477054, 0.000000, 0.000000, 0.000000
1552484321.528119, 0.000000, 0.000000, 0.000000
1552484321.563672, 0.000000, 0.000000, 0.000000
1552484321.606251, 2.145611, 0.000000, 0.000000
1552484321.778491, 2.977022, 0.000000, 0.000000
1552484321.950680, 2.977022, 0.000000, 0.000000
1552484321.987566, 3.876096, 0.000000, 0.000000
1552484322.037425, 5.424788, 0.000000, 0.000000
1552484322.120210, 7.196449, 0.000000, 0.000000
1552484322.280332, 7.196449, 0.000000, 0.000000
1552484322.370254, 7.196449, 0.000000, 0.000000
1552484322.392336, 7.196449, 0.000000, 0.000000
1552484322.564790, 7.639458, 0.000000, 0.000000
1552484322.628950, 3.141593, 0.000000, 0.000000
1552484322.693499, 3.141593, 0.000000, 0.000000
1552484322.820357, 3.141593, 0.000000, 0.000000
1552484322.872955, 3.283464, 0.141871, 0.141871
1552484322.956329, 3.795186, 0.653593, 0.653593
1552484323.044368, 5.214058, 2.072465, 2.072465
1552484323.130995, 9.424778, 6.283185, 6.283185
1552484323.191970, 11.986325, 8.844733, 8.844733
1552484323.267882, 12.118360, 8.976767, 8.976767
1552484323.365990, 12.805407, 9.663814, 9.663814
1552484323.523721, 15.341412, 12.199819, 12.199819
1552484323.592156, 15.350495, 12.208902, 12.208902
1552484323.626567, 15.350495, 12.208902, 12.208902
1552484323.714815, 15.350495, 12.208902, 12.208902
1552484323.891093, 15.350495, 12.208902, 12.208902
1552484323.969304, 15.350495, 12.208902, 12.208902
1552484324.071702, 15.350495, 12.208902, 12.208902
1552484324.147518, 15.350495, 12.208902, 12.208902
1552484324.226086, 15.350495, 12.208902, 12.208902
1552484324.311223, 15.350495, 12.208902, 12.208902
1552484324.390995, 15.350495, 12.208902, 12.208902
1552484324.471916, 15.350495, 12.208902, 12.208902
1552484324.560018, 15.350495, 12.208902, 12.208902
1552484324.641835, 15.350495, 12.208902, 12.208902
1552484324.731494, 15.350495, 12.208902, 12.208902
1552484324.797848, 15.350495, 12.208902, 12.208902
1552484324.883275, 15.350495, 12.208902, 12.208902
1552484324.962510, 15.877771, 12.736178, 12.736178
1552484325.043820, 16.421028, 13.279435, 13.279435
1552484325.125046, 16.758372, 13.616779, 13.616779
1552484325.209240, 17.171053, 14.029460, 14.029460
1552484325.289826, 17.692017, 14.550424, 14.550424
1552484325.382778, 18.216717, 15.075125, 15.075125
1552484325.452222, 18.657774, 15.516182, 15.516182
1552484325.532773, 19.133136, 15.991543, 15.991543
1552484325.620027, 19.618907, 16.477315, 16.477315
1552484325.706960, 20.264962, 17.123370, 17.123370
1552484325.822695, 20.806990, 17.665397, 17.665397
1552484325.889267, 21.301799, 18.160207, 18.160207
1552484326.019522, 21.743850, 18.602258, 18.602258
1552484326.079418, 22.351729, 19.210136, 19.210136
1552484326.201002, 22.774763, 19.633170, 19.633170
1552484326.263916, 23.180262, 20.038669, 20.038669
1552484326.350023, 23.856727, 20.715135, 20.715135
1552484326.425311, 24.393762, 21.252169, 21.252169
1552484326.515085, 24.914896, 21.773303, 21.773303
1552484326.605666, 25.637561, 22.495969, 22.495969
1552484326.678054, 25.982990, 22.841397, 22.841397
1552484326.757927, 26.354470, 23.212878, 23.212878
1552484326.834302, 26.887371, 23.745778, 23.745778
1552484326.912240, 27.383307, 24.241714, 24.241714
1552484326.995306, 27.901667, 24.760074, 24.760074
1552484327.078223, 28.449157, 25.307564, 25.307564
1552484327.172905, 28.925495, 25.783902, 25.783902
1552484327.257337, 29.230786, 26.089193, 26.089193
1552484327.338682, 29.842372, 26.700779, 26.700779
1552484327.421360, 30.444897, 27.303304, 27.303304
1552484327.501216, 31.022671, 27.881078, 27.881078
1552484327.591257, 31.660501, 28.518908, 28.518908
1552484327.663774, 32.341690, 29.200097, 29.200097
1552484327.739364, 32.995674, 29.854081, 29.854081
1552484327.839266, 33.551456, 30.409864, 30.409864
1552484327.916457, 34.050747, 30.909154, 30.909154
1552484327.991582, 34.542462, 31.400869, 31.400869
1552484328.070595, 35.010957, 31.869365, 31.869365
1552484328.197617, 35.325976, 32.184384, 32.184384
1552484328.289346, 35.742643, 32.601051, 32.601051
1552484328.368042, 36.344090, 33.202497, 33.202497
1552484328.451254, 36.877104, 33.735511, 33.735511
1552484328.537285, 37.450690, 34.309097, 34.309097
1552484328.619412, 38.054610, 34.913017, 34.913017
1552484328.712914, 38.715344, 35.573751, 35.573751
1552484328.799113, 39.439229, 36.297636, 36.297636
1552484328.877039, 40.124621, 36.983029, 36.983029
1552484328.960150, 40.777342, 37.635749, 37.635749
1552484329.051420, 41.577390, 38.435798, 38.435798
1552484329.161379, 41.877298, 38.735706, 38.735706
1552484329.268564, 42.278240, 39.136647, 39.136647
1552484329.382985, 42.754307, 39.612715, 39.612715
1552484329.508483, 43.241786, 40.100193, 40.100193
1552484329.618407, 43.764543, 40.622950, 40.622950
1552484329.762237, 44.362890, 41.221298, 41.221298
1552484329.834924, 45.033714, 41.892122, 41.892122
1552484329.940594, 45.692457, 42.550865, 42.550865
1552484329.984151, 46.358974, 43.217381, 43.217381
1552484330.084597, 47.083665, 43.942072, 43.942072
1552484330.167836, 47.840591, 44.698998, 44.698998
1552484330.254601, 48.411439, 45.269846, 45.269846
1552484330.347224, 49.046749, 45.905157, 45.905157
1552484330.494921, 49.663711, 46.522118, 46.522118
1552484330.582046, 50.424206, 47.282613, 47.282613
1552484330.632339, 50.902320, 47.760727, 47.760727
1552484330.737353, 51.536736, 48.395143, 48.395143
1552484330.815249, 52.312169, 49.170576, 49.170576
1552484330.888909, 53.004951, 49.863359, 49.863359
1552484330.982158, 53.689377, 50.547784, 50.547784
1552484331.071583, 54.355237, 51.213644, 51.213644
1552484331.162404, 54.508978, 51.367385, 51.367385
1552484331.272010, 55.042282, 51.900690, 51.900690
1552484331.387193, 55.590990, 52.449397, 52.449397
1552484331.509012, 56.002303, 52.860710, 52.860710
1552484331.609107, 56.794770, 53.653177, 53.653177
1552484331.708957, 57.683750, 54.542157, 54.542157
1552484331.780636, 58.368561, 55.226969, 55.226969
1552484331.866168, 59.122526, 55.980934, 55.980934
1552484331.978376, 59.957172, 56.815579, 56.815579
1552484332.065687, 60.608807, 57.467215, 57.467215
1552484332.164826, 61.073041, 57.931449, 57.931449
1552484332.246129, 61.647491, 58.505898, 58.505898
1552484332.308320, 62.079897, 58.938304, 58.938304
1552484332.409275, 62.566327, 59.424735, 59.424735
