time,beats,midi_note,midi_vel
1552500813.514381, 0.000000, 64.000000, 78.000000
1552500814.507055, 0.500502, 64.000000, 31.000000
1552500814.507276, 0.500502, 33.000000, 31.000000
1552500814.507404, 0.500502, 69.000000, 31.000000
1552500814.745337, 0.745051, 69.000000, 31.000000
1552500814.751611, 0.750606, 71.000000, 31.000000
1552500815.005127, 0.995038, 33.000000, 32.000000
1552500815.005515, 0.995038, 71.000000, 32.000000
1552500815.017851, 1.006149, 57.000000, 32.000000
1552500815.018048, 1.006149, 60.000000, 32.000000
1552500815.018232, 1.006149, 64.000000, 32.000000
1552500815.018408, 1.006149, 72.000000, 32.000000
1552500815.613276, 1.497293, 57.000000, 35.000000
1552500815.613654, 1.497293, 60.000000, 35.000000
1552500815.613770, 1.497293, 64.000000, 35.000000
1552500815.613885, 1.497293, 72.000000, 35.000000
1552500815.623026, 1.502082, 57.000000, 35.000000
1552500815.623237, 1.502082, 60.000000, 35.000000
1552500815.623413, 1.502082, 64.000000, 35.000000
1552500815.623539, 1.502082, 72.000000, 35.000000
1552500816.172917, 1.998367, 57.000000, 15.000000
1552500816.173359, 1.998367, 60.000000, 15.000000
1552500816.173519, 1.998367, 64.000000, 15.000000
1552500816.173790, 1.998367, 72.000000, 15.000000
1552500816.178847, 2.004364, 38.000000, 15.000000
1552500816.179085, 2.004364, 74.000000, 15.000000
1552500816.436785, 2.246362, 74.000000, 42.000000
1552500816.442917, 2.251928, 76.000000, 42.000000
1552500816.718119, 2.496812, 38.000000, 59.000000
1552500816.718376, 2.496812, 76.000000, 59.000000
1552500816.725021, 2.502378, 57.000000, 59.000000
1552500816.725280, 2.502378, 62.000000, 59.000000
1552500816.725407, 2.502378, 65.000000, 59.000000
1552500816.725510, 2.502378, 77.000000, 59.000000
1552500817.261497, 2.999838, 57.000000, 33.000000
1552500817.261816, 2.999838, 62.000000, 33.000000
1552500817.261990, 2.999838, 65.000000, 33.000000
1552500817.270852, 3.005100, 57.000000, 33.000000
1552500817.271037, 3.005100, 62.000000, 33.000000
1552500817.271112, 3.005100, 65.000000, 33.000000
1552500817.784858, 3.496223, 57.000000, 48.000000
1552500817.785120, 3.496223, 62.000000, 48.000000
1552500817.785374, 3.496223, 65.000000, 48.000000
1552500817.785535, 3.496223, 77.000000, 48.000000
1552500817.790923, 3.502242, 43.000000, 48.000000
1552500817.791121, 3.502242, 71.000000, 48.000000
1552500818.061721, 3.749040, 71.000000, 58.000000
1552500818.067157, 3.755059, 72.000000, 58.000000
1552500818.309290, 3.997313, 43.000000, 50.000000
1552500818.309560, 3.997313, 72.000000, 50.000000
1552500818.315346, 4.002705, 55.000000, 50.000000
1552500818.315545, 4.002705, 59.000000, 50.000000
1552500818.315704, 4.002705, 65.000000, 50.000000
1552500818.315838, 4.002705, 74.000000, 50.000000
1552500818.573281, 4.245328, 74.000000, 41.000000
1552500818.579194, 4.250720, 81.000000, 41.000000
1552500818.828167, 4.496988, 55.000000, 31.000000
1552500818.828414, 4.496988, 59.000000, 31.000000
1552500818.828565, 4.496988, 65.000000, 31.000000
1552500818.828698, 4.496988, 81.000000, 31.000000
1552500818.834182, 4.503019, 55.000000, 31.000000
1552500818.834432, 4.503019, 59.000000, 31.000000
1552500818.834541, 4.503019, 65.000000, 31.000000
1552500818.834643, 4.503019, 79.000000, 31.000000
1552500819.098659, 4.745380, 79.000000, 24.000000
1552500819.104610, 4.752533, 77.000000, 24.000000
1552500819.315024, 4.995717, 55.000000, 42.000000
1552500819.315164, 4.995717, 59.000000, 42.000000
1552500819.315254, 4.995717, 65.000000, 42.000000
1552500819.315333, 4.995717, 77.000000, 42.000000
1552500819.320702, 5.002870, 48.000000, 42.000000
1552500819.320862, 5.002870, 76.000000, 42.000000
1552500819.375265, 5.060090, 76.000000, 42.000000
1552500819.383982, 5.067242, 77.000000, 42.000000
1552500819.436487, 5.124462, 77.000000, 42.000000
1552500819.444056, 5.131614, 76.000000, 42.000000
1552500819.538163, 5.246054, 76.000000, 65.000000
1552500819.543726, 5.253207, 75.000000, 65.000000
1552500819.752727, 5.499807, 48.000000, 71.000000
1552500819.752889, 5.499807, 75.000000, 71.000000
1552500819.758133, 5.505910, 55.000000, 71.000000
1552500819.758632, 5.505910, 60.000000, 71.000000
1552500819.758772, 5.505910, 64.000000, 71.000000
1552500819.758861, 5.505910, 76.000000, 71.000000
1552500820.237922, 5.997152, 55.000000, 53.000000
1552500820.238098, 5.997152, 60.000000, 53.000000
1552500820.238266, 5.997152, 64.000000, 53.000000
1552500820.243099, 6.002484, 55.000000, 53.000000
1552500820.243263, 6.002484, 60.000000, 53.000000
1552500820.243383, 6.002484, 64.000000, 53.000000
1552500820.767030, 6.499806, 55.000000, 36.000000
1552500820.767200, 6.499806, 60.000000, 36.000000
1552500820.767342, 6.499806, 64.000000, 36.000000
1552500820.767431, 6.499806, 76.000000, 36.000000
1552500820.774712, 6.507518, 45.000000, 36.000000
1552500820.774946, 6.507518, 69.000000, 36.000000
1552500820.953224, 6.746580, 69.000000, 36.000000
1552500820.958450, 6.754292, 71.000000, 63.000000
1552500821.134683, 6.997854, 45.000000, 63.000000
1552500821.134864, 6.997854, 71.000000, 63.000000
1552500821.139896, 7.005318, 57.000000, 63.000000
1552500821.140076, 7.005318, 60.000000, 63.000000
1552500821.140167, 7.005318, 64.000000, 63.000000
1552500821.140255, 7.005318, 72.000000, 63.000000
1552500821.526825, 7.497984, 57.000000, 64.000000
1552500821.526983, 7.497984, 60.000000, 64.000000
1552500821.527125, 7.497984, 64.000000, 64.000000
1552500821.527245, 7.497984, 72.000000, 64.000000
1552500821.533650, 7.505449, 57.000000, 49.000000
1552500821.533925, 7.505449, 60.000000, 49.000000
1552500821.534134, 7.505449, 64.000000, 49.000000
1552500821.534300, 7.505449, 72.000000, 49.000000
1552500822.011818, 7.996670, 57.000000, 28.000000
1552500822.012084, 7.996670, 60.000000, 28.000000
1552500822.012226, 7.996670, 64.000000, 28.000000
1552500822.013763, 7.996670, 72.000000, 28.000000
1552500822.019825, 8.002030, 38.000000, 28.000000
1552500822.020006, 8.002030, 74.000000, 28.000000
1552500822.207584, 8.248803, 74.000000, 23.000000
1552500822.214381, 8.256950, 76.000000, 23.000000
1552500822.392850, 8.501360, 38.000000, 50.000000
1552500822.393117, 8.501360, 76.000000, 50.000000
1552500822.393253, 8.501360, 57.000000, 50.000000
1552500822.393395, 8.501360, 62.000000, 50.000000
1552500822.393545, 8.501360, 65.000000, 50.000000
1552500822.393674, 8.501360, 77.000000, 50.000000
1552500822.710135, 8.999183, 57.000000, 58.000000
1552500822.710325, 8.999183, 62.000000, 58.000000
1552500822.710459, 8.999183, 65.000000, 58.000000
1552500822.716391, 9.008251, 57.000000, 58.000000
1552500822.716579, 9.008251, 62.000000, 58.000000
1552500822.716992, 9.008251, 65.000000, 58.000000
1552500823.076647, 9.495152, 57.000000, 22.000000
1552500823.076848, 9.495152, 62.000000, 22.000000
1552500823.077034, 9.495152, 65.000000, 22.000000
1552500823.077147, 9.495152, 77.000000, 22.000000
1552500823.082339, 9.501323, 43.000000, 22.000000
1552500823.082573, 9.501323, 71.000000, 22.000000
1552500823.329816, 9.748170, 71.000000, 51.000000
1552500823.336671, 9.754342, 72.000000, 51.000000
1552500823.554303, 9.995917, 43.000000, 61.000000
1552500823.554549, 9.995917, 72.000000, 61.000000
1552500823.559505, 10.002941, 55.000000, 61.000000
1552500823.559736, 10.002941, 59.000000, 61.000000
1552500823.559966, 10.002941, 65.000000, 61.000000
1552500823.560116, 10.002941, 74.000000, 61.000000
1552500823.769684, 10.248780, 74.000000, 37.000000
1552500823.774823, 10.255804, 81.000000, 37.000000
1552500823.968875, 10.496285, 55.000000, 26.000000
1552500823.969401, 10.496285, 59.000000, 26.000000
1552500823.969553, 10.496285, 65.000000, 26.000000
1552500823.969675, 10.496285, 81.000000, 26.000000
1552500823.973746, 10.503053, 55.000000, 26.000000
1552500823.973926, 10.503053, 59.000000, 26.000000
1552500823.974034, 10.503053, 65.000000, 26.000000
1552500823.974121, 10.503053, 79.000000, 26.000000
1552500824.187274, 10.746730, 79.000000, 26.000000
1552500824.190894, 10.753499, 71.000000, 26.000000
1552500824.411976, 10.999224, 55.000000, 53.000000
1552500824.412252, 10.999224, 59.000000, 53.000000
1552500824.412365, 10.999224, 65.000000, 53.000000
1552500824.412500, 10.999224, 71.000000, 53.000000
1552500824.417570, 11.005468, 48.000000, 53.000000
1552500824.417833, 11.005468, 72.000000, 53.000000
1552500824.907588, 11.498768, 48.000000, 73.000000
1552500824.907833, 11.498768, 72.000000, 73.000000
1552500824.912959, 11.505012, 55.000000, 73.000000
1552500824.913263, 11.505012, 60.000000, 73.000000
1552500824.913436, 11.505012, 64.000000, 73.000000
1552500825.489560, 11.998938, 55.000000, 39.000000
