time,palm_pos,palm_vel,span
1552502124.580044, 0.000000, 0.000000, 0.000000
1552502124.593407, 0.000000, 0.000000, 0.000000
1552502124.598799, 0.000000, 0.000000, 0.000000
1552502124.603956, 0.000000, 0.000000, 0.000000
1552502124.609296, 0.000000, 0.000000, 0.000000
1552502124.614451, 0.000000, 0.000000, 0.000000
1552502124.619739, 0.000000, 0.000000, 0.000000
1552502124.624999, 0.000000, 0.000000, 0.000000
1552502124.630312, 0.000000, 0.000000, 0.000000
1552502124.635669, 0.000000, 0.000000, 0.000000
1552502124.641020, 0.000000, 0.000000, 0.000000
1552502124.646224, 0.000000, 0.000000, 0.000000
1552502124.651398, 0.000000, 0.000000, 0.000000
1552502124.657128, 0.000000, 0.000000, 0.000000
1552502124.662530, 0.000000, 0.000000, 0.000000
1552502124.669688, 0.000000, 0.000000, 0.000000
1552502124.674904, 0.000000, 0.000000, 0.000000
1552502124.680805, 0.000000, 0.000000, 0.000000
1552502124.686213, 0.000000, 0.000000, 0.000000
1552502124.693258, 0.000000, 0.000000, 0.000000
1552502124.701004, 0.000000, 0.000000, 0.000000
1552502124.706957, 0.000000, 0.000000, 0.000000
1552502124.712637, 231.905884, 3.777676, 115.419484
1552502124.717957, 231.962357, 4.720344, 115.420929
1552502124.723538, 231.962357, 4.720344, 115.420929
1552502124.728880, 232.032654, 5.624172, 115.426975
1552502124.734057, 232.104218, 6.325068, 115.441057
1552502124.739652, 232.104218, 6.325068, 115.441057
1552502124.745220, 232.181274, 6.991519, 115.447605
1552502124.750590, 232.267380, 7.780347, 115.449752
1552502124.755804, 232.267380, 7.780347, 115.449752
1552502124.761314, 232.360046, 8.557450, 115.454077
1552502124.766743, 232.456085, 9.236479, 115.463660
1552502124.772630, 232.456085, 9.236479, 115.463660
1552502124.777874, 232.555954, 9.842957, 115.472251
1552502124.783274, 232.555954, 9.842957, 115.472251
1552502124.789008, 232.660431, 10.412950, 115.481385
1552502124.794351, 232.769348, 11.001421, 115.492733
1552502124.800189, 232.769348, 11.001421, 115.492733
1552502124.805405, 232.881760, 11.524437, 115.502773
1552502124.810895, 232.994278, 11.895092, 115.513390
1552502124.816323, 232.994278, 11.895092, 115.513390
1552502124.822015, 233.099579, 11.964149, 115.516272
1552502124.827486, 233.200867, 11.884989, 115.520136
1552502124.832817, 233.200867, 11.884989, 115.520136
1552502124.838088, 233.293091, 11.559155, 115.524267
1552502124.843910, 233.293091, 11.559155, 115.524267
1552502124.849807, 233.375305, 11.000601, 115.522399
1552502124.855152, 233.447296, 10.280270, 115.522463
1552502124.860507, 233.447296, 10.280270, 115.522463
1552502124.865796, 233.507370, 9.396753, 115.525171
1552502124.871166, 233.555130, 8.364223, 115.520191
1552502124.876591, 233.555130, 8.364223, 115.520191
1552502124.882166, 233.595367, 7.370598, 115.517817
1552502124.887414, 233.595367, 7.370598, 115.517817
1552502124.893290, 233.626740, 6.365781, 115.510418
1552502124.898455, 233.650162, 5.393261, 115.504590
1552502124.903834, 233.650162, 5.393261, 115.504590
1552502124.909131, 233.668365, 4.517235, 115.506877
1552502124.914521, 233.683701, 3.789078, 115.508071
1552502124.919976, 233.683701, 3.789078, 115.508071
1552502124.925205, 233.696396, 3.167748, 115.509849
1552502124.930427, 233.696396, 3.167748, 115.509849
1552502124.935724, 233.708008, 2.683198, 115.513547
1552502124.940915, 233.720581, 2.354776, 115.510829
1552502124.946365, 233.720581, 2.354776, 115.510829
1552502124.951846, 233.733444, 2.121894, 115.506186
1552502124.957440, 233.733444, 2.121894, 115.506186
1552502124.962915, 233.749741, 2.058379, 115.510096
1552502124.968220, 233.767868, 2.067249, 115.510828
1552502124.973606, 233.767868, 2.067249, 115.510828
1552502124.978821, 233.786148, 2.078647, 115.508452
1552502124.984318, 233.801483, 1.995989, 115.505067
1552502124.989759, 233.801483, 1.995989, 115.505067
1552502124.995600, 233.814682, 1.868545, 115.499688
1552502125.000840, 233.822144, 1.600869, 115.496620
1552502125.006185, 233.822144, 1.600869, 115.496620
1552502125.011530, 233.827774, 1.347151, 115.488957
1552502125.017011, 233.827774, 1.347151, 115.488957
1552502125.022369, 233.829529, 1.043848, 115.474132
1552502125.027657, 233.829681, 0.769905, 115.461055
1552502125.033543, 233.829681, 0.769905, 115.461055
1552502125.038903, 233.828720, 0.535886, 115.436886
1552502125.044318, 233.827026, 0.341157, 115.432937
1552502125.049809, 233.827026, 0.341157, 115.432937
1552502125.055304, 233.824249, 0.165340, 115.425612
1552502125.060933, 233.824249, 0.165340, 115.425612
1552502125.066609, 233.820145, -0.004792, 115.432276
1552502125.071801, 233.815948, -0.132098, 115.435430
1552502125.077889, 233.815948, -0.132098, 115.435430
1552502125.084260, 233.809723, -0.288086, 115.441318
1552502125.091642, 233.809723, -0.288086, 115.441318
1552502125.099029, 233.800186, -0.483950, 115.454363
1552502125.108364, 233.800186, -0.483950, 115.454363
1552502125.114043, 233.791794, -0.623914, 115.461314
1552502125.120117, 233.791794, -0.623914, 115.461314
1552502125.125944, 233.773941, -0.721207, 115.526994
1552502125.136818, 233.773941, -0.721207, 115.526994
1552502125.143992, 233.773941, -0.721207, 115.526994
1552502125.150264, 233.762604, -0.757791, 115.550462
1552502125.157899, 233.762131, -0.766162, 115.550900
1552502125.163150, 233.740128, -0.888665, 115.581891
1552502125.168510, 233.740128, -0.888665, 115.581891
1552502125.173900, 233.740128, -0.888665, 115.581891
