time, beats
1552939337.608921, 0.008099
1552939337.614419, 0.016197
1552939337.619896, 0.024296
1552939337.626543, 0.032395
1552939337.634904, 0.040493
1552939337.640205, 0.048592
1552939337.646226, 0.056691
1552939337.656574, 0.064789
1552939337.665027, 0.072888
1552939337.670261, 0.080987
1552939337.675803, 0.089085
1552939337.681399, 0.097184
1552939337.687135, 0.105283
1552939337.695004, 0.113381
1552939337.700197, 0.121480
1552939337.706181, 0.129579
1552939337.712930, 0.137677
1552939337.718021, 0.145776
1552939337.723720, 0.153875
1552939337.729307, 0.161973
1552939337.734800, 0.170072
1552939337.740149, 0.178171
1552939337.745919, 0.186269
1552939337.751159, 0.194368
1552939337.756712, 0.202467
1552939337.766935, 0.210565
1552939337.772324, 0.218664
1552939337.778108, 0.226763
1552939337.783898, 0.234861
1552939337.789604, 0.242960
1552939337.795273, 0.247158
1552939337.800429, 0.251356
1552939337.805723, 0.255554
1552939337.810854, 0.259751
1552939337.816911, 0.263949
1552939337.822176, 0.268147
1552939337.827307, 0.272345
1552939337.834223, 0.276543
1552939337.841256, 0.280741
1552939337.847000, 0.284939
1552939337.852748, 0.289137
1552939337.859397, 0.293335
1552939337.865105, 0.297533
1552939337.870467, 0.301731
1552939337.876402, 0.305929
1552939337.885037, 0.310126
1552939337.890807, 0.314324
1552939337.896184, 0.318522
1552939337.902321, 0.322720
1552939337.907559, 0.326918
1552939337.913310, 0.331116
1552939337.919787, 0.335314
1552939337.925505, 0.339512
1552939337.930760, 0.343710
1552939337.936026, 0.347908
1552939337.941722, 0.352106
1552939337.947332, 0.356303
1552939337.953064, 0.360501
1552939337.959089, 0.364699
1552939337.964398, 0.368897
1552939337.969625, 0.373095
1552939337.975094, 0.377293
1552939337.980819, 0.381491
1552939337.986196, 0.385689
1552939337.991906, 0.389887
1552939337.997855, 0.394085
1552939338.003075, 0.398283
1552939338.008644, 0.402481
1552939338.016312, 0.406678
1552939338.022747, 0.410876
1552939338.029099, 0.415074
1552939338.034644, 0.419272
1552939338.041962, 0.423470
1552939338.047670, 0.427668
1552939338.052986, 0.431866
1552939338.058667, 0.436064
1552939338.064114, 0.440262
1552939338.070025, 0.444460
1552939338.075378, 0.448658
1552939338.081130, 0.452855
1552939338.086470, 0.457053
1552939338.092369, 0.461251
1552939338.098148, 0.465449
1552939338.103642, 0.469647
1552939338.109172, 0.473845
1552939338.114583, 0.478043
1552939338.120506, 0.482241
1552939338.126031, 0.486439
1552939338.131752, 0.490637
1552939338.137398, 0.494835
1552939338.142881, 0.499032
1552939338.148857, 0.503230
1552939338.154495, 0.507428
1552939338.159736, 0.511626
1552939338.164940, 0.515824
1552939338.170766, 0.520022
1552939338.176515, 0.524220
1552939338.188168, 0.528418
1552939338.193742, 0.532616
1552939338.198825, 0.536814
1552939338.203960, 0.544021
1552939338.209992, 0.551228
1552939338.215354, 0.558436
1552939338.220629, 0.565643
1552939338.226345, 0.572850
1552939338.231890, 0.580057
1552939338.237446, 0.587265
1552939338.243019, 0.594472
1552939338.248753, 0.601679
1552939338.254358, 0.608887
1552939338.260444, 0.616094
1552939338.266533, 0.623301
1552939338.272346, 0.630508
1552939338.277657, 0.637716
1552939338.284501, 0.644923
1552939338.290307, 0.652130
1552939338.296184, 0.659338
1552939338.302187, 0.666545
1552939338.307324, 0.673752
1552939338.313075, 0.680959
1552939338.318690, 0.688167
1552939338.323854, 0.695374
1552939338.329398, 0.702581
1552939338.335266, 0.709789
1552939338.341666, 0.716996
1552939338.347156, 0.724203
1552939338.352929, 0.731410
1552939338.358270, 0.738618
1552939338.364250, 0.745825
1552939338.370512, 0.753032
1552939338.376898, 0.760240
1552939338.383971, 0.767447
1552939338.389342, 0.774654
1552939338.394604, 0.781861
1552939338.399882, 0.789069
1552939338.405700, 0.796276
1552939338.411558, 0.803483
1552939338.417854, 0.810691
1552939338.423223, 0.817898
1552939338.428397, 0.825105
1552939338.433726, 0.832312
1552939338.441435, 0.839520
1552939338.446542, 0.846727
1552939338.451946, 0.853934
1552939338.457704, 0.861142
1552939338.464127, 0.868349
1552939338.469844, 0.875556
1552939338.475096, 0.882763
1552939338.480795, 0.889971
1552939338.486438, 0.897178
1552939338.491858, 0.904385
1552939338.497529, 0.911593
1552939338.504077, 0.918800
1552939338.510503, 0.926007
1552939338.515864, 0.933214
1552939338.521572, 0.940422
1552939338.527756, 0.947629
1552939338.534549, 0.954836
1552939338.539731, 0.962044
1552939338.544881, 0.969251
1552939338.550358, 0.976458
1552939338.555872, 0.983665
1552939338.560991, 0.990873
1552939338.566837, 0.998080
1552939338.572594, 1.005287
1552939338.579808, 1.012495
1552939338.587732, 1.019702
1552939338.592986, 1.026909
1552939338.598200, 1.034116
1552939338.603557, 1.041324
1552939338.608898, 1.048531
1552939338.614624, 1.055738
1552939338.620072, 1.062946
1552939338.625776, 1.070153
1552939338.631147, 1.077360
1552939338.636612, 1.084567
1552939338.641922, 1.090711
1552939338.648119, 1.096855
1552939338.655851, 1.102998
1552939338.661362, 1.109142
1552939338.667034, 1.115286
1552939338.672894, 1.121429
1552939338.678139, 1.127573
1552939338.683353, 1.133717
1552939338.689085, 1.139860
1552939338.694281, 1.146004
1552939338.700117, 1.152148
1552939338.705806, 1.158291
1552939338.711296, 1.164435
1552939338.717709, 1.170579
1552939338.723447, 1.176722
1552939338.728618, 1.182866
1552939338.734143, 1.189009
1552939338.739840, 1.195153
1552939338.745072, 1.201297
1552939338.751226, 1.207440
1552939338.757049, 1.213584
1552939338.766375, 1.219728
1552939338.771499, 1.225871
1552939338.777053, 1.232015
1552939338.782668, 1.238159
1552939338.788342, 1.244302
1552939338.794071, 1.250446
1552939338.799290, 1.256590
1552939338.804797, 1.262733
1552939338.810536, 1.268877
1552939338.815724, 1.275021
1552939338.821093, 1.281164
1552939338.826842, 1.287308
1552939338.832529, 1.293452
1552939338.839108, 1.299595
1552939338.844541, 1.305739
1552939338.850473, 1.311882
1552939338.856604, 1.318026
1552939338.861705, 1.324170
1552939338.867424, 1.330313
1552939338.873164, 1.336457
1552939338.878513, 1.342601
1552939338.884207, 1.348744
1552939338.889409, 1.354888
1552939338.895119, 1.361032
1552939338.900897, 1.367175
1552939338.906357, 1.373319
1552939338.914178, 1.379463
1552939338.921317, 1.385606
1552939338.926622, 1.391750
1552939338.934617, 1.397894
1552939338.939942, 1.404037
1552939338.945073, 1.410181
1552939338.951269, 1.416325
1552939338.957781, 1.422468
1552939338.963550, 1.428612
1552939338.969029, 1.434755
1552939338.974865, 1.440899
1552939338.980053, 1.447043
1552939338.985333, 1.453186
1552939338.990967, 1.459330
1552939338.997012, 1.465474
1552939339.003286, 1.471617
1552939339.008386, 1.477761
1552939339.013795, 1.483905
1552939339.019813, 1.490048
1552939339.025104, 1.496192
1552939339.030876, 1.502336
1552939339.035955, 1.508479
1552939339.041773, 1.514623
1552939339.047712, 1.520767
1552939339.053138, 1.526910
1552939339.059248, 1.533054
1552939339.065160, 1.539198
1552939339.070493, 1.545341
1552939339.075918, 1.551485
1552939339.081294, 1.557628
1552939339.087015, 1.563772
1552939339.092375, 1.569916
1552939339.097805, 1.576059
1552939339.103778, 1.582203
1552939339.109024, 1.587881
1552939339.115532, 1.593559
1552939339.121118, 1.599236
1552939339.126676, 1.604914
1552939339.132447, 1.610592
1552939339.139851, 1.616269
1552939339.145280, 1.621947
1552939339.150514, 1.627625
1552939339.156285, 1.633303
1552939339.161985, 1.638980
1552939339.167706, 1.644658
1552939339.173449, 1.650336
1552939339.178760, 1.656013
1552939339.184473, 1.661691
1552939339.189663, 1.667369
1552939339.194987, 1.673047
1552939339.200551, 1.678724
1552939339.205946, 1.684402
1552939339.211767, 1.690080
1552939339.217482, 1.695757
1552939339.222871, 1.701435
1552939339.228728, 1.707113
1552939339.235028, 1.712791
1552939339.240505, 1.718468
1552939339.246033, 1.724146
1552939339.251333, 1.729824
1552939339.256729, 1.735502
1552939339.265259, 1.741179
1552939339.272855, 1.746857
1552939339.278210, 1.752535
1552939339.284550, 1.758212
1552939339.290298, 1.763890
1552939339.295933, 1.769568
1552939339.301364, 1.775246
1552939339.306628, 1.780923
1552939339.311924, 1.786601
1552939339.317471, 1.792279
1552939339.323106, 1.797956
1552939339.328341, 1.803634
1552939339.334956, 1.809312
1552939339.341150, 1.814990
1552939339.346743, 1.820667
1552939339.352455, 1.826345
1552939339.358569, 1.832023
1552939339.364140, 1.837701
1552939339.370168, 1.843378
1552939339.376201, 1.849056
1552939339.385740, 1.854734
1552939339.391645, 1.860411
1552939339.397456, 1.866089
1552939339.406240, 1.871767
1552939339.412160, 1.877445
1552939339.418169, 1.883122
1552939339.423613, 1.888800
1552939339.428959, 1.894478
1552939339.434305, 1.900155
1552939339.440239, 1.905833
1552939339.446100, 1.911511
1552939339.451321, 1.917189
1552939339.456527, 1.922866
1552939339.462103, 1.928544
1552939339.468148, 1.934222
1552939339.473893, 1.939899
1552939339.481509, 1.945577
1552939339.487458, 1.951255
1552939339.496301, 1.956933
1552939339.502043, 1.962610
1552939339.507503, 1.968288
1552939339.513641, 1.973966
1552939339.521418, 1.979644
1552939339.527129, 1.985321
1552939339.534005, 1.990999
1552939339.539154, 1.996677
1552939339.544423, 2.002354
1552939339.550897, 2.008032
1552939339.556231, 2.013710
1552939339.562036, 2.019388
1552939339.567729, 2.025065
1552939339.573675, 2.030743
1552939339.579706, 2.036421
1552939339.585892, 2.042098
1552939339.591183, 2.047776
1552939339.596357, 2.053454
1552939339.601751, 2.059132
1552939339.607138, 2.064809
1552939339.612520, 2.070487
1552939339.617691, 2.076165
1552939339.624429, 2.081843
1552939339.630104, 2.087520
1552939339.636031, 2.093198
1552939339.641196, 2.098876
1552939339.646982, 2.103685
1552939339.652225, 2.108495
1552939339.657557, 2.113304
1552939339.663303, 2.118113
1552939339.669398, 2.122923
1552939339.674725, 2.127732
1552939339.680920, 2.132542
1552939339.686705, 2.137351
1552939339.694510, 2.142161
1552939339.699834, 2.146970
1552939339.705082, 2.151780
1552939339.710556, 2.156589
1552939339.717958, 2.161399
1552939339.727249, 2.166208
1552939339.732959, 2.171017
1552939339.738515, 2.175827
1552939339.744506, 2.180636
1552939339.752662, 2.185446
1552939339.758848, 2.190255
1552939339.765112, 2.195065
1552939339.772450, 2.199874
1552939339.778331, 2.204684
1552939339.787618, 2.209493
1552939339.793789, 2.214303
1552939339.800064, 2.219112
1552939339.805397, 2.223921
1552939339.811107, 2.228731
1552939339.816302, 2.233540
1552939339.822130, 2.238350
1552939339.827629, 2.243159
1552939339.835701, 2.247969
1552939339.841446, 2.252778
1552939339.846860, 2.257588
1552939339.852593, 2.262397
1552939339.858663, 2.267207
1552939339.864367, 2.272016
1552939339.869496, 2.276825
1552939339.874644, 2.281635
1552939339.879892, 2.286444
1552939339.885269, 2.291254
1552939339.890765, 2.296063
1552939339.896159, 2.300873
1552939339.901833, 2.305682
1552939339.907571, 2.310492
1552939339.913330, 2.315301
1552939339.919194, 2.320111
1552939339.925376, 2.324920
1552939339.930779, 2.329729
1552939339.936375, 2.334539
1552939339.941858, 2.339348
1552939339.947597, 2.344158
1552939339.953401, 2.348967
1552939339.959188, 2.353777
1552939339.964471, 2.358586
1552939339.971341, 2.363396
1552939339.976564, 2.368205
1552939339.982481, 2.373015
1552939339.987669, 2.377824
1552939339.993347, 2.382633
1552939339.998757, 2.387443
1552939340.004670, 2.392252
1552939340.010455, 2.397062
1552939340.016547, 2.401871
1552939340.021717, 2.406681
1552939340.026942, 2.411490
1552939340.032337, 2.416300
1552939340.037892, 2.421109
1552939340.044163, 2.425919
1552939340.050303, 2.430728
1552939340.055834, 2.435537
1552939340.061255, 2.440347
1552939340.067227, 2.445156
1552939340.072468, 2.449966
1552939340.077945, 2.454775
1552939340.083592, 2.459585
1552939340.089289, 2.464394
1552939340.094988, 2.469204
1552939340.100678, 2.474013
1552939340.106289, 2.478823
1552939340.111823, 2.483632
1552939340.117764, 2.488441
1552939340.123142, 2.493251
1552939340.128473, 2.498060
1552939340.134329, 2.502870
1552939340.140108, 2.507679
1552939340.145237, 2.512489
1552939340.151367, 2.517298
1552939340.156810, 2.522108
1552939340.162389, 2.526917
1552939340.167789, 2.531727
1552939340.173709, 2.536536
1552939340.179327, 2.541345
1552939340.184473, 2.546155
1552939340.189608, 2.550964
1552939340.194965, 2.555774
1552939340.201282, 2.560583
1552939340.206454, 2.565393
1552939340.214173, 2.570202
1552939340.219921, 2.575012
1552939340.226264, 2.579821
1552939340.231992, 2.584631
1552939340.237515, 2.589440
1552939340.243888, 2.594249
1552939340.249872, 2.599059
1552939340.255170, 2.603868
1552939340.267681, 2.608678
1552939340.274155, 2.613487
1552939340.279309, 2.618297
1552939340.284904, 2.623106
1552939340.290363, 2.627916
1552939340.296052, 2.631553
1552939340.301514, 2.635191
1552939340.306911, 2.638829
1552939340.314854, 2.642467
1552939340.321984, 2.646104
1552939340.327177, 2.649742
1552939340.332910, 2.653380
1552939340.339009, 2.657017
1552939340.344675, 2.660655
1552939340.350819, 2.664293
1552939340.356942, 2.667930
1552939340.362471, 2.671568
1552939340.368129, 2.675206
1552939340.374388, 2.678844
1552939340.380574, 2.682481
1552939340.386719, 2.686119
1552939340.393210, 2.689757
1552939340.398440, 2.693394
1552939340.404149, 2.697032
1552939340.409869, 2.700670
1552939340.415374, 2.704308
1552939340.420492, 2.707945
1552939340.426301, 2.711583
1552939340.431792, 2.715221
1552939340.437130, 2.718858
1552939340.444594, 2.722496
1552939340.450390, 2.726134
1552939340.456582, 2.729772
1552939340.463501, 2.733409
1552939340.470034, 2.737047
1552939340.475376, 2.740685
1552939340.481775, 2.744322
1552939340.488653, 2.747960
1552939340.495529, 2.751598
1552939340.500912, 2.755236
1552939340.506701, 2.758873
1552939340.513988, 2.762511
1552939340.519193, 2.766149
1552939340.524558, 2.769786
1552939340.531657, 2.773424
1552939340.538753, 2.777062
1552939340.543884, 2.780700
1552939340.549159, 2.784337
1552939340.554650, 2.787975
1552939340.559993, 2.791613
1552939340.565124, 2.795250
1552939340.570301, 2.798888
1552939340.575665, 2.802526
1552939340.581330, 2.806164
1552939340.586464, 2.809801
1552939340.591804, 2.813439
1552939340.596890, 2.817077
1552939340.602926, 2.820714
1552939340.608769, 2.824352
1552939340.614109, 2.827990
1552939340.619565, 2.831627
1552939340.625134, 2.835265
1552939340.630590, 2.838903
1552939340.635820, 2.842541
1552939340.641241, 2.846178
1552939340.646705, 2.849816
1552939340.652416, 2.853454
1552939340.657979, 2.857091
1552939340.663253, 2.860729
1552939340.668929, 2.864367
1552939340.674549, 2.868005
1552939340.680051, 2.871642
1552939340.685979, 2.875280
1552939340.691391, 2.878918
1552939340.696712, 2.882555
1552939340.702124, 2.886193
1552939340.707824, 2.889831
1552939340.713111, 2.893469
1552939340.718308, 2.897106
1552939340.723544, 2.900744
1552939340.729067, 2.904382
1552939340.734322, 2.908019
1552939340.739601, 2.911657
1552939340.744872, 2.915295
1552939340.749979, 2.918933
1552939340.755526, 2.922570
1552939340.760837, 2.926208
1552939340.765976, 2.929846
1552939340.771571, 2.933483
1552939340.776851, 2.937121
1552939340.782278, 2.940759
1552939340.787510, 2.944397
1552939340.793112, 2.948034
1552939340.798369, 2.951672
1552939340.804097, 2.955310
1552939340.809530, 2.958947
1552939340.815265, 2.962585
1552939340.820472, 2.966223
1552939340.825813, 2.969860
1552939340.831172, 2.973498
