time,palm_pos,palm_vel,span
1552945679.689640, 0.000000, 0.000000, 0.000000
1552945679.702253, 0.000000, 0.000000, 0.000000
1552945679.708019, 0.000000, 0.000000, 0.000000
1552945679.713212, 0.000000, 0.000000, 0.000000
1552945679.719000, 0.000000, 0.000000, 0.000000
1552945679.724206, 0.000000, 0.000000, 0.000000
1552945679.729558, 0.000000, 0.000000, 0.000000
1552945679.734784, 0.000000, 0.000000, 0.000000
1552945679.739992, 0.000000, 0.000000, 0.000000
1552945679.745282, 0.000000, 0.000000, 0.000000
1552945679.750503, 0.000000, 0.000000, 0.000000
1552945679.758845, 0.000000, 0.000000, 0.000000
1552945679.764669, 0.000000, 0.000000, 0.000000
1552945679.770224, 0.000000, 0.000000, 0.000000
1552945679.775520, 0.000000, 0.000000, 0.000000
1552945679.780912, 0.000000, 0.000000, 0.000000
1552945679.786137, 0.000000, 0.000000, 0.000000
1552945679.792687, 249.633316, 769.210754, 132.416894
1552945679.798577, 249.633316, 769.210754, 132.416894
1552945679.803878, 273.134521, 590.868286, 126.899811
1552945679.809525, 273.134521, 590.868286, 126.899811
1552945679.815311, 273.199982, 436.003723, 126.014741
1552945679.821185, 272.930145, 312.179840, 124.208013
1552945679.827115, 272.586945, 217.775558, 122.550940
1552945679.832518, 272.586945, 217.775558, 122.550940
1552945679.837867, 271.908051, 139.582779, 121.327225
1552945679.843489, 271.908051, 139.582779, 121.327225
1552945679.848928, 270.570129, 61.324455, 120.145230
1552945679.854154, 268.802246, -9.184402, 119.151025
1552945679.860026, 268.802246, -9.184402, 119.151025
1552945679.865731, 265.639771, -103.666039, 118.125173
1552945679.871065, 265.639771, -103.666039, 118.125173
1552945679.877075, 261.579681, -200.475311, 117.300332
1552945679.883720, 255.462753, -333.036285, 116.706479
1552945679.889681, 255.462753, -333.036285, 116.706479
1552945679.895011, 250.161819, -409.880707, 116.172401
1552945679.900821, 244.150177, -485.373962, 115.590566
1552945679.906516, 238.376053, -533.871826, 115.238531
1552945679.912332, 238.376053, -533.871826, 115.238531
