time, beats
1553024268.031969, 0.000000
1553024268.037710, 0.000000
1553024268.043424, 0.000000
1553024268.048633, 0.000000
1553024268.054534, 0.000000
1553024268.060209, 0.000000
1553024268.065704, 0.000000
1553024268.071131, 0.000000
1553024268.081725, 0.000000
1553024268.087179, 0.000000
1553024268.093150, 0.000000
1553024268.099589, 0.000000
1553024268.105429, 0.000000
1553024268.112602, 0.000000
1553024268.118280, 0.000000
1553024268.124228, 0.000000
1553024268.130042, 0.000000
1553024268.135347, 0.000000
1553024268.141127, 0.000000
1553024268.149258, 0.000000
1553024268.155651, 0.000000
1553024268.161182, 0.000000
1553024268.167398, 0.000000
1553024268.173587, 0.000000
1553024268.179109, 0.000000
1553024268.184529, 0.000000
1553024268.189880, 0.000000
1553024268.195587, 0.000000
1553024268.201096, 0.000000
1553024268.207833, 0.000000
1553024268.217636, 0.000000
1553024268.223706, 0.000000
1553024268.229125, 0.000000
1553024268.235145, 0.000000
1553024268.242101, 0.000000
1553024268.247817, 0.000000
1553024268.253612, 0.000000
1553024268.258845, 0.000000
1553024268.264657, 0.000000
1553024268.270902, 0.000000
1553024268.277147, 0.000000
1553024268.282673, 0.000000
1553024268.288187, 0.000000
1553024268.294977, 0.000000
1553024268.300097, 0.000000
1553024268.305630, 0.000000
1553024268.311462, 0.000000
1553024268.316918, 0.000000
1553024268.322503, 0.000000
1553024268.328657, 0.000000
1553024268.334273, 0.000000
1553024268.340479, 0.004969
1553024268.346019, 0.009938
1553024268.351368, 0.014907
1553024268.357616, 0.019876
1553024268.364577, 0.024845
1553024268.369728, 0.029815
1553024268.375070, 0.034784
1553024268.381763, 0.039753
1553024268.386946, 0.044722
1553024268.392629, 0.049691
1553024268.398573, 0.054660
1553024268.403777, 0.059629
1553024268.409595, 0.064598
1553024268.414976, 0.069567
1553024268.420701, 0.074536
1553024268.426279, 0.079506
1553024268.432246, 0.084475
1553024268.437508, 0.089444
1553024268.443444, 0.094413
1553024268.449598, 0.099382
1553024268.455062, 0.104351
1553024268.460185, 0.109320
1553024268.465712, 0.114289
1553024268.471454, 0.119258
1553024268.477373, 0.124227
1553024268.482944, 0.129197
1553024268.488606, 0.134166
1553024268.494012, 0.139135
1553024268.500019, 0.144104
1553024268.506074, 0.149073
1553024268.511197, 0.154042
1553024268.516758, 0.159011
1553024268.522403, 0.163980
1553024268.527687, 0.168949
1553024268.533030, 0.173918
1553024268.538785, 0.178888
1553024268.543943, 0.183857
1553024268.549115, 0.188826
1553024268.554445, 0.193795
1553024268.560113, 0.198764
1553024268.565418, 0.203733
1553024268.571227, 0.208702
1553024268.577219, 0.213671
1553024268.582495, 0.218640
1553024268.589845, 0.223609
1553024268.595663, 0.228579
1553024268.601315, 0.233548
1553024268.606515, 0.238517
1553024268.611896, 0.243486
1553024268.617628, 0.248455
1553024268.623224, 0.253424
1553024268.629021, 0.258393
1553024268.634769, 0.263362
1553024268.640550, 0.268331
1553024268.646318, 0.273300
1553024268.651675, 0.278270
1553024268.657323, 0.283239
1553024268.662730, 0.288208
1553024268.668926, 0.293177
1553024268.674676, 0.298146
1553024268.680104, 0.303115
1553024268.685394, 0.308084
1553024268.690595, 0.313053
1553024268.695779, 0.318022
1553024268.701381, 0.322991
1553024268.706527, 0.327960
1553024268.718105, 0.332930
1553024268.724268, 0.337899
1553024268.730129, 0.342868
1553024268.736493, 0.347837
1553024268.742210, 0.352806
1553024268.747512, 0.357775
1553024268.753363, 0.362744
1553024268.758524, 0.367713
1553024268.763762, 0.372682
1553024268.769411, 0.377651
1553024268.775150, 0.382621
1553024268.780927, 0.387590
1553024268.786166, 0.392559
1553024268.792016, 0.397528
1553024268.799156, 0.402497
1553024268.804342, 0.407466
1553024268.809762, 0.412435
1553024268.815791, 0.417404
1553024268.821617, 0.422373
1553024268.826778, 0.427342
1553024268.832499, 0.432312
1553024268.837954, 0.437281
1553024268.843692, 0.442250
1553024268.848956, 0.447219
1553024268.854659, 0.452188
1553024268.860194, 0.457157
1553024268.865593, 0.462126
1553024268.871390, 0.467095
1553024268.877027, 0.472064
1553024268.883059, 0.477033
1553024268.888485, 0.482003
1553024268.894836, 0.486972
1553024268.900784, 0.491941
1553024268.906724, 0.497590
1553024268.912508, 0.503240
1553024268.918246, 0.508889
1553024268.923473, 0.514539
1553024268.929006, 0.520188
1553024268.934352, 0.525838
1553024268.939805, 0.531488
1553024268.945516, 0.537137
1553024268.950974, 0.542787
1553024268.956720, 0.548436
1553024268.962064, 0.554086
1553024268.967960, 0.559735
1553024268.975973, 0.565385
1553024268.981430, 0.571034
1553024268.988193, 0.576684
1553024268.993908, 0.582333
1553024268.999777, 0.587983
1553024269.005021, 0.593633
1553024269.010800, 0.599282
1553024269.016658, 0.604932
1553024269.021966, 0.610581
1553024269.027167, 0.616231
1553024269.032888, 0.621880
1553024269.039390, 0.627530
1553024269.044824, 0.633179
1553024269.050029, 0.638829
1553024269.055252, 0.644479
1553024269.060463, 0.650128
1553024269.066170, 0.655778
1553024269.071518, 0.661427
1553024269.077418, 0.667077
1553024269.082966, 0.672726
1553024269.088860, 0.678376
1553024269.094334, 0.684025
1553024269.101943, 0.689675
1553024269.107328, 0.695324
1553024269.112911, 0.700974
1553024269.119085, 0.706624
1553024269.125072, 0.712273
1553024269.130736, 0.717923
1553024269.136692, 0.723572
1553024269.142639, 0.729222
1553024269.148173, 0.734871
1553024269.153758, 0.740521
1553024269.159040, 0.746170
1553024269.164596, 0.751820
1553024269.169905, 0.757469
1553024269.175838, 0.763119
1553024269.181135, 0.768769
1553024269.186310, 0.774418
1553024269.191717, 0.780068
1553024269.198597, 0.785717
1553024269.205083, 0.791367
1553024269.215823, 0.797016
1553024269.221434, 0.802666
1553024269.227258, 0.808315
1553024269.233594, 0.813965
1553024269.241755, 0.819615
1553024269.247883, 0.825264
1553024269.253216, 0.830914
1553024269.258733, 0.836563
1553024269.263929, 0.842213
1553024269.269554, 0.847862
1553024269.275766, 0.853512
1553024269.281994, 0.859161
1553024269.287658, 0.864811
1553024269.294340, 0.870460
1553024269.300866, 0.876110
1553024269.306110, 0.881760
1553024269.311889, 0.887409
1553024269.318768, 0.893059
1553024269.323954, 0.898708
1553024269.329337, 0.904358
1553024269.335021, 0.910007
1553024269.341205, 0.915657
1553024269.347172, 0.921306
1553024269.353068, 0.926956
1553024269.358403, 0.932605
1553024269.363780, 0.938255
1553024269.369223, 0.943905
1553024269.374762, 0.949554
1553024269.380100, 0.955204
1553024269.385840, 0.960853
1553024269.391070, 0.966503
1553024269.396426, 0.972152
1553024269.401554, 0.977802
1553024269.406867, 0.983451
1553024269.412147, 0.989101
1553024269.417761, 0.994751
1553024269.422924, 1.000400
1553024269.428014, 1.006050
1553024269.433690, 1.011699
1553024269.439704, 1.017349
1553024269.445224, 1.022998
1553024269.450633, 1.028648
1553024269.456547, 1.034297
1553024269.462602, 1.039947
1553024269.469357, 1.045596
1553024269.476991, 1.051220
1553024269.482086, 1.056844
1553024269.491239, 1.062467
1553024269.496894, 1.068091
1553024269.502677, 1.073715
1553024269.508413, 1.079338
1553024269.514533, 1.084962
1553024269.520098, 1.090586
1553024269.525340, 1.096209
1553024269.530497, 1.101833
1553024269.536743, 1.107457
1553024269.542888, 1.113080
1553024269.548537, 1.118704
1553024269.554732, 1.124328
1553024269.560658, 1.129951
1553024269.565882, 1.135575
1553024269.571275, 1.141199
1553024269.577168, 1.146822
1553024269.583214, 1.152446
1553024269.588629, 1.158070
1553024269.595179, 1.163693
1553024269.600879, 1.169317
1553024269.606579, 1.174941
1553024269.613615, 1.180564
1553024269.618871, 1.186188
1553024269.624074, 1.191812
1553024269.629957, 1.197435
1553024269.635579, 1.203059
1553024269.641230, 1.208683
1553024269.646493, 1.214306
1553024269.651650, 1.219930
1553024269.657161, 1.225554
1553024269.662492, 1.231177
1553024269.667880, 1.236801
1553024269.673675, 1.242425
1553024269.679119, 1.248048
1553024269.684580, 1.253672
1553024269.689797, 1.259296
1553024269.695105, 1.264919
1553024269.700357, 1.270543
1553024269.705750, 1.276167
1553024269.714681, 1.281790
1553024269.720365, 1.287414
1553024269.726079, 1.293038
1553024269.731299, 1.298661
1553024269.737210, 1.304285
1553024269.742600, 1.309909
1553024269.747952, 1.315532
1553024269.753420, 1.321156
1553024269.759267, 1.326780
1553024269.765306, 1.332403
1553024269.771023, 1.338027
1553024269.778161, 1.343651
1553024269.783909, 1.349274
1553024269.789706, 1.354898
1553024269.795496, 1.360522
1553024269.800833, 1.366145
1553024269.806230, 1.371769
1553024269.812273, 1.377393
1553024269.817564, 1.383016
1553024269.822933, 1.388640
1553024269.829006, 1.394264
1553024269.835070, 1.399887
1553024269.840602, 1.405511
1553024269.845926, 1.411135
1553024269.851656, 1.416758
1553024269.856921, 1.422382
1553024269.862425, 1.428006
1553024269.868145, 1.433629
1553024269.874036, 1.439253
1553024269.879254, 1.444877
1553024269.885070, 1.450500
1553024269.890887, 1.456124
1553024269.896597, 1.461748
1553024269.901822, 1.467371
