time, phase
1551267803.665944, 0
1551267803.889427, 1
1551267804.143443, 2
1551267804.395266, 3
1551267804.613646, 0
1551267804.861955, 1
1551267805.123920, 2
1551267805.392828, 3
1551267805.627064, 0
1551267805.864369, 1
1551267806.121612, 2
1551267806.372349, 3
1551267806.589670, 0
1551267806.825591, 1
1551267807.053049, 2
1551267807.270599, 3
1551267807.544301, 0
1551267807.772909, 1
1551267808.022532, 2
1551267808.335866, 3
1551267808.472611, 0
1551267808.793221, 1
1551267808.957169, 2
1551267809.207630, 3
1551267809.386018, 0
1551267809.636664, 1
1551267809.870159, 2
1551267810.052715, 3
1551267810.316617, 0
1551267810.569257, 1
1551267810.760081, 2
1551267811.012823, 3
1551267811.255437, 0
1551267811.524245, 1
1551267811.774988, 2
1551267812.021439, 3
1551267812.228229, 0
1551267812.387843, 1
1551267812.710640, 2
1551267812.806953, 3
1551267813.166599, 0
1551267813.381808, 1
1551267813.624707, 2
1551267814.063438, 3
1551267814.190386, 0
1551267814.369137, 1
1551267814.551574, 2
1551267814.713552, 3
1551267815.050363, 0
1551267815.274613, 1
1551267815.476817, 2
1551267815.661630, 3
1551267815.880760, 0
1551267816.094045, 1
1551267816.324011, 2
1551267816.494875, 3
1551267816.732835, 0
1551267817.012479, 1
1551267817.197709, 2
1551267817.407659, 3
1551267817.655678, 0
1551267817.877687, 1
1551267818.082469, 2
1551267818.306946, 3
1551267818.537381, 0
1551267818.802675, 1
1551267819.005593, 2
1551267819.206741, 3
1551267819.465169, 0
1551267819.628476, 1
1551267819.918319, 2
1551267820.229044, 3
1551267820.443737, 0
1551267820.653231, 1
1551267820.859419, 2
1551267821.050076, 3
1551267821.412748, 0
1551267821.680493, 1
1551267821.894374, 2
1551267822.154663, 3
1551267822.347003, 0
1551267822.585463, 1
1551267822.787938, 2
1551267823.072448, 3
1551267823.262034, 0
1551267823.447491, 1
1551267823.743848, 2
1551267824.068205, 3
1551267824.354644, 0
1551267824.596706, 1
1551267825.052403, 2
1551267825.330017, 3
1551267825.867489, 0
1551267826.236285, 1
1551267826.626573, 2
1551267827.041086, 3
1551267827.469016, 0
1551267827.799575, 1
1551267827.992930, 2
1551267828.153879, 3
1551267828.274321, 0
1551267828.463162, 1
1551267828.630132, 2
1551267828.785190, 3
1551267828.910259, 0
1551267829.025923, 1
1551267829.180063, 2
1551267829.327994, 3
1551267829.462510, 0
1551267829.614028, 1
1551267829.808187, 2
1551267829.966831, 3
1551267830.115522, 0
1551267830.299973, 1
1551267830.463760, 2
1551267830.675570, 3
1551267830.841165, 0
1551267831.084803, 1
1551267831.357120, 2
1551267831.565131, 3
1551267832.152888, 0
1551267832.495501, 1
1551267832.720169, 2
1551267832.872549, 3
1551267832.974193, 0
1551267833.087721, 1
1551267833.267665, 2
1551267833.432034, 3
1551267833.521718, 0
1551267833.610330, 1
1551267833.731538, 2
1551267833.845963, 3
1551267833.946312, 0
1551267834.073903, 1
1551267834.186104, 2
1551267834.301657, 3
1551267834.391074, 0
1551267834.491317, 1
1551267834.623523, 2
1551267834.768009, 3
1551267834.889034, 0
1551267835.079609, 1
1551267835.247871, 2
1551267835.448329, 3
1551267835.667393, 0
1551267835.986108, 1
1551267836.341757, 2
1551267836.711759, 3
1551267836.847186, 0
1551267837.016800, 1
1551267837.165985, 2
1551267837.320768, 3
1551267837.424377, 0
1551267837.546120, 1
1551267837.653490, 2
1551267837.752913, 3
1551267837.839419, 0
1551267837.911170, 1
1551267838.018051, 2
1551267838.146613, 3
1551267838.241536, 0
1551267838.351114, 1
1551267838.553652, 2
1551267838.773213, 3
1551267838.958405, 0
1551267839.265533, 1
1551267839.578932, 2
1551267839.861044, 3
1551267840.234007, 0
1551267840.424793, 1
1551267840.608076, 2
1551267840.774937, 3
1551267840.877062, 0
