time, beats
1551268410.846315, 0.006400
1551268410.852081, 0.012800
1551268410.860051, 0.019200
1551268410.866092, 0.025600
1551268410.875740, 0.032000
1551268410.880853, 0.038400
1551268410.886579, 0.044800
1551268410.891898, 0.051200
1551268410.897087, 0.057600
1551268410.902701, 0.064000
1551268410.907936, 0.070400
1551268410.913293, 0.076800
1551268410.918860, 0.083200
1551268410.927327, 0.089600
1551268410.933172, 0.096000
1551268410.940400, 0.102400
1551268410.946852, 0.108800
1551268410.952078, 0.115200
1551268410.964294, 0.121600
1551268410.969826, 0.128000
1551268410.976655, 0.134400
1551268410.984758, 0.140800
1551268410.989913, 0.147200
1551268410.996345, 0.153600
1551268411.002074, 0.160000
1551268411.007276, 0.166400
1551268411.012868, 0.172800
1551268411.018619, 0.179200
1551268411.023913, 0.185600
1551268411.029171, 0.192000
1551268411.034765, 0.198400
1551268411.040476, 0.204800
1551268411.046536, 0.211200
1551268411.058191, 0.217600
1551268411.065661, 0.224000
1551268411.071456, 0.230400
1551268411.076625, 0.236800
1551268411.081876, 0.243200
1551268411.087162, 0.249600
1551268411.092479, 0.256000
1551268411.097870, 0.262400
1551268411.103048, 0.268800
1551268411.108181, 0.275200
1551268411.114623, 0.281600
1551268411.122221, 0.288000
1551268411.127557, 0.294400
1551268411.132740, 0.300800
1551268411.137977, 0.307200
1551268411.143573, 0.313600
1551268411.148703, 0.320000
1551268411.154010, 0.326400
1551268411.159338, 0.332800
1551268411.164887, 0.339200
1551268411.170530, 0.345600
1551268411.175990, 0.352000
1551268411.182877, 0.358400
1551268411.188075, 0.364800
1551268411.193255, 0.371200
1551268411.198967, 0.377600
1551268411.204871, 0.384000
1551268411.210827, 0.390400
1551268411.216768, 0.396800
1551268411.223828, 0.403200
1551268411.228956, 0.409600
1551268411.234220, 0.416000
1551268411.239635, 0.422400
1551268411.244903, 0.428800
1551268411.250593, 0.435200
1551268411.256301, 0.441600
1551268411.261911, 0.448000
1551268411.267137, 0.454400
1551268411.272354, 0.460800
1551268411.277557, 0.467200
1551268411.283345, 0.473600
1551268411.288652, 0.480000
1551268411.294036, 0.486400
1551268411.299796, 0.492800
1551268411.305499, 0.499200
1551268411.310787, 0.505600
1551268411.316568, 0.512000
1551268411.322387, 0.518400
1551268411.330121, 0.524800
1551268411.335340, 0.531200
1551268411.340934, 0.537600
1551268411.346323, 0.544000
1551268411.351436, 0.550400
1551268411.357181, 0.556800
1551268411.363137, 0.563200
1551268411.368546, 0.569600
1551268411.374207, 0.576000
1551268411.379444, 0.582400
1551268411.384840, 0.588800
1551268411.391544, 0.595200
1551268411.396927, 0.601600
1551268411.402231, 0.608000
1551268411.409094, 0.614400
1551268411.415845, 0.620800
1551268411.421199, 0.627200
1551268411.429304, 0.633600
1551268411.434591, 0.640000
1551268411.440304, 0.646400
1551268411.445612, 0.652800
1551268411.450992, 0.659200
1551268411.456917, 0.665600
1551268411.463844, 0.672000
1551268411.469047, 0.678400
1551268411.474466, 0.684800
1551268411.480194, 0.691200
1551268411.486024, 0.697600
1551268411.491113, 0.704000
1551268411.496508, 0.710400
1551268411.501626, 0.716800
1551268411.506752, 0.723200
1551268411.516118, 0.729600
1551268411.522961, 0.736000
1551268411.531344, 0.742400
1551268411.536666, 0.748800
1551268411.542368, 0.755200
1551268411.548796, 0.761600
1551268411.554952, 0.768000
1551268411.561301, 0.774400
1551268411.567780, 0.780800
1551268411.573465, 0.787200
1551268411.578756, 0.793600
1551268411.585158, 0.800000
1551268411.590874, 0.806400
1551268411.596121, 0.812800
1551268411.601621, 0.819200
1551268411.607147, 0.825600
1551268411.612383, 0.832000
1551268411.617802, 0.838400
1551268411.623702, 0.844800
1551268411.629405, 0.851200
1551268411.634754, 0.857600
1551268411.640142, 0.864000
1551268411.645770, 0.870400
1551268411.651944, 0.876800
1551268411.657621, 0.883200
1551268411.663462, 0.889600
1551268411.669509, 0.896000
1551268411.675401, 0.902400
1551268411.680529, 0.908800
1551268411.686822, 0.915200
1551268411.692392, 0.921600
1551268411.698082, 0.928000
1551268411.704490, 0.934400
1551268411.709815, 0.940800
1551268411.715591, 0.947200
1551268411.721027, 0.953600
1551268411.726189, 0.960000
1551268411.731336, 0.966400
1551268411.737866, 0.963672
1551268411.744359, 0.960945
1551268411.749694, 0.958217
1551268411.755531, 0.955490
1551268411.763335, 0.952762
1551268411.769063, 0.950034
1551268411.774335, 0.947307
1551268411.780218, 0.944579
1551268411.785397, 0.941852
1551268411.793857, 0.939124
1551268411.800833, 0.936396
1551268411.810841, 0.933669
1551268411.815993, 0.930941
1551268411.821317, 0.928214
1551268411.828362, 0.925486
1551268411.833789, 0.922758
1551268411.839658, 0.920031
1551268411.846881, 0.917303
