time, phase
1551269065.356738, 0
1551269065.584515, 1
1551269065.763158, 2
1551269065.941170, 3
1551269066.072748, 0
1551269066.259393, 1
1551269066.406441, 2
1551269066.599693, 3
1551269066.715591, 0
1551269066.830520, 1
1551269067.004117, 2
1551269067.136940, 3
1551269067.267291, 0
1551269067.408444, 1
1551269067.527512, 2
1551269067.662349, 3
1551269067.804135, 0
1551269067.953816, 1
1551269068.120740, 2
1551269068.258033, 3
1551269068.374882, 0
1551269068.554608, 1
1551269068.671477, 2
1551269068.792634, 3
1551269068.909352, 0
1551269069.011171, 1
1551269069.138908, 2
1551269069.261733, 3
1551269069.361964, 0
1551269069.463600, 1
1551269069.598084, 2
1551269069.721817, 3
1551269069.823931, 0
1551269069.914400, 1
1551269070.031783, 2
1551269070.141263, 3
1551269070.242925, 0
1551269070.362528, 1
1551269070.465982, 2
1551269070.570119, 3
1551269070.683522, 0
1551269070.765758, 1
1551269070.873867, 2
1551269071.001679, 3
1551269071.125920, 0
1551269071.190375, 1
1551269071.297829, 2
1551269071.390610, 3
1551269071.484389, 0
1551269071.601094, 1
1551269071.711145, 2
1551269071.808914, 3
1551269071.904817, 0
1551269072.013561, 1
1551269072.840880, 2
1551269073.296272, 3
1551269073.492486, 0
1551269073.700413, 1
1551269073.865577, 2
1551269074.015254, 3
1551269074.208427, 0
1551269074.410751, 1
1551269074.599131, 2
1551269074.763274, 3
1551269074.953770, 0
1551269075.174215, 1
1551269075.341953, 2
1551269075.499206, 3
1551269075.670454, 0
1551269075.901487, 1
1551269076.107402, 2
1551269076.313058, 3
1551269076.519343, 0
1551269076.669259, 1
1551269076.850684, 2
1551269076.994768, 3
1551269077.205251, 0
1551269077.445525, 1
1551269077.625721, 2
1551269077.817609, 3
1551269078.013061, 0
