# time,beats,midi_note,midi_vel
1551269067.428530,  0.035067, 44.000000,127.000000
1551269067.428979,  0.035067, 64.000000,127.000000
1551269067.429192,  0.035067, 76.000000,127.000000
1551269067.843316,  0.477568, 44.000000,105.000000
1551269067.852038,  0.477568, 64.000000,105.000000
1551269067.852798,  0.496016, 76.000000,105.000000
1551269067.861478,  0.514075, 49.000000,105.000000
1551269067.863699,  0.514075, 54.000000,105.000000
1551269067.865422,  0.514075, 58.000000,105.000000
1551269067.866088,  0.514075, 66.000000,105.000000
1551269067.866913,  0.514075, 78.000000,105.000000
1551269068.430170,  0.982941, 49.000000, 94.000000
1551269068.430329,  0.982941, 54.000000, 94.000000
1551269068.430520,  0.982941, 58.000000, 94.000000
1551269068.446015,  1.000794, 49.000000, 94.000000
1551269068.446316,  1.000794, 54.000000, 94.000000
1551269068.446484,  1.000794, 58.000000, 94.000000
1551269068.712264,  1.215881, 66.000000, 83.000000
1551269068.712458,  1.215881, 78.000000, 83.000000
1551269068.735252,  1.258109, 61.000000, 83.000000
1551269068.737275,  1.258109, 73.000000, 83.000000
1551269068.947643,  1.477958, 49.000000, 92.000000
1551269068.948429,  1.477958, 54.000000, 92.000000
1551269068.948607,  1.477958, 58.000000, 92.000000
1551269068.956770,  1.500517, 61.000000, 92.000000
1551269068.957121,  1.500517, 73.000000, 92.000000
1551269068.957888,  1.500517, 35.000000, 92.000000
1551269068.958067,  1.500517, 47.000000, 92.000000
1551269068.958348,  1.500517, 63.000000, 92.000000
1551269068.958511,  1.500517, 75.000000, 92.000000
1551269069.183964,  1.743329, 63.000000, 76.000000
1551269069.184288,  1.743329, 75.000000, 76.000000
1551269069.195737,  1.764769, 66.000000, 76.000000
1551269069.195920,  1.764769, 78.000000, 76.000000
1551269069.410451,  1.993781, 35.000000, 83.000000
1551269069.411054,  1.993781, 47.000000, 83.000000
1551269069.411362,  1.993781, 66.000000, 83.000000
1551269069.411500,  1.993781, 78.000000, 83.000000
1551269069.419901,  2.014624, 51.000000, 83.000000
1551269069.420125,  2.014624, 54.000000, 83.000000
1551269069.420243,  2.014624, 59.000000, 83.000000
1551269069.420362,  2.014624, 68.000000, 83.000000
1551269069.420471,  2.014624, 80.000000, 83.000000
1551269069.860233,  2.486484, 51.000000, 66.000000
1551269069.860635,  2.486484, 54.000000, 66.000000
1551269069.860953,  2.486484, 59.000000, 66.000000
1551269069.861080,  2.486484, 68.000000, 66.000000
1551269069.861183,  2.486484, 80.000000, 66.000000
1551269069.872607,  2.509799, 51.000000, 66.000000
1551269069.873486,  2.509799, 54.000000, 66.000000
1551269069.879656,  2.509799, 59.000000, 66.000000
1551269069.880264,  2.509799, 63.000000, 66.000000
1551269069.880440,  2.509799, 75.000000, 66.000000
1551269070.284264,  2.975263, 51.000000, 88.000000
1551269070.284472,  2.975263, 54.000000, 88.000000
1551269070.284737,  2.975263, 59.000000, 88.000000
1551269070.284880,  2.975263, 63.000000, 88.000000
1551269070.285139,  2.975263, 75.000000, 88.000000
1551269070.303919,  3.019091, 30.000000, 88.000000
1551269070.304112,  3.019091, 42.000000, 88.000000
1551269070.304214,  3.019091, 64.000000, 88.000000
1551269070.304306,  3.019091, 76.000000, 88.000000
1551269070.723321,  3.488670, 30.000000, 86.000000
1551269070.723516,  3.488670, 42.000000, 86.000000
1551269070.730664,  3.488670, 64.000000, 86.000000
1551269070.730987,  3.488670, 76.000000, 86.000000
1551269070.731814,  3.512128, 49.000000, 86.000000
1551269070.732429,  3.512128, 54.000000, 86.000000
1551269070.732865,  3.512128, 58.000000, 86.000000
1551269070.733187,  3.512128, 66.000000, 86.000000
1551269070.733667,  3.512128, 78.000000, 86.000000
1551269071.164429,  3.992963, 49.000000, 78.000000
1551269071.164653,  3.992963, 54.000000, 78.000000
1551269071.165172,  3.992963, 58.000000, 78.000000
1551269071.177155,  4.016656, 49.000000, 78.000000
1551269071.177344,  4.016656, 54.000000, 78.000000
1551269071.177627,  4.016656, 58.000000, 78.000000
1551269071.319548,  4.209480, 66.000000, 48.000000
1551269071.320016,  4.209480, 78.000000, 48.000000
1551269071.339189,  4.258994, 61.000000, 48.000000
1551269071.339465,  4.258994, 73.000000, 48.000000
1551269071.523588,  4.492954, 49.000000, 58.000000
1551269071.524169,  4.492954, 54.000000, 58.000000
1551269071.525285,  4.492954, 58.000000, 58.000000
1551269071.526086,  4.492954, 61.000000, 58.000000
1551269071.526881,  4.492954, 73.000000, 58.000000
1551269071.532383,  4.519980, 35.000000, 58.000000
1551269071.532611,  4.519980, 47.000000, 58.000000
1551269071.532752,  4.519980, 63.000000, 58.000000
1551269071.533028,  4.519980, 75.000000, 58.000000
1551269071.943313,  4.995885, 35.000000, 74.000000
1551269071.952407,  5.020921, 54.000000, 74.000000
1551269071.952720,  5.020921, 59.000000, 74.000000
1551269073.526796,  5.469411, 47.000000, 69.000000
1551269073.527396,  5.469411, 63.000000, 69.000000
1551269073.527501,  5.469411, 75.000000, 69.000000
1551269073.531058,  5.492699, 54.000000, 69.000000
1551269073.531451,  5.492699, 59.000000, 69.000000
1551269073.542350,  5.515987, 63.000000, 69.000000
1551269074.280511,  5.998160, 63.000000, 95.000000
1551269074.290136,  6.012275, 64.000000, 95.000000
1551269074.842762,  6.359686, 64.000000,101.000000
1551269074.863100,  6.385874, 63.000000,101.000000
1551269075.033500,  6.495595, 63.000000,101.000000
1551269075.050394,  6.509192, 62.000000,101.000000
1551269075.050560,  6.509192, 68.000000,101.000000
1551269075.050682,  6.509192, 71.000000,101.000000
1551269075.736937,  6.982462, 62.000000, 92.000000
1551269075.737103,  6.982462, 68.000000, 92.000000
1551269075.737209,  6.982462, 71.000000, 92.000000
1551269075.761653,  7.011155, 39.000000, 92.000000
1551269075.761881,  7.011155, 61.000000, 92.000000
1551269075.762038,  7.011155, 67.000000, 92.000000
1551269075.763703,  7.011155, 70.000000, 92.000000
1551269076.603463,  7.485592, 39.000000, 78.000000
1551269076.605453,  7.485592, 61.000000, 78.000000
1551269076.605595,  7.485592, 67.000000, 78.000000
1551269076.606412,  7.485592, 70.000000, 78.000000
