time,beats,midi_note,midi_vel
1551269362.829375, 0.005110, 41.000000, 100.000000
1551269362.830046, 0.005110, 65.000000, 100.000000
1551269362.963784, 0.122650, 65.000000, 102.000000
1551269363.113870, 0.246589, 41.000000, 102.000000
1551269363.269925, 0.376633, 65.000000, 99.000000
1551269363.409579, 0.497044, 65.000000, 99.000000
1551269363.414710, 0.501860, 53.000000, 99.000000
1551269363.414872, 0.501860, 60.000000, 99.000000
1551269363.415017, 0.501860, 63.000000, 99.000000
1551269363.415149, 0.501860, 67.000000, 99.000000
1551269364.025754, 0.996783, 53.000000, 100.000000
1551269364.026040, 0.996783, 60.000000, 100.000000
1551269364.026242, 0.996783, 63.000000, 100.000000
1551269364.026377, 0.996783, 67.000000, 100.000000
1551269364.037396, 1.001488, 53.000000, 100.000000
1551269364.037999, 1.001488, 60.000000, 100.000000
1551269364.038416, 1.001488, 63.000000, 100.000000
1551269364.038557, 1.001488, 69.000000, 100.000000
1551269364.624655, 1.499890, 53.000000, 100.000000
1551269364.624988, 1.499890, 60.000000, 100.000000
1551269364.625164, 1.499890, 63.000000, 100.000000
1551269364.625764, 1.499890, 69.000000, 100.000000
1551269364.629733, 1.505121, 46.000000, 100.000000
1551269364.629920, 1.505121, 70.000000, 100.000000
1551269364.951112, 1.745745, 46.000000, 100.000000
1551269364.972895, 1.756031, 70.000000, 100.000000
1551269365.112144, 1.879459, 72.000000, 103.000000
1551269365.248581, 1.997745, 72.000000, 103.000000
1551269365.253814, 2.002888, 53.000000, 103.000000
1551269365.254230, 2.002888, 58.000000, 103.000000
1551269365.254450, 2.002888, 62.000000, 103.000000
1551269365.254694, 2.002888, 74.000000, 103.000000
1551269365.810351, 2.497631, 53.000000, 105.000000
1551269365.810535, 2.497631, 58.000000, 105.000000
1551269365.810689, 2.497631, 62.000000, 105.000000
1551269365.810799, 2.497631, 74.000000, 105.000000
1551269365.815764, 2.503117, 46.000000, 105.000000
1551269365.815977, 2.503117, 75.000000, 105.000000
1551269366.072877, 2.749973, 46.000000, 102.000000
1551269366.073195, 2.749973, 75.000000, 102.000000
1551269366.078865, 2.755459, 77.000000, 102.000000
1551269366.353905, 2.997655, 77.000000, 89.000000
1551269366.358853, 3.002652, 39.000000, 89.000000
1551269366.359013, 3.002652, 51.000000, 89.000000
1551269366.359235, 3.002652, 79.000000, 89.000000
1551269366.651012, 3.247516, 79.000000, 95.000000
1551269366.809586, 3.376632, 81.000000, 95.000000
1551269367.003858, 3.498082, 39.000000, 69.000000
1551269367.004320, 3.498082, 51.000000, 69.000000
1551269367.004894, 3.498082, 81.000000, 69.000000
1551269367.008759, 3.503602, 55.000000, 69.000000
1551269367.008942, 3.503602, 82.000000, 69.000000
1551269367.074785, 3.558807, 82.000000, 69.000000
1551269367.079095, 3.564327, 84.000000, 69.000000
1551269367.079410, 3.564327, 58.000000, 69.000000
1551269367.145316, 3.625053, 84.000000, 69.000000
1551269367.145494, 3.625053, 82.000000, 69.000000
1551269367.150920, 3.630573, 63.000000, 69.000000
1551269367.209174, 3.685778, 82.000000, 78.000000
1551269367.214721, 3.691298, 84.000000, 78.000000
1551269367.224936, 3.702339, 67.000000, 78.000000
1551269367.271847, 3.746503, 84.000000, 78.000000
1551269367.277244, 3.752023, 82.000000, 78.000000
1551269367.333935, 3.808071, 82.000000, 78.000000
1551269367.339288, 3.813803, 84.000000, 78.000000
1551269367.396315, 3.871116, 84.000000, 78.000000
1551269367.401652, 3.876847, 82.000000, 78.000000
1551269367.456265, 3.934161, 82.000000, 101.000000
1551269367.461512, 3.939892, 84.000000, 101.000000
1551269367.520704, 3.997206, 58.000000, 101.000000
1551269367.520876, 3.997206, 63.000000, 101.000000
1551269367.520958, 3.997206, 55.000000, 101.000000
1551269367.521056, 3.997206, 67.000000, 101.000000
1551269367.521194, 3.997206, 84.000000, 101.000000
1551269367.526110, 4.002937, 81.000000, 101.000000
1551269367.773114, 4.249385, 81.000000, 101.000000
1551269367.778698, 4.255116, 79.000000, 101.000000
1551269368.032777, 4.497862, 79.000000, 96.000000
1551269368.040040, 4.502735, 46.000000, 96.000000
1551269368.040838, 4.502735, 77.000000, 96.000000
1551269368.114607, 4.566094, 77.000000, 96.000000
1551269368.114841, 4.566094, 82.000000, 96.000000
1551269368.214748, 4.653821, 82.000000, 98.000000
1551269368.322201, 4.746422, 46.000000, 98.000000
1551269368.485884, 4.878012, 82.000000, 98.000000
1551269368.622220, 4.994982, 82.000000, 101.000000
1551269368.634534, 5.004729, 53.000000, 101.000000
1551269368.634700, 5.004729, 58.000000, 101.000000
1551269368.634824, 5.004729, 62.000000, 101.000000
1551269368.634930, 5.004729, 74.000000, 101.000000
1551269369.248169, 5.497876, 53.000000, 81.000000
1551269369.248294, 5.497876, 58.000000, 81.000000
1551269369.248387, 5.497876, 62.000000, 81.000000
1551269369.253762, 5.502475, 53.000000, 81.000000
1551269369.254674, 5.502475, 58.000000, 81.000000
1551269369.255116, 5.502475, 62.000000, 81.000000
1551269369.872549, 5.996941, 53.000000, 74.000000
1551269369.872691, 5.996941, 58.000000, 74.000000
1551269369.872781, 5.996941, 62.000000, 74.000000
1551269369.872888, 5.996941, 74.000000, 74.000000
