time, palm_pos, vel, avg_vel, avg_vel_schm, avg_acc, avg_acc_schm, avg_still_buff
1549308410.333386, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1549308410.338913, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1549308410.346201, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1549308410.351549, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1549308410.357484, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1549308410.363049, 216.251099, 462.105621, 0.688152, 0.688152, 68.815222, 68.815222, 1.000000
1549308410.368638, 216.251099, 462.105621, 1.384383, 1.384383, 69.623109, 69.623109, 0.857143
1549308410.374555, 226.609985, 554.379883, 2.242011, 2.242011, 85.762791, 85.762791, 0.750000
1549308410.380296, 226.609985, 554.379883, 3.141055, 3.141055, 89.904357, 89.904357, 0.666667
1549308410.386215, 230.461624, 522.631470, 4.053076, 4.053076, 91.202122, 91.202122, 0.600000
1549308410.391810, 234.757401, 510.863586, 5.025881, 5.025881, 97.280473, 97.280473, 0.500000
1549308410.397360, 234.757401, 510.863586, 6.093992, 6.093992, 106.811113, 106.811113, 0.400000
1549308410.402718, 237.705994, 460.887726, 7.199409, 7.199409, 110.541687, 110.541687, 0.300000
1549308410.408105, 237.705994, 460.887726, 8.431658, 8.431658, 123.224951, 123.224951, 0.200000
1549308410.413460, 240.429443, 416.653992, 9.738619, 9.738619, 130.696048, 130.696048, 0.100000
1549308410.418956, 242.698212, 371.514038, 11.131356, 11.131356, 139.273690, 139.273690, 0.000000
1549308410.424869, 242.698212, 371.514038, 12.687351, 12.687351, 155.599581, 155.599581, 0.000000
1549308410.430227, 243.677521, 298.643433, 14.306929, 14.306929, 161.957768, 161.957768, 0.000000
1549308410.435584, 244.332855, 236.715363, 16.013258, 16.013258, 170.632917, 170.632917, 0.000000
