time,palm_pos,palm_vel,span
1551381231.738512, 0.000000, 0.000000, 0.000000
1551381231.750995, 0.000000, 0.000000, 0.000000
1551381231.756696, 177.604568, -0.995900, 103.829977
1551381231.761898, 177.604568, -0.995900, 103.829977
1551381231.767184, 177.529831, -2.998442, 103.841975
1551381231.772433, 177.529831, -2.998442, 103.841975
1551381231.777688, 177.454147, -4.480606, 103.889539
1551381231.782874, 177.350800, -6.386128, 103.918306
1551381231.788560, 177.350800, -6.386128, 103.918306
1551381231.793928, 177.209686, -8.949094, 103.822692
1551381231.799237, 177.209686, -8.949094, 103.822692
1551381231.806135, 177.085953, -10.256441, 103.796836
1551381231.811567, 176.980453, -10.638029, 103.815630
1551381231.816836, 176.980453, -10.638029, 103.815630
1551381231.822310, 176.850723, -11.676560, 103.697721
1551381231.827560, 176.738693, -11.863849, 103.540369
1551381231.833639, 176.738693, -11.863849, 103.540369
1551381231.839155, 176.693649, -9.958621, 103.530971
1551381231.845014, 176.693649, -9.958621, 103.530971
1551381231.850945, 176.628860, -9.202552, 103.488786
1551381231.856280, 176.568817, -8.473283, 103.459764
1551381231.861460, 176.568817, -8.473283, 103.459764
1551381231.867496, 176.525436, -7.484732, 103.480263
1551381231.872712, 176.517899, -5.626441, 103.530387
1551381231.878267, 176.517899, -5.626441, 103.530387
1551381231.883448, 176.423676, -6.969714, 103.562402
1551381231.888784, 176.423676, -6.969714, 103.562402
1551381231.894570, 176.442932, -4.459819, 103.550595
1551381231.900407, 176.484879, -1.954085, 103.562879
1551381231.906059, 176.484879, -1.954085, 103.562879
1551381231.911855, 176.538300, 0.213206, 103.579778
1551381231.917092, 176.538300, 0.213206, 103.579778
1551381231.922419, 176.604126, 2.161184, 103.621927
1551381231.927764, 176.678711, 3.836795, 103.664478
1551381231.933160, 176.678711, 3.836795, 103.664478
1551381231.938555, 176.726196, 4.227543, 103.708983
1551381231.944069, 176.726196, 4.227543, 103.708983
1551381231.949740, 176.812729, 5.703403, 103.750188
1551381231.954959, 176.812729, 5.703403, 103.750188
1551381231.960268, 176.933395, 7.811327, 103.769892
1551381231.965647, 177.032822, 8.695431, 103.711459
1551381231.971084, 177.032822, 8.695431, 103.711459
1551381231.976318, 177.032822, 8.695431, 103.711459
1551381231.981620, 177.032822, 8.695431, 103.711459
1551381231.987397, 177.032822, 8.695431, 103.711459
1551381231.993204, 177.220581, 7.591885, 103.521606
1551381231.998621, 177.220581, 7.591885, 103.521606
1551381232.003847, 177.285904, 7.493253, 103.462248
1551381232.009101, 177.275742, 5.114034, 103.420181
1551381232.016287, 177.275742, 5.114034, 103.420181
1551381232.021521, 177.273026, 3.625663, 103.410148
1551381232.026790, 177.271149, 2.570062, 103.344104
1551381232.032556, 177.271149, 2.570062, 103.344104
1551381232.037959, 177.348465, 4.219185, 103.313641
1551381232.043264, 177.348465, 4.219185, 103.313641
1551381232.048638, 177.446457, 6.048316, 103.287488
1551381232.053911, 177.532547, 6.997995, 103.223322
1551381232.059684, 177.532547, 6.997995, 103.223322
1551381232.065383, 177.599442, 7.113336, 103.164238
1551381232.070768, 177.649765, 6.689574, 103.090828
1551381232.076025, 177.649765, 6.689574, 103.090828
1551381232.081446, 177.694458, 6.199605, 103.112870
1551381232.086830, 177.694458, 6.199605, 103.112870
1551381232.092181, 177.727768, 5.512311, 103.129994
1551381232.097520, 177.727768, 5.512311, 103.129994
1551381232.102707, 177.738556, 4.023243, 103.053067
1551381232.108181, 177.747345, 3.418504, 103.057702
1551381232.113641, 177.747345, 3.418504, 103.057702
1551381232.118900, 177.646454, -0.598839, 103.101361
1551381232.124222, 177.646454, -0.598839, 103.101361
1551381232.129529, 177.552567, -3.296026, 103.146358
1551381232.134869, 177.482071, -4.535994, 103.213039
1551381232.140703, 177.482071, -4.535994, 103.213039
1551381232.145964, 177.416138, -5.297852, 103.266745
1551381232.151329, 177.416138, -5.297852, 103.266745
