time,est_amp,est_freq,est_phase
1548184028.244171, 56.613628, 0.044750, 0.033028
1548184028.307066, 137.994959, 0.041240, 2.105773
1548184028.405509, 184.755395, 0.032032, 0.000000
1548184028.579497, 312.534498, 0.027982, 3.112654
1548184028.761710, 325.324162, 0.034229, 3.112654
1548184029.008422, 281.258822, 0.041483, 3.238604
1548184029.274969, 339.115443, 0.034079, 10.995574
1548184029.512724, 403.418995, 0.035592, 15.707963
1548184029.774488, 341.226441, 0.041186, 15.707963
1548184030.136541, 243.397450, 0.050045, 16.627036
1548184030.287268, 175.710576, 0.042590, 19.717312
1548184030.433587, 174.981045, 0.043411, 21.726720
1548184030.562820, 312.428515, 0.048370, 21.726730
1548184030.741516, 414.885495, 0.048173, 24.404531
1548184030.884450, 423.290014, 0.047091, 27.358985
1548184030.980300, 505.018411, 0.056123, 27.358985
1548184031.132325, 651.216647, 0.052899, 31.415927
1548184031.259747, 809.751349, 0.050154, 33.927551
1548184031.375145, 822.831743, 0.049232, 36.546855
1548184031.472151, 717.896965, 0.045732, 39.382078
1548184031.600387, 868.794757, 0.040954, 39.269908
1548184031.823536, 173.543062, 0.037705, 39.359363
1548184031.907931, 873.199308, 0.040831, 40.704307
1548184032.037373, 943.347187, 0.041214, 42.718126
1548184032.201720, 960.619072, 0.042222, 44.625650
1548184032.339536, 1040.056769, 0.044312, 46.351383
1548184032.483727, 1082.530298, 0.046187, 48.123767
1548184032.603121, 1099.713844, 0.045795, 50.486326
1548184032.696040, 1095.443078, 0.045670, 52.775022
1548184032.780281, 1183.172526, 0.042998, 55.475221
1548184032.873264, 1027.164078, 0.041311, 57.848911
1548184032.964312, 1036.000464, 0.036507, 60.728389
1548184033.092130, 1041.528995, 0.033693, 63.028181
1548184033.233701, 1085.207998, 0.032821, 65.005145
1548184033.357725, 1058.066038, 0.032476, 66.865612
1548184033.471924, 994.024018, 0.032954, 68.464753
1548184033.596706, 881.683937, 0.033129, 69.890628
1548184033.709465, 751.016242, 0.035435, 71.257414
1548184033.849019, 633.728246, 0.038404, 72.668412
1548184033.985165, 437.293538, 0.035810, 74.699974
1548184034.135110, 327.380064, 0.035487, 76.724960
1548184034.291887, 252.445812, 0.023141, 79.154765
1548184034.392867, 114.138671, 0.029829, 79.664320
1548184034.505355, 23.706379, 0.040461, 80.755505
1548184034.674544, 17.959058, 0.035637, 82.883202
1548184034.842285, 32.847060, 0.033100, 83.790540
1548184034.989041, 96.302936, 0.037961, 84.043802
1548184035.082446, 146.762252, 0.041299, 84.522199
1548184035.262753, 290.177358, 0.039347, 87.158350
1548184035.365678, 369.867007, 0.033307, 78.539816
1548184035.447869, 389.654719, 0.028767, 80.841311
1548184035.562720, 435.301811, 0.029345, 82.006238
1548184035.678366, 529.506309, 0.025386, 84.106946
1548184035.816662, 579.321137, 0.024034, 85.786278
1548184035.936659, 682.216697, 0.023714, 87.094509
1548184036.056011, 671.010066, 0.024338, 88.278094
1548184036.172791, 612.204273, 0.025487, 89.204272
1548184036.275327, 655.071420, 0.025291, 90.428326
1548184036.398364, 623.859434, 0.023583, 91.878197
1548184036.500127, 691.472886, 0.022989, 93.176394
1548184036.629253, 671.639234, 0.022599, 94.516620
1548184036.763083, 687.793007, 0.022619, 95.727409
1548184036.891349, 632.501447, 0.022919, 96.824896
1548184037.016817, 653.998005, 0.024851, 97.558243
1548184037.148702, 655.570392, 0.025771, 98.579571
1548184037.258530, 696.168031, 0.025754, 99.845966
1548184037.365067, 681.429979, 0.024656, 101.335868
1548184037.485453, 606.895445, 0.024707, 102.593866
1548184037.579474, 568.789104, 0.022939, 104.088228
1548184037.665769, 529.679113, 0.020402, 105.520733
1548184037.785057, 482.480424, 0.019082, 106.775522
1548184037.915319, 532.927795, 0.017415, 108.113470
1548184038.013441, 473.880244, 0.018007, 108.967507
1548184038.119529, 444.284181, 0.017105, 110.047870
1548184038.218359, 412.260695, 0.017539, 110.759101
1548184038.394365, 379.167701, 0.019239, 111.353582
