time,beats,midi_note,midi_vel
1548184019.995585, 0.006869, 46.000000, 106.000000
1548184019.995943, 0.006869, 75.000000, 106.000000
1548184020.194127, 0.247290, 75.000000, 111.000000
1548184020.199391, 0.254160, 73.000000, 111.000000
1548184020.375954, 0.473973, 46.000000, 116.000000
1548184020.398405, 0.501532, 73.000000, 117.000000
1548184020.398639, 0.501532, 54.000000, 117.000000
1548184020.398847, 0.501532, 61.000000, 117.000000
1548184020.399014, 0.501532, 66.000000, 117.000000
1548184020.399396, 0.501532, 78.000000, 117.000000
1548184020.772640, 0.980429, 54.000000, 126.000000
1548184020.772904, 0.980429, 61.000000, 126.000000
1548184020.773021, 0.980429, 66.000000, 126.000000
1548184020.773141, 0.980429, 78.000000, 126.000000
1548184020.792909, 1.001737, 45.000000, 126.000000
1548184020.793133, 1.001737, 75.000000, 126.000000
1548184021.032662, 1.248450, 75.000000, 125.000000
1548184021.038412, 1.254187, 73.000000, 125.000000
1548184021.252687, 1.477950, 45.000000, 124.000000
1548184021.269749, 1.495162, 73.000000, 124.000000
1548184021.274840, 1.500807, 52.000000, 123.000000
1548184021.274999, 1.500807, 57.000000, 123.000000
1548184021.275129, 1.500807, 61.000000, 123.000000
1548184021.275261, 1.500807, 67.000000, 123.000000
1548184021.275456, 1.500807, 79.000000, 123.000000
1548184021.780451, 1.974102, 52.000000, 114.000000
1548184021.780673, 1.974102, 57.000000, 114.000000
1548184021.781046, 1.974102, 61.000000, 114.000000
1548184021.781280, 1.974102, 67.000000, 114.000000
1548184021.781506, 1.974102, 79.000000, 114.000000
1548184021.813009, 2.003886, 75.000000, 113.000000
1548184022.139947, 2.245308, 75.000000, 99.000000
1548184022.151166, 2.253356, 73.000000, 99.000000
1548184022.486668, 2.498801, 73.000000, 85.000000
1548184022.491765, 2.501118, 85.000000, 84.000000
1548184023.306182, 2.735092, 85.000000, 69.000000
1548184024.232623, 3.002519, 44.000000, 51.000000
1548184024.232838, 3.002519, 68.000000, 51.000000
1548184024.536924, 3.247694, 68.000000, 68.000000
1548184024.542673, 3.252151, 69.000000, 68.000000
1548184024.821981, 3.475038, 44.000000, 84.000000
1548184024.850029, 3.497326, 69.000000, 85.000000
1548184024.855227, 3.502432, 56.000000, 86.000000
1548184024.855398, 3.502432, 61.000000, 86.000000
1548184024.855619, 3.502432, 64.000000, 86.000000
1548184024.855817, 3.502432, 68.000000, 86.000000
1548184024.910691, 3.563203, 68.000000, 87.000000
1548184024.910923, 3.563203, 69.000000, 87.000000
1548184024.968435, 3.623973, 69.000000, 88.000000
1548184024.973549, 3.630050, 68.000000, 88.000000
1548184025.078206, 3.745514, 68.000000, 91.000000
1548184025.083798, 3.751592, 67.000000, 91.000000
1548184025.291261, 3.976443, 56.000000, 96.000000
1548184025.291462, 3.976443, 61.000000, 96.000000
1548184025.291818, 3.976443, 64.000000, 96.000000
1548184025.314214, 4.000827, 67.000000, 96.000000
1548184025.314459, 4.000827, 54.000000, 96.000000
1548184025.314699, 4.000827, 56.000000, 96.000000
1548184025.314856, 4.000827, 60.000000, 96.000000
1548184025.314983, 4.000827, 68.000000, 96.000000
1548184025.529195, 4.248581, 68.000000, 94.000000
1548184025.534552, 4.255277, 76.000000, 93.000000
1548184025.727499, 4.476246, 54.000000, 91.000000
1548184025.727683, 4.476246, 56.000000, 91.000000
1548184025.727943, 4.476246, 60.000000, 91.000000
1548184025.745072, 4.496334, 76.000000, 91.000000
1548184025.757316, 4.507154, 37.000000, 90.000000
1548184025.757611, 4.507154, 73.000000, 90.000000
1548184026.035087, 4.748474, 73.000000, 81.000000
1548184026.040475, 4.753399, 61.000000, 81.000000
1548184026.289780, 4.975020, 37.000000, 72.000000
1548184026.318314, 4.999644, 61.000000, 72.000000
1548184026.324557, 5.003713, 56.000000, 71.000000
1548184026.324921, 5.003713, 64.000000, 71.000000
1548184026.325163, 5.003713, 73.000000, 71.000000
1548184026.977318, 5.475966, 56.000000, 48.000000
1548184026.977552, 5.475966, 64.000000, 48.000000
1548184027.018443, 5.505526, 56.000000, 46.000000
1548184027.018775, 5.505526, 64.000000, 46.000000
1548184027.462070, 5.949997, 73.000000, 38.000000
1548184027.492523, 5.977776, 56.000000, 38.000000
1548184027.493449, 5.977776, 64.000000, 38.000000
