time, phase
1548184055.575855, 0
1548184055.700387, 1
1548184055.797642, 2
1548184055.951611, 3
1548184056.091314, 0
1548184056.163967, 1
1548184056.264059, 2
1548184056.392173, 3
1548184056.495978, 0
1548184056.595444, 1
1548184056.760327, 2
1548184056.926177, 3
1548184056.999273, 0
1548184057.088466, 1
1548184057.208230, 2
1548184057.347525, 3
1548184057.442267, 0
1548184057.522220, 1
1548184057.638337, 2
1548184057.754148, 3
1548184057.827462, 0
1548184057.931087, 1
1548184058.022818, 2
1548184058.152237, 3
1548184058.203974, 0
1548184058.294140, 1
1548184058.443211, 2
1548184058.551063, 3
1548184058.665368, 0
1548184058.771120, 1
1548184058.846390, 2
1548184058.975869, 3
1548184059.057946, 0
1548184059.131067, 1
1548184059.245783, 2
1548184059.367804, 3
1548184059.468143, 0
1548184059.560995, 1
1548184059.664600, 2
1548184059.790987, 3
1548184059.982359, 0
1548184060.072620, 1
1548184060.222990, 2
1548184060.355668, 3
1548184062.102184, 0
1548184062.197136, 1
1548184062.315369, 2
1548184062.534124, 3
1548184062.641570, 0
1548184062.780375, 1
1548184062.901330, 2
1548184063.067446, 3
1548184063.189172, 0
1548184063.379063, 1
1548184063.574547, 2
1548184064.058287, 3
1548184064.178955, 0
1548184064.350989, 1
1548184064.582917, 2
1548184064.816291, 3
1548184065.014654, 0
1548184065.201326, 1
1548184065.416635, 2
1548184065.581933, 3
1548184065.706196, 0
1548184065.919439, 1
1548184066.097564, 2
1548184066.241384, 3
1548184066.379839, 0
