time, palm_pos, vel, avg_vel, avg_vel_schm, avg_acc, avg_acc_schm, avg_still_buff
1548184082.862714, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.864390, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.865868, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.867310, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.868808, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.870184, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.871745, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.873202, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.874549, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.876005, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.877551, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.878893, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.880372, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.881736, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.883174, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.884675, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.886070, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.887602, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.889059, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.890741, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.892146, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.893556, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.894982, 0.000000, 0.000000, 0.000000, -100.000000, 0.000000, -150.000000, 1.000000
1548184082.897225, 281.479218, 13.929366, 0.020743, 0.020743, 2.074315, 2.074315, 1.000000
1548184082.898838, 281.479218, 13.929366, 0.041730, 0.041730, 2.098667, 2.098667, 1.000000
1548184082.902031, 281.479218, 13.929366, 0.063439, 0.063439, 2.170966, 2.170966, 1.000000
1548184082.903819, 281.479218, 13.929366, 0.086349, 0.086349, 2.290943, 2.290943, 1.000000
1548184082.905235, 281.479218, 13.929366, 0.110930, 0.110930, 2.458139, 2.458139, 1.000000
1548184082.906578, 281.479218, 13.929366, 0.137649, 0.137649, 2.671900, 2.671900, 1.000000
1548184082.907970, 281.479218, 13.929366, 0.166963, 0.166963, 2.931386, 2.931386, 1.000000
1548184082.909486, 281.712250, 13.039872, 0.197994, 0.197994, 3.103110, 3.103110, 1.000000
1548184082.910785, 281.712250, 13.039872, 0.232487, 0.232487, 3.449231, 3.449231, 1.000000
1548184082.912150, 281.712250, 13.039872, 0.270831, 0.270831, 3.834398, 3.834398, 1.000000
1548184082.913435, 281.712250, 13.039872, 0.313401, 0.313401, 4.257073, 4.257073, 1.000000
1548184082.914816, 281.712250, 13.039872, 0.360557, 0.360557, 4.715567, 4.715567, 1.000000
1548184082.916443, 281.712250, 13.039872, 0.412637, 0.412637, 5.208044, 5.208044, 1.000000
1548184082.917901, 281.712250, 13.039872, 0.469963, 0.469963, 5.732531, 5.732531, 1.000000
1548184082.921005, 281.712250, 13.039872, 0.532832, 0.532832, 6.286926, 6.286926, 1.000000
1548184082.922428, 281.712250, 13.039872, 0.601522, 0.601522, 6.869002, 6.869002, 1.000000
1548184082.923705, 281.712250, 13.039872, 0.676286, 0.676286, 7.476422, 7.476422, 1.000000
1548184082.925033, 281.712250, 13.039872, 0.757354, 0.757354, 8.106747, 8.106747, 1.000000
1548184082.926435, 281.712250, 13.039872, 0.844928, 0.844928, 8.757440, 8.757440, 1.000000
1548184082.927816, 281.803986, 7.962999, 0.931627, 0.931627, 8.669855, 8.669855, 1.000000
1548184082.929175, 281.803986, 7.962999, 1.025071, 1.025071, 9.344488, 9.344488, 0.900000
1548184082.931139, 281.803986, 7.962999, 1.125211, 1.125211, 10.013958, 10.013958, 0.800000
1548184082.933999, 281.803986, 7.962999, 1.231967, 1.231967, 10.675559, 10.675559, 0.700000
1548184082.935436, 281.803986, 7.962999, 1.345233, 1.345233, 11.326620, 11.326620, 0.600000
1548184082.936726, 281.803986, 7.962999, 1.464878, 1.464878, 11.964509, 11.964509, 0.500000
1548184082.938200, 281.803986, 7.962999, 1.590744, 1.590744, 12.586649, 12.586649, 0.400000
1548184082.939536, 281.803986, 7.962999, 1.722650, 1.722650, 13.190524, 13.190524, 0.300000
1548184082.941642, 281.803986, 7.962999, 1.860387, 1.860387, 13.773693, 13.773693, 0.200000
1548184082.943168, 281.803986, 7.962999, 2.003725, 2.003725, 14.333797, 14.333797, 0.100000
1548184082.944547, 281.803986, 7.962999, 2.152410, 2.152410, 14.868572, 14.868572, 0.000000
1548184082.945947, 281.803986, 7.962999, 2.306169, 2.306169, 15.375855, 15.375855, 0.000000
1548184082.947330, 281.803986, 7.962999, 2.464705, 2.464705, 15.853592, 15.853592, 0.000000
1548184082.949069, 281.803986, 7.962999, 2.627703, 2.627703, 16.299851, 16.299851, 0.000000
1548184082.954123, 281.803986, 7.962999, 2.794832, 2.794832, 16.712825, 16.712825, 0.000000
1548184082.956278, 281.803986, 7.962999, 2.965740, 2.965740, 17.090843, 17.090843, 0.000000
1548184082.957906, 281.803986, 7.962999, 3.140064, 3.140064, 17.432374, 17.432374, 0.000000
1548184082.961166, 281.803986, 7.962999, 3.317424, 3.317424, 17.736035, 17.736035, 0.000000
1548184082.963208, 281.803986, 7.962999, 3.497430, 3.497430, 18.000596, 18.000596, 0.000000
1548184082.964569, 281.803986, 7.962999, 3.679680, 3.679680, 18.224984, 18.224984, 0.000000
1548184082.966130, 281.803986, 7.962999, 3.863763, 3.863763, 18.408289, 18.408289, 0.000000
1548184082.968067, 281.803986, 7.962999, 4.049260, 4.049260, 18.549769, 18.549769, 0.000000
1548184082.969516, 281.803986, 7.962999, 4.235749, 4.235749, 18.648848, 18.648848, 0.000000
1548184082.971254, 281.803986, 7.962999, 4.422800, 4.422800, 18.705122, 18.705122, 0.000000
1548184082.972703, 281.803986, 7.962999, 4.609984, 4.609984, 18.718363, 18.718363, 0.000000
1548184082.976387, 281.803986, 7.962999, 4.796869, 4.796869, 18.688513, 18.688513, 0.000000
1548184082.979329, 281.803986, 7.962999, 4.983026, 4.983026, 18.615691, 18.615691, 0.000000
1548184082.980928, 281.803986, 7.962999, 5.168028, 5.168028, 18.500188, 18.500188, 0.000000
1548184082.982528, 281.803986, 7.962999, 5.351452, 5.351452, 18.342470, 18.342470, 0.000000
1548184082.985282, 281.866516, 2.345278, 5.532884, 5.532884, 18.143171, 18.143171, 0.000000
1548184082.987398, 281.866516, 2.345278, 5.703549, 5.703549, 17.066523, 17.066523, 0.000000
1548184082.988788, 281.866516, 2.345278, 5.871317, 5.871317, 16.776817, 16.776817, 0.000000
1548184082.990960, 281.866516, 2.345278, 6.035608, 6.035608, 16.429094, 16.429094, 0.000000
