time,phase_from_reg,phase_for_plbck,plbck_pos
1548184083.030793, 0.001390, 0.000000, 0.000000
1548184083.120558, 0.001397, 0.000000, 0.000000
1548184083.323583, 0.726505, 0.000000, 0.000000
1548184083.574416, 1.742009, 0.000000, 0.000000
1548184083.742817, 2.287176, 0.000000, 0.000000
1548184083.967122, 2.857286, 0.000000, 0.000000
1548184084.186782, 4.712389, 0.000000, 0.000000
1548184084.395343, 5.077905, 0.000000, 0.000000
1548184084.576026, 10.995574, 0.000000, 0.000000
1548184084.748961, 13.078080, 0.000000, 0.000000
1548184084.910821, 15.688996, 0.000000, 0.000000
1548184085.103536, 18.455075, 0.000000, 0.000000
1548184085.345886, 20.899482, 0.000000, 0.000000
1548184085.547349, 23.344686, 0.000000, 0.000000
1548184085.716848, 26.088695, 0.000000, 0.000000
1548184085.934069, 28.408373, 0.000000, 0.000000
1548184086.093452, 31.177473, 0.000000, 0.000000
1548184086.324248, 33.572349, 2.394876, 2.394876
1548184086.573497, 36.398015, 5.220541, 5.220541
1548184086.784772, 39.255828, 8.078355, 8.078355
1548184086.964586, 45.553093, 14.375620, 14.375620
1548184087.234205, 45.553093, 14.375620, 14.375620
1548184087.444443, 48.263148, 17.085675, 17.085675
1548184087.660160, 50.868708, 19.691235, 19.691235
1548184087.857587, 58.119464, 26.941991, 26.941991
1548184088.116624, 61.261057, 30.083583, 30.083583
1548184088.257033, 61.261057, 30.083583, 30.083583
1548184088.441685, 61.839577, 30.662104, 30.662104
1548184088.690970, 67.544242, 36.366769, 36.366769
1548184088.798287, 69.115038, 37.937565, 37.937565
1548184088.895001, 69.115038, 37.937565, 37.937565
1548184089.055437, 69.115038, 37.937565, 37.937565
1548184089.205096, 69.115038, 37.937565, 37.937565
1548184089.358803, 70.009595, 38.832122, 38.832122
1548184089.493671, 71.922143, 40.744669, 40.744669
1548184089.685425, 72.945446, 41.767973, 41.767973
1548184089.819560, 73.496716, 42.319243, 42.319243
1548184089.958580, 75.973930, 44.796457, 44.796457
1548184090.114450, 78.997723, 47.820249, 47.820249
1548184090.252322, 81.802854, 50.625381, 50.625381
1548184090.364473, 83.723998, 52.546525, 52.546525
1548184090.445179, 84.977060, 53.799587, 53.799587
1548184090.563029, 87.005360, 55.827887, 55.827887
1548184090.660760, 88.119152, 56.941679, 56.941679
1548184090.791728, 90.066105, 58.888632, 58.888632
1548184090.914664, 91.987683, 60.810210, 60.810210
1548184091.037261, 93.305838, 62.128365, 62.128365
1548184091.155272, 94.603435, 63.425961, 63.425961
1548184091.258223, 95.777623, 64.600149, 64.600149
1548184091.348819, 97.160085, 65.982612, 65.982612
1548184091.532895, 98.323363, 67.145890, 67.145890
1548184091.659629, 99.428154, 68.250681, 68.250681
1548184091.776744, 100.747413, 69.569940, 69.569940
1548184091.890380, 101.864286, 70.686813, 70.686813
1548184092.007268, 102.917382, 71.739909, 71.739909
1548184092.126521, 103.717688, 72.540215, 72.540215
1548184092.260943, 104.745581, 73.568108, 73.568108
1548184092.371232, 105.946254, 74.768781, 74.768781
1548184092.449045, 107.570007, 76.392534, 76.392534
1548184092.567274, 108.685187, 77.507714, 77.507714
1548184092.674425, 109.640076, 78.462603, 78.462603
1548184092.792248, 110.576818, 79.399345, 79.399345
1548184092.955800, 111.276944, 80.099470, 80.099470
1548184093.069795, 112.190503, 81.013030, 81.013030
1548184093.234071, 113.099523, 81.922050, 81.922050
1548184093.371996, 113.981509, 82.804036, 82.804036
1548184093.481942, 115.084309, 83.906836, 83.906836
1548184093.647631, 116.154198, 84.976725, 84.976725
