time, beats
1548184111.316420, 0.002252
1548184111.322366, 0.004503
1548184111.327719, 0.006755
1548184111.333831, 0.009006
1548184111.339351, 0.011258
1548184111.344864, 0.013510
1548184111.350058, 0.015761
1548184111.356877, 0.018013
1548184111.362248, 0.020264
1548184111.367427, 0.022516
1548184111.373336, 0.024767
1548184111.378782, 0.027019
1548184111.384239, 0.029271
1548184111.389811, 0.031522
1548184111.394902, 0.033774
1548184111.400328, 0.036025
1548184111.406060, 0.038277
1548184111.411624, 0.040529
1548184111.417202, 0.042780
1548184111.422946, 0.045032
1548184111.428196, 0.047283
1548184111.433455, 0.049535
1548184111.439458, 0.051787
1548184111.445030, 0.054038
1548184111.451802, 0.056290
1548184111.457305, 0.058541
1548184111.462539, 0.060793
1548184111.467793, 0.063045
1548184111.473626, 0.065296
1548184111.479326, 0.067548
1548184111.485283, 0.069799
1548184111.490608, 0.072051
1548184111.498117, 0.074302
1548184111.503777, 0.076554
1548184111.509179, 0.078806
1548184111.514919, 0.081057
1548184111.520802, 0.083309
1548184111.526339, 0.085560
1548184111.531492, 0.087812
1548184111.536595, 0.090064
1548184111.541733, 0.092315
1548184111.547150, 0.094567
1548184111.552614, 0.096818
1548184111.557809, 0.099070
1548184111.564099, 0.101322
1548184111.569831, 0.103573
1548184111.575392, 0.105825
1548184111.581339, 0.108076
1548184111.587043, 0.110328
1548184111.592964, 0.112579
1548184111.598845, 0.114831
1548184111.604589, 0.117083
1548184111.610050, 0.119334
1548184111.615520, 0.121586
1548184111.621243, 0.123837
1548184111.626406, 0.126089
1548184111.632631, 0.128341
1548184111.638497, 0.130592
1548184111.644256, 0.132844
1548184111.649894, 0.135095
1548184111.657481, 0.137347
1548184111.663554, 0.139599
1548184111.668713, 0.141850
1548184111.673856, 0.144102
1548184111.679954, 0.146353
1548184111.685610, 0.148605
1548184111.690743, 0.150857
1548184111.696300, 0.153108
1548184111.702078, 0.155360
1548184111.707195, 0.157611
1548184111.712916, 0.159863
1548184111.718033, 0.162114
1548184111.724221, 0.164366
1548184111.729426, 0.166618
1548184111.734989, 0.168869
1548184111.740684, 0.171121
1548184111.747292, 0.173372
1548184111.752850, 0.175624
1548184111.758491, 0.177876
1548184111.763628, 0.180127
1548184111.770000, 0.182379
1548184111.775610, 0.184630
1548184111.781330, 0.186882
1548184111.786818, 0.189134
1548184111.792594, 0.191385
1548184111.797786, 0.193637
1548184111.803293, 0.195888
1548184111.808553, 0.198140
1548184111.813799, 0.200391
1548184111.819054, 0.202643
1548184111.824780, 0.204895
1548184111.830598, 0.207146
1548184111.835889, 0.209398
1548184111.841832, 0.211649
1548184111.847122, 0.213901
1548184111.852330, 0.218406
1548184111.857588, 0.222912
1548184111.863022, 0.227417
1548184111.868516, 0.231922
1548184111.873775, 0.236428
1548184111.879008, 0.240933
1548184111.890424, 0.245438
1548184111.896135, 0.249943
1548184111.901452, 0.254449
1548184111.906696, 0.258954
1548184111.911990, 0.263459
1548184111.917739, 0.267965
1548184111.922986, 0.272470
1548184111.928163, 0.276975
1548184111.934441, 0.281481
1548184111.939670, 0.285986
1548184111.944967, 0.290491
1548184111.950615, 0.294997
1548184111.957262, 0.299502
1548184111.962617, 0.304007
1548184111.967818, 0.308513
1548184111.973900, 0.313018
1548184111.979377, 0.317523
1548184111.985502, 0.322028
1548184111.990883, 0.326534
1548184111.996731, 0.331039
1548184112.002477, 0.335544
1548184112.008592, 0.340050
1548184112.013894, 0.344555
1548184112.019867, 0.349060
1548184112.025530, 0.353566
1548184112.031186, 0.358071
1548184112.036632, 0.362576
1548184112.043139, 0.367082
1548184112.048927, 0.371587
1548184112.054589, 0.376092
1548184112.059771, 0.380597
1548184112.065749, 0.385103
1548184112.071081, 0.389608
1548184112.076373, 0.394113
1548184112.082017, 0.398619
1548184112.087389, 0.403124
1548184112.092500, 0.407629
1548184112.097748, 0.412135
1548184112.103475, 0.416640
1548184112.109169, 0.421145
1548184112.114713, 0.425651
1548184112.119924, 0.430156
1548184112.125350, 0.434661
1548184112.130695, 0.439166
1548184112.136536, 0.443672
1548184112.143195, 0.448177
1548184112.148468, 0.452682
1548184112.153637, 0.457188
1548184112.161005, 0.461693
1548184112.166433, 0.466198
1548184112.172021, 0.470704
1548184112.177252, 0.475209
1548184112.183365, 0.479714
1548184112.188801, 0.484220
1548184112.194138, 0.488725
1548184112.199848, 0.493230
1548184112.206030, 0.497736
1548184112.211269, 0.502241
1548184112.227313, 0.506746
1548184112.233707, 0.511251
1548184112.239186, 0.515757
1548184112.244870, 0.520262
1548184112.250485, 0.524767
1548184112.255850, 0.529273
1548184112.261239, 0.533778
1548184112.266754, 0.538283
1548184112.272127, 0.542789
1548184112.279557, 0.547294
1548184112.284894, 0.551799
1548184112.290087, 0.556305
1548184112.295338, 0.560810
1548184112.300617, 0.568005
1548184112.305843, 0.575201
1548184112.311200, 0.582396
1548184112.316324, 0.589591
1548184112.322133, 0.596787
1548184112.327771, 0.603982
1548184112.333635, 0.611177
1548184112.339405, 0.618373
1548184112.345205, 0.625568
1548184112.350931, 0.632763
1548184112.356512, 0.639959
1548184112.361850, 0.647154
1548184112.367331, 0.654349
1548184112.372907, 0.661545
1548184112.378722, 0.668740
1548184112.383842, 0.675935
1548184112.389359, 0.683131
1548184112.395781, 0.690326
1548184112.401265, 0.697521
1548184112.406649, 0.704717
1548184112.412017, 0.711912
1548184112.417747, 0.719107
1548184112.423439, 0.726303
