time,beats,midi_note,midi_vel
1548184135.669285, 0.006889, 46.000000, 102.000000
1548184135.670404, 0.006889, 75.000000, 102.000000
1548184135.841146, 0.252508, 75.000000, 104.000000
1548184135.841367, 0.252508, 73.000000, 104.000000
1548184135.989873, 0.482005, 46.000000, 112.000000
1548184136.000949, 0.500365, 73.000000, 112.000000
1548184136.001188, 0.500365, 54.000000, 112.000000
1548184136.001482, 0.500365, 61.000000, 112.000000
1548184136.001693, 0.500365, 66.000000, 112.000000
1548184136.002155, 0.500365, 78.000000, 112.000000
1548184136.329860, 0.975303, 54.000000, 127.000000
1548184136.330106, 0.975303, 61.000000, 127.000000
1548184136.330317, 0.975303, 66.000000, 127.000000
1548184136.330522, 0.975303, 78.000000, 127.000000
1548184136.353069, 1.004292, 45.000000, 127.000000
1548184136.353233, 1.004292, 75.000000, 127.000000
1548184136.549820, 1.250698, 75.000000, 127.000000
1548184136.549984, 1.250698, 73.000000, 127.000000
1548184136.730916, 1.475230, 45.000000, 127.000000
1548184136.747366, 1.496949, 73.000000, 127.000000
1548184136.752616, 1.504189, 52.000000, 127.000000
1548184136.752789, 1.504189, 57.000000, 127.000000
1548184136.752948, 1.504189, 61.000000, 127.000000
1548184136.753329, 1.504189, 67.000000, 127.000000
1548184136.753480, 1.504189, 79.000000, 127.000000
1548184137.105580, 1.982479, 52.000000, 127.000000
1548184137.105802, 1.982479, 57.000000, 127.000000
1548184137.105947, 1.982479, 61.000000, 127.000000
1548184137.106145, 1.982479, 67.000000, 127.000000
1548184137.106318, 1.982479, 79.000000, 127.000000
1548184137.121189, 2.008611, 75.000000, 127.000000
1548184137.278479, 2.252514, 75.000000, 122.000000
1548184137.278777, 2.252514, 73.000000, 122.000000
1548184137.434587, 2.496416, 73.000000, 122.000000
1548184137.439827, 2.505127, 85.000000, 122.000000
1548184137.591891, 2.740319, 85.000000, 115.000000
1548184137.858349, 3.001352, 44.000000, 82.000000
1548184137.858571, 3.001352, 68.000000, 82.000000
1548184138.118798, 3.246693, 68.000000, 82.000000
1548184138.124153, 3.251913, 69.000000, 82.000000
1548184138.361283, 3.476373, 44.000000, 82.000000
1548184138.382584, 3.497253, 69.000000, 82.000000
1548184138.388143, 3.502473, 56.000000, 82.000000
1548184138.388314, 3.502473, 61.000000, 82.000000
1548184138.388433, 3.502473, 64.000000, 82.000000
1548184138.388571, 3.502473, 68.000000, 82.000000
1548184138.447337, 3.559894, 68.000000, 82.000000
1548184138.452918, 3.565114, 69.000000, 82.000000
1548184138.512941, 3.622534, 69.000000, 82.000000
1548184138.518504, 3.627754, 68.000000, 82.000000
1548184138.645670, 3.747814, 68.000000, 82.000000
1548184138.651119, 3.753034, 67.000000, 82.000000
1548184138.886170, 3.977495, 56.000000, 36.000000
1548184138.886349, 3.977495, 61.000000, 36.000000
1548184138.886535, 3.977495, 64.000000, 36.000000
1548184138.907274, 3.998375, 67.000000, 36.000000
1548184138.912698, 4.003595, 54.000000, 36.000000
1548184138.912890, 4.003595, 56.000000, 36.000000
1548184138.913067, 4.003595, 60.000000, 36.000000
1548184138.913191, 4.003595, 68.000000, 36.000000
1548184139.373546, 4.245620, 68.000000, 72.000000
1548184139.385207, 4.250175, 76.000000, 72.000000
1548184139.934128, 4.475689, 54.000000, 72.000000
1548184139.934659, 4.475689, 56.000000, 72.000000
1548184139.935005, 4.475689, 60.000000, 72.000000
1548184139.984449, 4.496191, 76.000000, 72.000000
1548184139.996207, 4.500746, 37.000000, 72.000000
1548184139.996516, 4.500746, 73.000000, 72.000000
1548184140.469775, 4.745317, 73.000000, 52.000000
1548184140.481299, 4.751308, 61.000000, 52.000000
1548184140.898168, 4.977889, 37.000000, 55.000000
1548184140.925758, 4.997666, 61.000000, 55.000000
1548184140.930824, 5.001621, 56.000000, 55.000000
1548184140.931126, 5.001621, 64.000000, 55.000000
1548184140.931396, 5.001621, 73.000000, 55.000000
1548184141.581229, 5.476195, 56.000000, 58.000000
1548184141.581483, 5.476195, 64.000000, 58.000000
1548184141.609952, 5.500872, 56.000000, 58.000000
1548184141.610214, 5.500872, 64.000000, 58.000000
1548184142.112584, 5.949992, 73.000000, 56.000000
1548184142.140831, 5.974669, 56.000000, 56.000000
1548184142.141449, 5.974669, 64.000000, 56.000000
