time, beats
1548184161.115084, 0.003734
1548184161.125110, 0.007468
1548184161.131932, 0.011201
1548184161.140365, 0.014935
1548184161.146153, 0.018669
1548184161.153042, 0.022403
1548184161.159517, 0.026137
1548184161.170676, 0.029870
1548184161.177423, 0.033604
1548184161.185572, 0.037338
1548184161.192708, 0.041072
1548184161.198301, 0.044806
1548184161.204492, 0.048540
1548184161.213211, 0.052273
1548184161.218447, 0.056007
1548184161.224125, 0.059741
1548184161.233518, 0.063475
1548184161.239315, 0.067209
1548184161.245010, 0.070942
1548184161.250734, 0.074676
1548184161.261527, 0.078410
1548184161.267112, 0.082144
1548184161.273091, 0.085878
1548184161.279853, 0.089611
1548184161.285902, 0.093345
1548184161.291238, 0.097079
1548184161.305663, 0.100813
1548184161.313269, 0.104547
1548184161.318826, 0.108281
1548184161.326465, 0.112014
1548184161.334165, 0.115748
1548184161.340008, 0.119482
1548184161.348537, 0.123216
1548184161.358747, 0.126950
1548184161.365601, 0.130683
1548184161.372039, 0.134417
1548184161.378512, 0.138151
1548184161.384215, 0.141885
1548184161.392872, 0.145619
1548184161.400818, 0.149352
1548184161.406451, 0.153086
1548184161.415691, 0.156820
1548184161.423639, 0.160554
1548184161.429895, 0.164288
1548184161.437171, 0.168022
1548184161.447155, 0.171755
1548184161.452636, 0.175489
1548184161.459930, 0.179223
1548184161.467563, 0.182957
1548184161.473701, 0.186691
1548184161.478978, 0.190424
1548184161.489339, 0.194158
1548184161.495037, 0.197892
1548184161.500328, 0.201626
1548184161.509340, 0.205360
1548184161.515876, 0.209093
1548184161.521590, 0.212827
1548184161.526719, 0.216561
1548184161.531873, 0.220295
1548184161.537795, 0.224029
1548184161.543411, 0.227763
1548184161.549430, 0.231496
1548184161.556874, 0.235230
1548184161.562823, 0.238964
1548184161.568333, 0.242698
1548184161.574775, 0.246432
1548184161.580567, 0.250165
1548184161.588310, 0.253899
1548184161.595122, 0.256456
1548184161.606821, 0.259013
1548184161.615589, 0.261570
1548184161.622458, 0.264127
1548184161.630472, 0.266684
1548184161.638369, 0.269241
1548184161.646827, 0.271798
1548184161.654055, 0.274354
1548184161.659999, 0.276911
1548184161.668781, 0.279468
1548184161.676914, 0.282025
1548184161.683016, 0.284582
1548184161.689048, 0.287139
1548184161.694244, 0.289696
1548184161.699880, 0.292253
1548184161.705727, 0.294810
1548184161.718747, 0.297367
1548184161.724974, 0.299923
1548184161.730622, 0.302480
1548184161.739705, 0.305037
1548184161.745795, 0.307594
1548184161.751554, 0.310151
1548184161.757757, 0.312708
1548184161.763821, 0.315265
1548184161.769419, 0.317822
1548184161.774705, 0.320379
1548184161.785534, 0.322936
1548184161.792416, 0.325493
1548184161.797937, 0.328049
1548184161.808729, 0.330606
1548184161.818764, 0.333163
1548184161.830895, 0.335720
1548184161.836952, 0.338277
1548184161.842303, 0.340834
1548184161.851311, 0.343391
1548184161.862463, 0.345948
1548184161.868447, 0.348505
1548184161.877298, 0.351062
1548184161.883672, 0.353618
1548184161.888913, 0.356175
1548184161.900073, 0.358732
1548184161.906808, 0.361289
1548184161.912300, 0.363846
1548184161.921324, 0.366403
1548184161.928920, 0.368960
1548184161.935220, 0.371517
1548184161.942054, 0.374074
1548184161.950119, 0.376631
1548184161.955801, 0.379187
1548184161.962101, 0.381744
1548184161.972531, 0.384301
1548184161.978729, 0.386858
1548184161.984700, 0.389415
1548184161.990382, 0.391972
1548184161.996592, 0.394529
1548184162.002254, 0.397086
1548184162.007763, 0.399643
1548184162.016156, 0.402200
1548184162.022235, 0.404757
1548184162.027965, 0.407313
1548184162.034326, 0.409870
1548184162.039854, 0.412427
1548184162.045319, 0.414984
1548184162.051189, 0.417541
1548184162.059284, 0.420098
1548184162.065990, 0.422655
1548184162.071590, 0.425212
1548184162.077549, 0.427769
1548184162.083264, 0.430326
1548184162.089001, 0.432882
1548184162.094679, 0.435439
1548184162.100339, 0.437996
1548184162.105774, 0.440553
1548184162.111433, 0.443110
1548184162.117149, 0.445667
1548184162.122888, 0.448224
1548184162.131382, 0.450781
1548184162.137115, 0.453338
1548184162.142659, 0.455895
1548184162.147974, 0.458451
1548184162.153668, 0.464628
1548184162.158925, 0.470805
1548184162.164205, 0.476982
1548184162.170062, 0.483159
1548184162.176142, 0.489336
1548184162.182786, 0.495513
1548184162.188098, 0.501689
1548184162.194394, 0.507866
1548184162.200088, 0.514043
1548184162.206723, 0.520220
1548184162.214743, 0.526397
1548184162.221857, 0.532574
1548184162.230443, 0.538750
1548184162.236195, 0.544927
1548184162.243559, 0.551104
1548184162.250308, 0.557281
1548184162.255522, 0.563458
1548184162.261297, 0.569635
1548184162.268923, 0.575811
1548184162.274573, 0.581988
1548184162.280318, 0.588165
1548184162.286750, 0.594342
1548184162.292134, 0.600519
1548184162.298104, 0.606696
1548184162.303712, 0.612872
1548184162.308938, 0.619049
1548184162.314628, 0.625226
1548184162.320119, 0.631403
1548184162.327536, 0.637580
1548184162.332769, 0.643757
1548184162.340584, 0.649933
1548184162.346145, 0.656110
1548184162.351789, 0.662287
1548184162.356920, 0.668464
1548184162.362091, 0.674641
1548184162.367820, 0.680818
1548184162.373280, 0.686994
1548184162.378451, 0.693171
1548184162.384644, 0.699348
1548184162.391312, 0.705525
1548184162.397130, 0.711702
1548184162.402424, 0.717879
1548184162.408979, 0.724056
1548184162.416141, 0.730232
1548184162.421823, 0.736409
1548184162.428592, 0.742586
1548184162.435322, 0.748763
1548184162.441575, 0.754940
1548184162.447165, 0.761117
1548184162.453221, 0.767293
1548184162.458723, 0.773470
1548184162.463900, 0.779647
1548184162.469009, 0.785824
1548184162.474643, 0.792001
1548184162.480184, 0.798178
1548184162.486507, 0.804354
1548184162.491767, 0.810531
1548184162.497501, 0.816708
1548184162.503058, 0.822885
1548184162.508414, 0.829062
1548184162.513748, 0.835239
1548184162.518925, 0.841415
1548184162.524682, 0.847592
1548184162.529910, 0.853769
1548184162.535683, 0.859946
1548184162.540827, 0.866123
1548184162.546053, 0.872300
1548184162.551778, 0.878476
1548184162.557607, 0.884653
1548184162.562988, 0.890830
1548184162.569390, 0.897007
1548184162.574627, 0.903184
1548184162.580399, 0.909361
1548184162.585909, 0.915537
1548184162.593808, 0.921714
1548184162.599906, 0.927891
1548184162.605377, 0.934068
1548184162.611622, 0.940245
1548184162.618070, 0.946422
1548184162.623644, 0.952598
1548184162.628986, 0.958775
1548184162.634755, 0.965990
1548184162.640711, 0.973204
1548184162.646242, 0.980418
1548184162.651852, 0.987632
1548184162.657600, 0.994846
1548184162.663429, 1.002060
1548184162.671331, 1.009275
1548184162.680871, 1.016489
1548184162.686844, 1.023703
1548184162.692061, 1.030917
1548184162.697246, 1.038131
1548184162.707493, 1.045346
1548184162.714539, 1.052560
1548184162.720504, 1.059774
1548184162.731821, 1.066988
1548184162.737406, 1.074202
1548184162.743332, 1.081416
1548184162.750297, 1.088631
1548184162.755696, 1.095845
1548184162.761778, 1.103059
1548184162.767163, 1.110273
1548184162.776060, 1.117487
1548184162.781434, 1.124702
1548184162.787066, 1.131916
1548184162.792436, 1.139130
1548184162.798338, 1.146344
1548184162.805894, 1.153558
1548184162.811670, 1.160772
1548184162.818177, 1.167987
1548184162.824988, 1.175201
1548184162.830153, 1.182415
1548184162.836977, 1.189629
1548184162.843196, 1.196843
1548184162.848905, 1.204058
1548184162.854209, 1.211272
1548184162.860274, 1.218486
1548184162.866071, 1.225700
1548184162.873109, 1.232914
