time,est_amp,est_freq,est_phase
1548016998.789866, 28.490480, 0.043832, 0.001770
1548016998.902484, 95.479983, 0.044812, 0.957495
1548016999.107118, 158.903123, 0.044961, 3.049528
1548016999.252481, 260.133748, 0.031771, 3.141593
1548016999.349743, 305.562990, 0.025872, 5.691137
1548016999.524418, 319.916861, 0.026121, 6.930051
1548016999.576899, 420.477691, 0.024362, 8.593984
1548016999.603575, 475.286533, 0.027242, 9.317067
1548016999.841977, 454.302519, 0.028419, 10.640485
1548016999.939485, 490.564355, 0.029744, 11.910335
1548017000.125294, 528.370174, 0.033644, 12.597841
1548017000.217316, 534.851350, 0.035382, 13.837137
1548017000.370134, 543.735301, 0.034653, 15.620767
1548017000.456379, 538.986315, 0.034201, 17.421271
1548017000.532736, 540.735777, 0.028035, 20.113018
1548017000.643975, 526.105688, 0.024780, 21.911110
1548017000.787475, 647.728520, 0.023025, 23.686602
1548017000.910936, 582.941729, 0.023238, 24.904937
1548017000.988611, 562.837381, 0.022366, 26.275672
1548017001.072033, 550.924924, 0.022327, 27.373153
1548017001.275147, 579.216930, 0.023850, 28.185018
1548017001.352565, 611.752854, 0.025234, 29.110649
1548017001.537636, 580.765351, 0.026120, 30.285766
1548017001.635454, 551.447038, 0.024886, 31.888425
1548017001.792795, 480.392647, 0.025937, 32.875529
1548017001.922619, 510.871163, 0.025950, 34.077990
1548017002.044899, 539.842273, 0.027168, 35.192604
1548017002.199560, 557.484154, 0.026692, 36.630688
1548017002.301313, 529.714890, 0.025766, 38.180728
1548017002.380971, 499.807678, 0.025328, 39.538892
1548017002.477704, 496.449582, 0.022904, 41.055957
1548017002.655459, 564.736628, 0.022319, 42.381390
1548017002.734071, 659.833864, 0.022326, 43.499775
1548017002.883241, 668.789985, 0.020833, 45.065287
1548017002.960397, 663.548808, 0.020808, 46.069100
1548017003.069218, 636.089941, 0.021152, 47.016634
1548017003.248686, 656.194870, 0.021508, 47.949455
1548017003.320779, 756.153222, 0.022585, 48.947647
1548017003.494297, 737.409182, 0.023153, 50.041743
1548017003.571346, 703.180567, 0.023705, 51.097489
1548017003.660945, 581.727564, 0.024632, 52.065312
1548017003.767921, 612.244102, 0.023561, 53.323637
1548017003.866521, 620.180274, 0.020324, 54.973395
1548017004.009821, 689.571684, 0.020954, 55.924257
1548017004.086712, 644.154565, 0.018953, 57.516614
1548017004.253085, 586.733731, 0.020771, 58.237115
1548017004.336260, 561.220983, 0.020994, 59.207132
1548017004.510363, 602.340844, 0.023814, 59.674122
1548017004.586791, 669.133673, 0.025803, 60.504956
1548017004.678103, 750.460355, 0.025006, 61.899852
1548017004.783136, 738.598998, 0.023810, 63.419279
1548017004.912618, 691.404672, 0.023638, 64.620801
1548017005.021367, 727.070159, 0.023356, 65.798171
1548017005.098480, 763.812486, 0.022834, 67.133704
1548017005.292200, 760.905583, 0.023560, 68.186487
1548017005.405295, 761.827320, 0.025628, 69.186175
1548017005.528169, 701.437192, 0.027892, 69.964689
1548017005.604272, 701.537551, 0.029533, 71.094472
1548017005.773454, 774.062909, 0.031727, 72.088253
