time,palm_pos,palm_vel,span
1548016998.684469, 0.000000, 0.000000, 0.000000
1548016998.699238, 0.000000, 0.000000, 0.000000
1548016998.704427, 0.000000, 0.000000, 0.000000
1548016998.710206, 0.000000, 0.000000, 0.000000
1548016998.715332, 0.000000, 0.000000, 0.000000
1548016998.721512, 144.982880, -476.041779, 107.916512
1548016998.727243, 144.982880, -476.041779, 107.916512
1548016998.733179, 139.664139, -496.976074, 109.373983
1548016998.738562, 132.620544, -496.210388, 111.745573
1548016998.744137, 128.817200, -508.590454, 112.770077
1548016998.749976, 128.817200, -508.590454, 112.770077
1548016998.755713, 128.817200, -508.590454, 112.770077
1548016998.761821, 128.817200, -508.590454, 112.770077
1548016998.767431, 122.797775, -517.490112, 114.491784
1548016998.772759, 117.809555, -495.077026, 116.137438
1548016998.778159, 117.809555, -495.077026, 116.137438
1548016998.783816, 113.875969, -438.887115, 117.992875
1548016998.789411, 113.875969, -438.887115, 117.992875
1548016998.794878, 110.119797, -290.203552, 120.983144
1548016998.800743, 110.119797, -290.203552, 120.983144
1548016998.806760, 109.418541, -215.396912, 122.073251
1548016998.812865, 109.418541, -215.396912, 122.073251
1548016998.818641, 109.418541, -215.396912, 122.073251
1548016998.829163, 109.184799, -150.268158, 123.048348
1548016998.835256, 109.184799, -150.268158, 123.048348
1548016998.840578, 109.184799, -150.268158, 123.048348
1548016998.846187, 110.449081, -35.999336, 123.979324
1548016998.859702, 116.403175, 140.970276, 124.737242
1548016998.871833, 121.068428, 232.556747, 125.058727
1548016998.882539, 126.216621, 307.202881, 125.230361
1548016998.894188, 131.633194, 365.532867, 125.294619
1548016998.902750, 131.633194, 365.532867, 125.294619
1548016998.908618, 131.633194, 365.532867, 125.294619
1548016998.914386, 131.633194, 365.532867, 125.294619
1548016998.924901, 131.633194, 365.532867, 125.294619
1548016998.938081, 155.367401, 604.061035, 125.482970
1548016998.948083, 166.266144, 544.194580, 124.463049
1548016998.963729, 172.589172, 551.061218, 123.717227
1548016998.971714, 178.639145, 547.815796, 122.599445
1548016998.977385, 178.639145, 547.815796, 122.599445
1548016998.982776, 184.322906, 532.581421, 121.178725
1548016998.989356, 184.322906, 532.581421, 121.178725
1548016998.994768, 189.773315, 519.243591, 119.653466
1548016999.000502, 189.773315, 519.243591, 119.653466
1548016999.006069, 194.988434, 501.933746, 118.031582
1548016999.012302, 194.988434, 501.933746, 118.031582
1548016999.018127, 199.131363, 456.492310, 116.131119
1548016999.023926, 199.131363, 456.492310, 116.131119
1548016999.029545, 203.152222, 426.571228, 114.659444
1548016999.035028, 203.152222, 426.571228, 114.659444
1548016999.040554, 206.849579, 394.543274, 112.947482
1548016999.046436, 206.849579, 394.543274, 112.947482
1548016999.052225, 210.196838, 363.210541, 111.781417
1548016999.057855, 210.196838, 363.210541, 111.781417
1548016999.063210, 213.102158, 329.225952, 110.633294
1548016999.068767, 213.102158, 329.225952, 110.633294
1548016999.074119, 215.896133, 303.077454, 109.705171
1548016999.079727, 215.896133, 303.077454, 109.705171
1548016999.085815, 218.353958, 275.341888, 108.920535
1548016999.091459, 218.353958, 275.341888, 108.920535
1548016999.096963, 220.272980, 241.196823, 108.360983
1548016999.103746, 220.272980, 241.196823, 108.360983
1548016999.109119, 221.554688, 199.688461, 107.821369
1548016999.118656, 222.788605, 170.321045, 107.539711
1548016999.129694, 223.650482, 139.648773, 107.032169
1548016999.135725, 223.650482, 139.648773, 107.032169
1548016999.141275, 223.962555, 102.803291, 106.590368
1548016999.147817, 223.962555, 102.803291, 106.590368
1548016999.159194, 224.385147, 81.112556, 106.064295
1548016999.171299, 224.537781, 39.548367, 104.878826
1548016999.187357, 224.537781, 39.548367, 104.878826
1548016999.206945, 223.741394, -3.598609, 103.907685
1548016999.228325, 220.215164, -92.403740, 103.112066
1548016999.234504, 217.543549, -140.758652, 102.807414
1548016999.239840, 214.392181, -186.698761, 102.613948
1548016999.245660, 214.392181, -186.698761, 102.613948
1548016999.251364, 210.977859, -226.328857, 102.436167
1548016999.257992, 210.977859, -226.328857, 102.436167
1548016999.263936, 206.938110, -263.204437, 102.241790
1548016999.270000, 206.938110, -263.204437, 102.241790
1548016999.278055, 202.952194, -302.246918, 102.112525
1548016999.283639, 202.952194, -302.246918, 102.112525
1548016999.295289, 198.097504, -337.170105, 101.887177
1548016999.300927, 198.097504, -337.170105, 101.887177
1548016999.306747, 193.353638, -375.141327, 101.901740
1548016999.312725, 188.500092, -394.981903, 102.420905
1548016999.318095, 188.500092, -394.981903, 102.420905
1548016999.323418, 182.891785, -429.616516, 103.085329
1548016999.328717, 182.891785, -429.616516, 103.085329
1548016999.335570, 177.132935, -450.882324, 103.720718
1548016999.341404, 177.132935, -450.882324, 103.720718
1548016999.347372, 171.711823, -468.314362, 104.365184
1548016999.352969, 171.711823, -468.314362, 104.365184
1548016999.364124, 166.326660, -472.819885, 105.585845
1548016999.369870, 161.055435, -465.857910, 107.132964
1548016999.375312, 161.055435, -465.857910, 107.132964
1548016999.393033, 151.697296, -415.214691, 110.926187
1548016999.400584, 148.959854, -379.940857, 112.350855
1548016999.406304, 148.959854, -379.940857, 112.350855
1548016999.419113, 146.129120, -238.027328, 115.493500
1548016999.433097, 145.969482, -164.424896, 116.581400
1548016999.448322, 146.216599, -103.027779, 117.344164
1548016999.458768, 148.030579, -15.790507, 117.828740
1548016999.475236, 156.932571, 215.604599, 118.325263
1548016999.481748, 156.932571, 215.604599, 118.325263
1548016999.487629, 156.932571, 215.604599, 118.325263
1548016999.493576, 162.174377, 298.746857, 118.392026
1548016999.499196, 167.954224, 370.513245, 118.419707
1548016999.506041, 167.954224, 370.513245, 118.419707
1548016999.511556, 173.815796, 420.425934, 118.400932
1548016999.517114, 173.815796, 420.425934, 118.400932
1548016999.523108, 179.829041, 458.822449, 118.202731
1548016999.528758, 179.829041, 458.822449, 118.202731
1548016999.534703, 185.562866, 477.381134, 117.468491
1548016999.540162, 185.562866, 477.381134, 117.468491
1548016999.545590, 191.046219, 474.101166, 116.456100
1548016999.551118, 191.046219, 474.101166, 116.456100
1548016999.556920, 195.881165, 466.948639, 114.658542
1548016999.562724, 195.881165, 466.948639, 114.658542
1548016999.568837, 200.207321, 435.162994, 112.491452
1548016999.574653, 204.171707, 413.670685, 111.181479
1548016999.580134, 204.171707, 413.670685, 111.181479
1548016999.586269, 207.812378, 384.441742, 109.936811
1548016999.592186, 207.812378, 384.441742, 109.936811
1548016999.597723, 207.812378, 384.441742, 109.936811
1548016999.614886, 213.145767, 300.982269, 107.977801
1548016999.629676, 216.683441, 221.490356, 106.593415
1548016999.640982, 217.623276, 174.253098, 105.924699
1548016999.661279, 218.103210, 132.507141, 105.185089
1548016999.672512, 218.360931, 95.806328, 104.735090
