time, beats
1548016889.342803, 0.004172
1548016889.348660, 0.008345
1548016889.353960, 0.012517
1548016889.359262, 0.016690
1548016889.364440, 0.020862
1548016889.370219, 0.025035
1548016889.376307, 0.029207
1548016889.382716, 0.033380
1548016889.388496, 0.037552
1548016889.394011, 0.041725
1548016889.399490, 0.045897
1548016889.405014, 0.050070
1548016889.410758, 0.054242
1548016889.416441, 0.058414
1548016889.422150, 0.062587
1548016889.427576, 0.066759
1548016889.433275, 0.070932
1548016889.438444, 0.075104
1548016889.443841, 0.079277
1548016889.449493, 0.083449
1548016889.456926, 0.087622
1548016889.462624, 0.091794
1548016889.468713, 0.095967
1548016889.474195, 0.100139
1548016889.479987, 0.104312
1548016889.485174, 0.108484
1548016889.491290, 0.112656
1548016889.498271, 0.116829
1548016889.503616, 0.121001
1548016889.509813, 0.125174
1548016889.515623, 0.129346
1548016889.521589, 0.133519
1548016889.526878, 0.137691
1548016889.532993, 0.141864
1548016889.540030, 0.146036
1548016889.545894, 0.150209
1548016889.551838, 0.154381
1548016889.557647, 0.158554
1548016889.564493, 0.162726
1548016889.570126, 0.166898
1548016889.578166, 0.171071
1548016889.585138, 0.175243
1548016889.590907, 0.179416
1548016889.596569, 0.183588
1548016889.602273, 0.187761
1548016889.607976, 0.191933
1548016889.613899, 0.196106
1548016889.621257, 0.200278
1548016889.626505, 0.204451
1548016889.632201, 0.208623
1548016889.638457, 0.212796
1548016889.644150, 0.216968
1548016889.649317, 0.221140
1548016889.655124, 0.225313
1548016889.661657, 0.229485
1548016889.667837, 0.233658
1548016889.673498, 0.237830
1548016889.679575, 0.242003
1548016889.685562, 0.246175
1548016889.691033, 0.250348
1548016889.697270, 0.254520
1548016889.703190, 0.258693
1548016889.710447, 0.262865
1548016889.716558, 0.267038
1548016889.722511, 0.271210
1548016889.728601, 0.275382
1548016889.734361, 0.279555
1548016889.740401, 0.283727
1548016889.746854, 0.287900
1548016889.752868, 0.292072
1548016889.760242, 0.296245
1548016889.765826, 0.300417
1548016889.771539, 0.304590
