time, phase
1548016998.994505, 0
1548016999.080758, 1
1548016999.307572, 2
1548016999.494789, 3
1548016999.567485, 0
1548016999.769540, 1
1548016999.888720, 2
1548016999.991619, 3
1548017000.144829, 0
1548017000.220336, 1
1548017000.402969, 2
1548017000.587773, 3
1548017000.765224, 0
1548017000.884670, 1
1548017000.998301, 2
1548017001.260417, 3
1548017001.333384, 0
1548017001.511342, 1
1548017001.613468, 2
1548017001.831362, 3
1548017002.008584, 0
1548017002.079554, 1
1548017002.288943, 2
1548017002.522101, 3
1548017002.659969, 0
1548017002.794751, 1
1548017002.945905, 2
1548017003.240416, 3
1548017003.299099, 0
1548017003.456007, 1
1548017003.567445, 2
1548017003.820268, 3
1548017003.989543, 0
1548017004.056547, 1
1548017004.265410, 2
1548017004.493142, 3
1548017004.560993, 0
1548017004.657070, 1
1548017004.813963, 2
1548017005.028441, 3
1548017005.145862, 0
1548017005.270032, 1
1548017005.385876, 2
1548017005.531515, 3
1548017005.616433, 0
1548017005.768508, 1
1548017005.840855, 2
1548017006.006994, 3
1548017006.119000, 0
1548017006.211049, 1
1548017006.410076, 2
1548017006.601832, 3
1548017006.660186, 0
1548017006.747391, 1
1548017006.869744, 2
1548017007.162671, 3
1548017007.364949, 0
1548017007.459980, 1
1548017007.668864, 2
1548017007.807478, 3
1548017008.041338, 0
1548017008.134376, 1
1548017008.340355, 2
1548017008.746081, 3
1548017008.859392, 0
1548017009.018268, 1
1548017009.196042, 2
1548017009.497224, 3
1548017009.663719, 0
1548017009.849384, 1
1548017009.975392, 2
1548017010.193732, 3
1548017010.429575, 0
1548017010.624322, 1
1548017010.743259, 2
1548017011.115379, 3
