time,beats,midi_note,midi_vel
1548016999.188442, 0.039356, 41.000000, 60.000000
1548016999.191364, 0.039356, 65.000000, 60.000000
1548017003.370756, 0.137261, 65.000000, 67.000000
1548017003.537749, 0.257551, 41.000000, 101.000000
1548017003.646185, 0.382851, 65.000000, 101.000000
1548017003.915520, 0.498918, 65.000000, 65.000000
1548017003.927295, 0.516870, 53.000000, 65.000000
1548017003.927561, 0.516870, 60.000000, 65.000000
1548017003.927678, 0.516870, 63.000000, 65.000000
1548017003.927768, 0.516870, 67.000000, 65.000000
1548017004.564560, 1.011085, 53.000000, 58.000000
1548017004.565041, 1.011085, 60.000000, 58.000000
1548017004.565180, 1.011085, 63.000000, 58.000000
1548017004.565708, 1.011085, 67.000000, 58.000000
1548017004.565825, 1.011085, 53.000000, 58.000000
1548017004.565995, 1.011085, 60.000000, 58.000000
1548017004.566146, 1.011085, 63.000000, 58.000000
1548017004.566247, 1.011085, 69.000000, 58.000000
1548017005.100282, 1.503611, 53.000000, 76.000000
1548017005.100485, 1.503611, 60.000000, 76.000000
1548017005.100660, 1.503611, 63.000000, 76.000000
1548017005.100803, 1.503611, 69.000000, 76.000000
1548017005.100940, 1.503611, 46.000000, 76.000000
1548017005.101168, 1.503611, 70.000000, 76.000000
1548017005.337689, 1.747549, 46.000000, 77.000000
1548017005.337885, 1.747549, 70.000000, 77.000000
1548017005.450838, 1.878942, 72.000000, 77.000000
1548017005.604610, 2.001358, 72.000000, 80.000000
1548017005.604837, 2.001358, 53.000000, 80.000000
1548017005.604973, 2.001358, 58.000000, 80.000000
1548017005.605154, 2.001358, 62.000000, 80.000000
1548017005.605332, 2.001358, 74.000000, 80.000000
1548017006.054876, 2.506876, 53.000000, 109.000000
1548017006.056878, 2.506876, 58.000000, 109.000000
1548017006.059910, 2.506876, 62.000000, 109.000000
1548017006.060160, 2.506876, 74.000000, 109.000000
1548017006.063681, 2.506876, 46.000000, 109.000000
1548017006.064590, 2.506876, 75.000000, 109.000000
1548017006.268695, 2.745042, 46.000000, 127.000000
1548017006.268936, 2.745042, 75.000000, 127.000000
1548017006.297521, 2.766136, 77.000000, 127.000000
1548017006.672454, 3.001773, 77.000000, 127.000000
1548017006.672614, 3.001773, 39.000000, 127.000000
1548017006.672733, 3.001773, 51.000000, 127.000000
1548017006.672835, 3.001773, 79.000000, 127.000000
1548017006.801539, 3.249727, 79.000000, 127.000000
1548017006.913669, 3.377302, 81.000000, 127.000000
1548017007.227986, 3.506156, 39.000000, 89.000000
1548017007.228148, 3.506156, 51.000000, 89.000000
1548017007.228292, 3.506156, 81.000000, 89.000000
1548017007.228665, 3.506156, 55.000000, 89.000000
1548017007.228813, 3.506156, 82.000000, 89.000000
1548017007.390971, 3.558144, 82.000000, 89.000000
1548017007.403669, 3.574760, 84.000000, 89.000000
1548017007.403932, 3.574760, 58.000000, 89.000000
1548017007.432920, 3.624607, 84.000000, 89.000000
1548017007.442117, 3.641223, 82.000000, 89.000000
1548017007.442299, 3.641223, 63.000000, 89.000000
1548017007.529897, 3.688384, 82.000000, 97.000000
1548017007.530080, 3.688384, 84.000000, 97.000000
1548017007.552330, 3.704104, 67.000000, 97.000000
1548017007.598567, 3.751265, 84.000000, 97.000000
1548017007.598751, 3.751265, 82.000000, 97.000000
1548017007.715978, 3.821701, 82.000000, 97.000000
1548017007.716157, 3.821701, 84.000000, 97.000000
1548017007.751531, 3.892609, 84.000000, 97.000000
1548017007.751809, 3.892609, 82.000000, 97.000000
1548017007.843064, 3.950561, 82.000000, 61.000000
1548017007.843502, 3.950561, 84.000000, 61.000000
1548017007.910304, 4.008514, 58.000000, 61.000000
1548017007.910474, 4.008514, 63.000000, 61.000000
1548017007.910582, 4.008514, 55.000000, 61.000000
1548017007.910695, 4.008514, 67.000000, 61.000000
1548017007.910786, 4.008514, 84.000000, 61.000000
1548017007.910885, 4.008514, 81.000000, 61.000000
1548017008.225232, 4.245494, 81.000000, 74.000000
1548017008.235004, 4.262872, 79.000000, 74.000000
1548017008.869547, 4.499276, 79.000000, 42.000000
1548017008.879521, 4.512219, 46.000000, 42.000000
1548017008.879672, 4.512219, 77.000000, 42.000000
1548017008.972344, 4.568381, 77.000000, 42.000000
1548017008.972572, 4.568381, 82.000000, 42.000000
1548017009.050970, 4.654819, 82.000000, 73.000000
1548017009.137942, 4.746199, 46.000000, 73.000000
1548017009.268644, 4.875856, 82.000000, 73.000000
1548017009.573747, 4.996121, 82.000000, 37.000000
1548017009.585134, 5.012749, 53.000000, 37.000000
1548017009.585269, 5.012749, 58.000000, 37.000000
1548017009.585360, 5.012749, 62.000000, 37.000000
1548017009.585437, 5.012749, 74.000000, 37.000000
1548017010.313637, 5.496623, 53.000000, 44.000000
1548017010.314027, 5.496623, 58.000000, 44.000000
1548017010.314154, 5.496623, 62.000000, 44.000000
1548017010.324386, 5.512283, 53.000000, 44.000000
1548017010.324680, 5.512283, 58.000000, 44.000000
1548017010.324795, 5.512283, 62.000000, 44.000000
1548017011.187035, 5.997182, 53.000000, 39.000000
1548017011.187544, 5.997182, 58.000000, 39.000000
1548017011.187719, 5.997182, 62.000000, 39.000000
1548017011.187837, 5.997182, 74.000000, 39.000000
