time,phase_from_reg,phase_for_plbck,plbck_pos
1548016998.790970, 0.001770, 0.000000, 0.000000
1548016998.903054, 0.957495, 0.000000, 0.000000
1548016999.107654, 3.049528, 0.000000, 0.000000
1548016999.252787, 3.141593, 0.000000, 0.000000
1548016999.377351, 5.691137, 0.000000, 0.000000
1548016999.557061, 6.930051, 0.000000, 0.000000
1548016999.577160, 8.593984, 0.000000, 0.000000
1548016999.615051, 9.317067, 0.000000, 0.000000
1548016999.844018, 10.640485, 0.000000, 0.000000
1548016999.940362, 11.910335, 0.000000, 0.000000
1548017000.125669, 12.597841, 0.000000, 0.000000
1548017000.218893, 13.837137, 0.000000, 0.000000
1548017000.370401, 15.620767, 0.000000, 0.000000
1548017000.456737, 17.421271, 0.000000, 0.000000
1548017000.533314, 20.113018, 0.000000, 0.000000
1548017000.644400, 21.911110, 0.000000, 0.000000
1548017000.796591, 23.686602, 0.000000, 0.000000
1548017000.911255, 24.904937, 0.000000, 0.000000
1548017000.988910, 26.275672, 0.000000, 0.000000
1548017001.072359, 27.373153, 0.000000, 0.000000
1548017001.275423, 28.185018, 0.000000, 0.000000
1548017001.361406, 29.110649, 0.000000, 0.000000
1548017001.537885, 30.285766, 0.000000, 0.000000
1548017001.637021, 31.888425, 0.000000, 0.000000
1548017001.793019, 32.875529, 0.000000, 0.000000
1548017001.928350, 34.077990, 0.000000, 0.000000
1548017002.046928, 35.192604, 0.000000, 0.000000
1548017002.202957, 36.630688, 0.000000, 0.000000
1548017002.301979, 38.180728, 0.000000, 0.000000
1548017002.381490, 39.538892, 0.000000, 0.000000
1548017002.485531, 41.055957, 0.000000, 0.000000
1548017002.655673, 42.381390, 0.000000, 0.000000
1548017002.743339, 43.499775, 0.000000, 0.000000
1548017002.883487, 45.065287, 0.000000, 0.000000
1548017002.960659, 46.069100, 0.000000, 0.000000
1548017003.069519, 47.016634, 0.000000, 0.000000
1548017003.248911, 47.949455, 0.000000, 0.000000
1548017003.321146, 48.947647, 0.000000, 0.000000
1548017003.495001, 50.041743, 1.094096, 1.094096
1548017003.571594, 51.097489, 2.149842, 2.149842
1548017003.661184, 52.065312, 3.117666, 3.117666
1548017003.768213, 53.323637, 4.375990, 4.375990
1548017003.866992, 54.973395, 6.025748, 6.025748
1548017004.010075, 55.924257, 6.976610, 6.976610
1548017004.086956, 57.516614, 8.568968, 8.568968
1548017004.253333, 58.237115, 9.289468, 9.289468
1548017004.336529, 59.207132, 10.259485, 10.259485
1548017004.510887, 59.674122, 10.726475, 10.726475
1548017004.587034, 60.504956, 11.557310, 11.557310
1548017004.678383, 61.899852, 12.952205, 12.952205
1548017004.783988, 63.419279, 14.471633, 14.471633
1548017004.912884, 64.620801, 15.673154, 15.673154
1548017005.022290, 65.798171, 16.850525, 16.850525
1548017005.098798, 67.133704, 18.186057, 18.186057
1548017005.292453, 68.186487, 19.238840, 19.238840
1548017005.417552, 69.186175, 20.238528, 20.238528
1548017005.528418, 69.964689, 21.017042, 21.017042
1548017005.608922, 71.094472, 22.146825, 22.146825
1548017005.773705, 72.088253, 23.140606, 23.140606
1548017005.847137, 73.516111, 24.568464, 24.568464
1548017005.935542, 75.323657, 26.376010, 26.376010
1548017006.017289, 77.475319, 28.527672, 28.527672
1548017006.112352, 79.159104, 30.211457, 30.211457
1548017006.219772, 80.626513, 31.678866, 31.678866
1548017006.374876, 81.954619, 33.006972, 33.006972
1548017006.477729, 83.380397, 34.432750, 34.432750
1548017006.641441, 83.985031, 35.037384, 35.037384
1548017006.714545, 84.701714, 35.754068, 35.754068
1548017006.789702, 86.083429, 37.135782, 37.135782
1548017006.884637, 87.601332, 38.653685, 38.653685
1548017007.025091, 89.113093, 40.165446, 40.165446
1548017007.152925, 90.987771, 42.040124, 42.040124
1548017007.267545, 92.932547, 43.984900, 43.984900
1548017007.387957, 94.142108, 45.194461, 45.194461
1548017007.470901, 95.337813, 46.390166, 46.390166
1548017007.640516, 95.956511, 47.008864, 47.008864
1548017007.710681, 96.918457, 47.970810, 47.970810
1548017007.797047, 97.532505, 48.584858, 48.584858
1548017007.982785, 98.706500, 49.758854, 49.758854
1548017008.059815, 99.733415, 50.785768, 50.785768
1548017008.134920, 100.960184, 52.012538, 52.012538
1548017008.212419, 102.096364, 53.148717, 53.148717
1548017008.304413, 103.278734, 54.331087, 54.331087
1548017008.456174, 104.425565, 55.477918, 55.477918
1548017008.625476, 105.223314, 56.275667, 56.275667
1548017008.739067, 106.201267, 57.253620, 57.253620
1548017008.839943, 107.449001, 58.501354, 58.501354
1548017008.929561, 107.875972, 58.928325, 58.928325
1548017009.051024, 108.522142, 59.574495, 59.574495
1548017009.177499, 109.203232, 60.255585, 60.255585
1548017009.270550, 109.919486, 60.971839, 60.971839
1548017009.415254, 110.508353, 61.560706, 61.560706
1548017009.524059, 111.843509, 62.895862, 62.895862
1548017009.656525, 112.867889, 63.920242, 63.920242
1548017009.752103, 114.045244, 65.097597, 65.097597
1548017009.888836, 114.825059, 65.877412, 65.877412
1548017009.977374, 115.718983, 66.771337, 66.771337
1548017010.076231, 116.425016, 67.477369, 67.477369
1548017010.163499, 117.341149, 68.393502, 68.393502
1548017010.262624, 118.476784, 69.529137, 69.529137
1548017010.424787, 119.465151, 70.517504, 70.517504
1548017010.587544, 120.481985, 71.534338, 71.534338
1548017010.690895, 121.105648, 72.158001, 72.158001
1548017010.766191, 121.966131, 73.018485, 73.018485
1548017010.861732, 122.637774, 73.690127, 73.690127
1548017011.050889, 123.663920, 74.716273, 74.716273
1548017011.167493, 124.875172, 75.927525, 75.927525
