time,est_amp,est_freq,est_phase
1548014056.671277, 16.881346, 0.044082, 0.011951
1548014056.750549, 67.159638, 0.043959, 0.984684
1548014056.844496, 105.099613, 0.027309, 0.000000
1548014056.990929, 163.557600, 0.027803, 2.977126
1548014057.189587, 269.483074, 0.022831, 5.682616
1548014057.275551, 286.268557, 0.024299, 6.392436
1548014057.298758, 372.384832, 0.021824, 8.308259
1548014057.325120, 431.044091, 0.023546, 8.975151
1548014057.382722, 446.280858, 0.024179, 10.023581
1548014057.489954, 518.598216, 0.023945, 11.298907
1548014057.557596, 547.124134, 0.023487, 12.520072
1548014057.710821, 558.249452, 0.022686, 13.871815
1548014057.793755, 591.834228, 0.022693, 14.993716
1548014057.877902, 618.287423, 0.021006, 16.408565
1548014058.008145, 690.780485, 0.020538, 17.597558
1548014058.051212, 755.624990, 0.021123, 18.519547
1548014058.152749, 735.330380, 0.022034, 19.467071
1548014058.326915, 757.888432, 0.022711, 20.470901
1548014058.403446, 772.638900, 0.023661, 21.430786
1548014058.524390, 775.856035, 0.024632, 22.355574
1548014058.713204, 724.181522, 0.025088, 23.491563
1548014058.784782, 720.306405, 0.026788, 24.585409
1548014058.878661, 728.082895, 0.027106, 25.846608
1548014058.964599, 720.292065, 0.025730, 27.310000
1548014059.031940, 667.565954, 0.022936, 28.974410
1548014059.213555, 705.327284, 0.022358, 30.236841
1548014059.300954, 688.899503, 0.021718, 31.570509
1548014059.367626, 771.064875, 0.019694, 33.180064
1548014059.446159, 781.345430, 0.019293, 34.184908
1548014059.529239, 844.336336, 0.020020, 34.961513
1548014059.645834, 854.011993, 0.019977, 35.903851
1548014059.725387, 910.981816, 0.020431, 36.844314
1548014059.811830, 940.709616, 0.019909, 38.022710
1548014060.030564, 897.915617, 0.022467, 38.661199
1548014060.177620, 929.403118, 0.023298, 39.601067
1548014060.232783, 1063.981587, 0.028310, 40.030351
1548014060.339914, 1180.195327, 0.029729, 41.051692
1548014060.527544, 1177.610571, 0.030807, 42.294784
1548014060.607408, 1186.800688, 0.031806, 43.647003
1548014060.690113, 1182.442898, 0.032411, 45.119278
1548014060.772284, 1182.442898, 0.031706, 46.845170
1548014060.860833, 1167.881134, 0.029305, 48.801662
1548014060.959261, 1028.580361, 0.028261, 50.416520
1548014061.052684, 1020.545144, 0.026579, 51.981465
1548014061.176378, 948.458678, 0.020250, 54.521132
1548014061.215500, 1072.918086, 0.019356, 55.697662
1548014061.297030, 1046.781107, 0.018113, 56.979970
1548014061.480161, 970.231306, 0.019016, 57.790123
1548014061.567864, 924.438726, 0.019415, 58.677790
1548014061.713119, 933.617575, 0.019916, 59.497814
1548014061.798515, 891.111347, 0.020868, 60.323911
1548014061.852677, 849.039912, 0.019029, 61.516683
1548014061.985886, 738.011184, 0.016143, 62.893563
1548014062.072480, 764.077339, 0.013140, 64.301624
1548014062.242350, 708.281902, 0.012572, 65.057583
1548014062.325569, 609.189622, 0.011551, 65.901841
1548014062.440642, 563.109168, 0.009821, 66.856903
1548014062.525763, 520.725090, 0.013603, 66.856903
1548014062.678427, 472.829126, 0.013884, 67.361202
1548014062.707386, 403.564968, 0.013276, 68.119201
1548014062.886853, 335.372082, 0.012308, 68.996926
1548014062.966256, 310.541722, 0.014050, 69.578303
1548014063.076585, 294.992040, 0.015849, 69.901003
1548014063.194183, 287.880553, 0.017005, 70.426321
1548014063.321110, 325.698849, 0.015954, 71.390545
1548014063.400175, 337.297687, 0.015678, 72.188072
1548014063.521059, 361.222730, 0.016218, 72.968709
1548014063.567203, 446.521721, 0.015110, 74.085680
1548014063.689706, 530.567255, 0.015270, 74.720097
1548014063.782588, 565.997747, 0.015158, 75.395349
1548014063.850027, 576.619259, 0.014348, 76.382369
1548014063.901446, 651.927348, 0.014216, 77.183545
1548014064.032409, 733.781503, 0.014399, 77.846157
1548014064.110976, 724.685883, 0.015414, 78.424092
1548014064.226378, 806.642455, 0.017780, 78.748806
1548014064.364071, 790.035131, 0.019288, 79.322956
1548014064.446718, 807.791469, 0.022255, 79.862618
1548014064.539244, 960.363698, 0.022766, 80.859949
1548014064.612823, 1087.134694, 0.023109, 81.757494
1548014064.701177, 1063.117303, 0.021781, 83.109609
1548014064.782743, 1066.607388, 0.021154, 84.266946
1548014064.928260, 1138.243122, 0.018717, 85.899481
1548014064.987714, 1138.243122, 0.018818, 86.880083
1548014065.100384, 1138.243122, 0.018925, 87.812623
1548014065.233549, 1154.214707, 0.020611, 88.461855
1548014065.326529, 1092.834519, 0.021443, 89.317868
1548014065.468760, 1076.303051, 0.021125, 90.391744
1548014065.544569, 1131.764128, 0.021446, 91.360637
1548014065.672078, 1113.971204, 0.019838, 92.663989
1548014065.738332, 971.537231, 0.017939, 93.894359
1548014065.835704, 955.411395, 0.013978, 95.628675
1548014065.931754, 935.490330, 0.013211, 96.419745
