time, phase
1548014057.978764, 0
1548014058.100448, 1
1548014058.265343, 2
1548014058.395328, 3
1548014058.588940, 0
1548014058.729213, 1
1548014058.798371, 2
1548014058.937763, 3
1548014059.204527, 0
1548014059.282650, 1
1548014059.424993, 2
1548014059.607628, 3
1548014059.721391, 0
1548014059.874813, 1
1548014060.017780, 2
1548014060.159414, 3
1548014060.228762, 0
1548014060.363240, 1
1548014060.521053, 2
1548014060.605351, 3
1548014060.682467, 0
1548014060.779509, 1
1548014060.927942, 2
1548014061.103915, 3
1548014061.247375, 0
1548014061.460483, 1
1548014061.590872, 2
1548014061.743962, 3
1548014062.197016, 0
1548014062.318308, 1
1548014062.614046, 2
1548014062.857812, 3
1548014063.022002, 0
1548014063.258320, 1
1548014063.434338, 2
1548014063.666460, 3
1548014063.837068, 0
1548014064.047964, 1
1548014064.166704, 2
1548014064.357904, 3
1548014064.435767, 0
1548014064.595031, 1
1548014064.754964, 2
1548014064.897279, 3
1548014065.046732, 0
1548014065.223554, 1
1548014065.426702, 2
1548014065.549996, 3
1548014065.833194, 0
