time,phase_from_reg,phase_for_plbck,plbck_pos
1548014056.672048, 0.011951, 0.000000, 0.000000
1548014056.750821, 0.984684, 0.000000, 0.000000
1548014056.844900, 0.000000, 0.000000, 0.000000
1548014056.996847, 2.977126, 0.000000, 0.000000
1548014057.307380, 5.682616, 0.000000, 0.000000
1548014057.308976, 6.392436, 0.000000, 0.000000
1548014057.311591, 8.308259, 0.000000, 0.000000
1548014057.325343, 8.975151, 0.000000, 0.000000
1548014057.382940, 10.023581, 0.000000, 0.000000
1548014057.490293, 11.298907, 0.000000, 0.000000
1548014057.557863, 12.520072, 0.000000, 0.000000
1548014057.711120, 13.871815, 0.000000, 0.000000
1548014057.794175, 14.993716, 0.000000, 0.000000
1548014057.878606, 16.408565, 0.000000, 0.000000
1548014058.008484, 17.597558, 0.000000, 0.000000
1548014058.051445, 18.519547, 0.921989, 0.921989
1548014058.153059, 19.467071, 1.869512, 1.869512
1548014058.327555, 20.470901, 2.873343, 2.873343
1548014058.405345, 21.430786, 3.833228, 3.833228
1548014058.524711, 22.355574, 4.758016, 4.758016
1548014058.713468, 23.491563, 5.894005, 5.894005
1548014058.786297, 24.585409, 6.987850, 6.987850
1548014058.879228, 25.846608, 8.249050, 8.249050
1548014058.965835, 27.310000, 9.712442, 9.712442
1548014059.032189, 28.974410, 11.376852, 11.376852
1548014059.213810, 30.236841, 12.639283, 12.639283
1548014059.301985, 31.570509, 13.972951, 13.972951
1548014059.367907, 33.180064, 15.582506, 15.582506
1548014059.446509, 34.184908, 16.587350, 16.587350
1548014059.529543, 34.961513, 17.363955, 17.363955
1548014059.646130, 35.903851, 18.306293, 18.306293
1548014059.725770, 36.844314, 19.246756, 19.246756
1548014059.819698, 38.022710, 20.425152, 20.425152
1548014060.030917, 38.661199, 21.063641, 21.063641
1548014060.177879, 39.601067, 22.003508, 22.003508
1548014060.234170, 40.030351, 22.432793, 22.432793
1548014060.344260, 41.051692, 23.454134, 23.454134
1548014060.527835, 42.294784, 24.697225, 24.697225
1548014060.607706, 43.647003, 26.049444, 26.049444
1548014060.692443, 45.119278, 27.521719, 27.521719
1548014060.772538, 46.845170, 29.247612, 29.247612
1548014060.861122, 48.801662, 31.204104, 31.204104
1548014060.959482, 50.416520, 32.818962, 32.818962
1548014061.052930, 51.981465, 34.383907, 34.383907
1548014061.176623, 54.521132, 36.923574, 36.923574
1548014061.215697, 55.697662, 38.100104, 38.100104
1548014061.297265, 56.979970, 39.382412, 39.382412
1548014061.480514, 57.790123, 40.192565, 40.192565
1548014061.569010, 58.677790, 41.080232, 41.080232
1548014061.713459, 59.497814, 41.900256, 41.900256
1548014061.798741, 60.323911, 42.726353, 42.726353
1548014061.860791, 61.516683, 43.919125, 43.919125
1548014061.986195, 62.893563, 45.296005, 45.296005
1548014062.072769, 64.301624, 46.704066, 46.704066
1548014062.242703, 65.057583, 47.460025, 47.460025
1548014062.325982, 65.901841, 48.304283, 48.304283
1548014062.456480, 66.856903, 49.259344, 49.259344
1548014062.527484, 66.856903, 49.259344, 49.259344
1548014062.678959, 67.361202, 49.763643, 49.763643
1548014062.708845, 68.119201, 50.521642, 50.521642
1548014062.887708, 68.996926, 51.399368, 51.399368
1548014062.966546, 69.578303, 51.980744, 51.980744
1548014063.107018, 69.901003, 52.303445, 52.303445
1548014063.199196, 70.426321, 52.828763, 52.828763
1548014063.360538, 71.390545, 53.792986, 53.792986
1548014063.400456, 72.188072, 54.590514, 54.590514
1548014063.521354, 72.968709, 55.371150, 55.371150
1548014063.610760, 74.085680, 56.488122, 56.488122
1548014063.732565, 74.720097, 57.122539, 57.122539
1548014063.782806, 75.395349, 57.797791, 57.797791
1548014063.850341, 76.382369, 58.784811, 58.784811
1548014063.902353, 77.183545, 59.585986, 59.585986
1548014064.033034, 77.846157, 60.248598, 60.248598
1548014064.111283, 78.424092, 60.826533, 60.826533
1548014064.270174, 78.748806, 61.151248, 61.151248
1548014064.364343, 79.322956, 61.725398, 61.725398
1548014064.447677, 79.862618, 62.265059, 62.265059
1548014064.539578, 80.859949, 63.262390, 63.262390
1548014064.613076, 81.757494, 64.159935, 64.159935
1548014064.701438, 83.109609, 65.512051, 65.512051
1548014064.783001, 84.266946, 66.669387, 66.669387
1548014064.928516, 85.899481, 68.301922, 68.301922
1548014064.989692, 86.880083, 69.282525, 69.282525
1548014065.100781, 87.812623, 70.215065, 70.215065
1548014065.234014, 88.461855, 70.864297, 70.864297
1548014065.330257, 89.317868, 71.720310, 71.720310
1548014065.469040, 90.391744, 72.794185, 72.794185
1548014065.544895, 91.360637, 73.763078, 73.763078
1548014065.672332, 92.663989, 75.066431, 75.066431
1548014065.738775, 93.894359, 76.296801, 76.296801
1548014065.835958, 95.628675, 78.031117, 78.031117
