time, beats
1548014073.905132, 0.007638
1548014073.918514, 0.015276
1548014073.935299, 0.022913
1548014073.945723, 0.030551
1548014073.951599, 0.038189
1548014073.957890, 0.045827
1548014073.963124, 0.053465
1548014073.968496, 0.061102
1548014073.975242, 0.068740
1548014073.981119, 0.076378
1548014073.986430, 0.084016
1548014073.991616, 0.091654
1548014073.997357, 0.099291
1548014074.002714, 0.106929
1548014074.014953, 0.114567
1548014074.026664, 0.122205
1548014074.031948, 0.129843
1548014074.037777, 0.137480
1548014074.043197, 0.145118
1548014074.050132, 0.152756
1548014074.055559, 0.160394
1548014074.061222, 0.168032
1548014074.066887, 0.175669
1548014074.072659, 0.183307
1548014074.078376, 0.190945
1548014074.084899, 0.198583
1548014074.096210, 0.206221
1548014074.102244, 0.213858
1548014074.108987, 0.221496
1548014074.115082, 0.229134
1548014074.121369, 0.236772
1548014074.126631, 0.244410
1548014074.131998, 0.252047
1548014074.137555, 0.259685
1548014074.143138, 0.267323
1548014074.148498, 0.274961
1548014074.153908, 0.282599
1548014074.159259, 0.290236
1548014074.166476, 0.297874
1548014074.171918, 0.305512
1548014074.177347, 0.313150
1548014074.183051, 0.320788
1548014074.198247, 0.328425
1548014074.203863, 0.336063
1548014074.209336, 0.343701
1548014074.215407, 0.351339
1548014074.220854, 0.358977
1548014074.226436, 0.366614
1548014074.231918, 0.374252
1548014074.237727, 0.381890
1548014074.243635, 0.389528
1548014074.248837, 0.397166
1548014074.253956, 0.404803
1548014074.259352, 0.412441
1548014074.265091, 0.420079
1548014074.270335, 0.427717
1548014074.276091, 0.435354
1548014074.281395, 0.442992
1548014074.287159, 0.450630
1548014074.292721, 0.458268
1548014074.298802, 0.465906
1548014074.304251, 0.473543
1548014074.309738, 0.481181
1548014074.316247, 0.488819
1548014074.322318, 0.496457
1548014074.327998, 0.504095
1548014074.333425, 0.511732
1548014074.338934, 0.519370
1548014074.344619, 0.527008
1548014074.349999, 0.534646
1548014074.356091, 0.542284
1548014074.361395, 0.549921
1548014074.366900, 0.557559
1548014074.372840, 0.565197
1548014074.378061, 0.572835
1548014074.383152, 0.580473
1548014074.390983, 0.588110
1548014074.396625, 0.595748
1548014074.401816, 0.603386
1548014074.407495, 0.611024
1548014074.413160, 0.618662
1548014074.419277, 0.626299
1548014074.425418, 0.633937
1548014074.431429, 0.641575
1548014074.437159, 0.649213
1548014074.453398, 0.656851
1548014074.475852, 0.664488
1548014074.482437, 0.672126
1548014074.487697, 0.679764
1548014074.493144, 0.687402
1548014074.498686, 0.695040
1548014074.504405, 0.702677
1548014074.510081, 0.710315
1548014074.515807, 0.717953
1548014074.520999, 0.725591
1548014074.526480, 0.733229
1548014074.532567, 0.740866
1548014074.538259, 0.748504
1548014074.545458, 0.753502
1548014074.551021, 0.758500
1548014074.556336, 0.763498
1548014074.561629, 0.768496
1548014074.567471, 0.773495
1548014074.576619, 0.778493
1548014074.586961, 0.783491
1548014074.592766, 0.788489
1548014074.600910, 0.793487
1548014074.607497, 0.798485
1548014074.612802, 0.803483
1548014074.619042, 0.808481
1548014074.624878, 0.813479
1548014074.630964, 0.818477
1548014074.637711, 0.823475
1548014074.642951, 0.828473
1548014074.648352, 0.833471
1548014074.654086, 0.838469
1548014074.666682, 0.843468
