time,beats,midi_note,midi_vel
1548014073.905258, 0.007638, 41.000000, 50.000000
1548014073.905949, 0.007638, 65.000000, 50.000000
1548014074.026766, 0.122205, 65.000000, 50.000000
1548014074.132071, 0.252047, 41.000000, 71.000000
1548014074.237784, 0.381890, 65.000000, 71.000000
1548014074.351885, 0.534646, 65.000000, 71.000000
1548014074.353000, 0.534646, 53.000000, 71.000000
1548014074.353303, 0.534646, 60.000000, 71.000000
1548014074.353450, 0.534646, 63.000000, 71.000000
1548014074.353553, 0.534646, 67.000000, 71.000000
1548014074.883942, 0.998408, 53.000000, 78.000000
1548014074.884197, 0.998408, 60.000000, 78.000000
1548014074.884362, 0.998408, 63.000000, 78.000000
1548014074.884514, 0.998408, 67.000000, 78.000000
1548014074.890400, 1.003406, 53.000000, 78.000000
1548014074.890589, 1.003406, 60.000000, 78.000000
1548014074.890759, 1.003406, 63.000000, 78.000000
1548014074.890857, 1.003406, 69.000000, 78.000000
1548014075.475193, 1.497340, 53.000000, 93.000000
1548014075.475372, 1.497340, 60.000000, 93.000000
1548014075.475553, 1.497340, 63.000000, 93.000000
1548014075.475691, 1.497340, 69.000000, 93.000000
1548014075.480531, 1.503013, 46.000000, 93.000000
1548014075.480736, 1.503013, 70.000000, 93.000000
1548014075.754383, 1.746040, 46.000000, 92.000000
1548014075.754553, 1.746040, 70.000000, 92.000000
1548014075.904092, 1.878356, 72.000000, 84.000000
1548014076.025767, 1.998643, 72.000000, 79.000000
1548014076.031157, 2.004658, 53.000000, 79.000000
1548014076.031325, 2.004658, 58.000000, 79.000000
1548014076.031714, 2.004658, 62.000000, 79.000000
1548014076.031965, 2.004658, 74.000000, 79.000000
1548014076.489448, 2.501506, 53.000000, 96.000000
1548014076.489700, 2.501506, 58.000000, 96.000000
1548014076.490077, 2.501506, 62.000000, 96.000000
1548014076.490427, 2.501506, 74.000000, 96.000000
1548014076.490541, 2.501506, 46.000000, 96.000000
1548014076.490867, 2.501506, 75.000000, 96.000000
1548014076.719395, 2.749113, 46.000000, 98.000000
1548014076.719704, 2.749113, 75.000000, 98.000000
1548014076.728640, 2.755148, 77.000000, 98.000000
1548014076.969175, 2.996518, 77.000000, 101.000000
1548014076.974575, 3.002552, 39.000000, 101.000000
1548014076.974800, 3.002552, 51.000000, 101.000000
1548014076.974931, 3.002552, 79.000000, 101.000000
1548014077.217476, 3.249957, 79.000000, 103.000000
1548014077.359338, 3.378741, 81.000000, 103.000000
1548014077.484093, 3.496793, 39.000000, 99.000000
1548014077.484339, 3.496793, 51.000000, 99.000000
1548014077.484577, 3.496793, 81.000000, 99.000000
1548014077.489750, 3.502159, 55.000000, 99.000000
1548014077.489958, 3.502159, 82.000000, 99.000000
1548014077.555731, 3.561184, 82.000000, 99.000000
1548014077.561213, 3.566550, 84.000000, 99.000000
1548014077.562053, 3.566550, 58.000000, 99.000000
1548014077.618440, 3.620210, 84.000000, 99.000000
1548014077.625489, 3.625576, 82.000000, 99.000000
1548014077.629726, 3.630942, 63.000000, 99.000000
1548014077.688394, 3.684602, 82.000000, 99.000000
1548014077.694031, 3.689968, 84.000000, 99.000000
1548014077.704761, 3.700700, 67.000000, 99.000000
1548014077.759480, 3.748994, 84.000000, 81.000000
1548014077.765179, 3.754360, 82.000000, 81.000000
1548014077.829856, 3.808020, 82.000000, 81.000000
1548014077.835660, 3.813386, 84.000000, 81.000000
1548014077.903785, 3.872412, 84.000000, 81.000000
1548014077.910537, 3.877778, 82.000000, 81.000000
1548014077.985470, 3.935529, 82.000000, 81.000000
1548014077.990461, 3.939946, 84.000000, 81.000000
1548014078.070672, 3.997372, 58.000000, 81.000000
1548014078.070847, 3.997372, 63.000000, 81.000000
1548014078.070981, 3.997372, 55.000000, 81.000000
1548014078.071069, 3.997372, 67.000000, 81.000000
1548014078.071137, 3.997372, 84.000000, 81.000000
1548014078.076382, 4.001789, 81.000000, 81.000000
1548014078.415019, 4.253578, 81.000000, 64.000000
1548014078.415210, 4.253578, 79.000000, 64.000000
1548014078.749028, 4.496533, 79.000000, 59.000000
1548014078.755464, 4.500950, 46.000000, 59.000000
1548014078.755658, 4.500950, 77.000000, 59.000000
1548014078.835848, 4.562793, 77.000000, 59.000000
1548014078.836019, 4.562793, 82.000000, 59.000000
1548014078.970726, 4.651505, 82.000000, 59.000000
1548014079.138231, 4.746691, 46.000000, 66.000000
1548014079.372425, 4.875871, 82.000000, 66.000000
1548014079.568976, 4.994852, 82.000000, 68.000000
1548014079.579762, 5.001651, 53.000000, 68.000000
1548014079.579910, 5.001651, 58.000000, 68.000000
1548014079.580010, 5.001651, 62.000000, 68.000000
1548014079.580104, 5.001651, 74.000000, 68.000000
1548014080.262979, 5.499973, 53.000000, 52.000000
1548014080.263235, 5.499973, 58.000000, 52.000000
1548014080.263404, 5.499973, 62.000000, 52.000000
1548014080.270185, 5.505293, 53.000000, 52.000000
1548014080.270398, 5.505293, 58.000000, 52.000000
1548014080.270529, 5.505293, 62.000000, 52.000000
1548014080.884848, 6.000027, 53.000000, 52.000000
1548014080.885022, 6.000027, 58.000000, 52.000000
1548014080.885133, 6.000027, 62.000000, 52.000000
1548014080.885259, 6.000027, 74.000000, 52.000000
