time, palm_pos, vel, avg_vel, avg_vel_schm, avg_acc, avg_acc_schm, avg_still_buff
1548014097.705086, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.711387, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.717259, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.723464, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.729534, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.735264, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.740747, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.746861, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.752572, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.758027, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.763696, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.769626, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.775588, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.781956, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.787480, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.793401, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.799639, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.805011, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.811258, 0.000000, 0.000000, 0.000000, -20.000000, 0.000000, -150.000000, 1.000000
1548014097.817215, 226.467331, 84.926041, 0.126469, 0.126469, 12.646902, 12.646902, 1.000000
1548014097.823052, 226.467331, 84.926041, 0.254423, 0.254423, 12.795376, 12.795376, 1.000000
1548014097.828622, 226.467331, 84.926041, 0.386785, 0.386785, 13.236175, 13.236175, 1.000000
1548014097.834751, 226.373383, 51.819233, 0.477160, 0.477160, 9.037512, 9.037512, 1.000000
1548014097.840186, 224.540970, -22.261225, 0.552334, 0.552334, 7.517424, 7.517424, 1.000000
1548014097.846343, 224.540970, -22.261225, 0.553029, 0.553029, 0.069503, 0.069503, 1.000000
1548014097.851758, 222.558212, -77.038361, 0.483252, 0.483252, -6.977695, -150.000000, 1.000000
1548014097.857095, 220.276291, -126.424034, 0.349130, 0.349130, -13.412154, -150.000000, 1.000000
1548014097.862435, 220.276291, -126.424034, 0.220474, 0.220474, -12.865684, -150.000000, 1.000000
1548014097.867905, 217.630569, -174.345871, 0.021320, 0.021320, -19.915350, -150.000000, 1.000000
1548014097.873898, 214.584381, -213.994064, -0.241451, -20.000000, -26.277073, -150.000000, 1.000000
1548014097.881356, 214.584381, -213.994064, -0.515729, -20.000000, -27.427868, -150.000000, 1.000000
1548014097.886762, 211.556686, -259.310455, -0.876564, -20.000000, -36.083475, -150.000000, 1.000000
1548014097.892109, 208.516541, -283.698822, -1.301073, -20.000000, -42.450889, -150.000000, 0.900000
1548014097.897849, 208.516541, -283.698822, -1.762311, -20.000000, -46.123837, -150.000000, 0.800000
1548014097.903310, 204.952240, -317.254395, -2.319893, -20.000000, -55.758212, -150.000000, 0.700000
1548014097.908726, 201.211960, -347.474579, -2.978901, -20.000000, -65.900733, -150.000000, 0.600000
1548014097.914348, 201.211960, -347.474579, -3.705254, -20.000000, -72.635369, -150.000000, 0.500000
1548014097.920285, 197.059311, -382.608276, -4.562445, -20.000000, -85.719095, -150.000000, 0.400000
1548014097.925999, 192.859818, -409.664429, -5.549918, -20.000000, -98.747272, -150.000000, 0.300000
1548014097.931388, 192.859818, -409.664429, -6.639567, -20.000000, -108.964893, -150.000000, 0.200000
1548014097.937316, 188.358749, -438.852936, -7.887097, -20.000000, -124.753023, -150.000000, 0.100000
1548014097.942904, 188.358749, -438.852936, -9.261335, -20.000000, -137.423748, -150.000000, 0.000000
1548014097.949136, 184.083603, -453.405151, -10.796233, -20.000000, -153.489812, -153.489812, 0.000000
1548014097.954588, 184.083603, -453.405151, -12.482103, -20.000000, -168.586963, -168.586963, 0.000000
1548014097.960269, 180.013458, -457.631104, -14.336862, -20.000000, -185.475915, -185.475915, 0.000000
1548014097.965665, 175.896362, -462.131226, -16.371966, -20.000000, -203.510450, -203.510450, 0.000000
1548014097.971956, 175.896362, -462.131226, -18.591217, -20.000000, -221.925047, -221.925047, 0.000000
1548014097.977618, 172.005203, -458.234131, -20.998650, -20.998650, -240.743293, -240.743293, 0.000000
1548014097.983019, 172.005203, -458.234131, -23.609062, -23.609062, -261.041198, -261.041198, 0.000000
1548014097.990126, 167.808960, -465.058105, -26.440726, -26.440726, -283.166473, -283.166473, 0.000000
1548014097.995988, 163.852325, -453.137543, -29.473113, -29.473113, -303.238641, -303.238641, 0.000000
1548014098.002078, 160.651260, -440.436859, -32.711471, -32.711471, -323.835827, -323.835827, 0.000000
1548014098.007417, 157.874481, -404.217712, -36.179797, -36.179797, -346.832624, -346.832624, 0.000000
1548014098.012804, 157.874481, -404.217712, -39.828096, -39.828096, -364.829906, -364.829906, 0.000000
1548014098.018925, 156.018494, -355.689636, -43.640404, -43.640404, -381.230798, -381.230798, 0.000000
1548014098.024366, 156.018494, -355.689636, -47.688938, -47.688938, -404.853332, -404.853332, 0.000000
1548014098.030401, 153.809296, -248.700150, -51.898831, -51.898831, -420.989341, -420.989341, 0.000000
1548014098.036186, 153.809296, -248.700150, -56.253203, -56.253203, -435.437233, -435.437233, 0.000000
1548014098.041655, 153.483047, -192.543396, -60.748306, -60.748306, -449.510222, -449.510222, 0.000000
