time, beats
1548014101.919765, 0.005737
1548014101.925643, 0.011475
1548014101.932491, 0.017212
1548014101.938600, 0.022949
1548014101.944644, 0.028687
1548014101.952257, 0.034424
1548014101.957364, 0.040161
1548014101.965623, 0.045899
1548014101.975034, 0.051636
1548014101.984086, 0.057373
1548014101.989979, 0.063111
1548014101.996086, 0.068848
1548014102.001490, 0.074586
1548014102.007313, 0.080323
1548014102.014979, 0.086060
1548014102.021162, 0.091798
1548014102.027157, 0.097535
1548014102.032927, 0.103272
1548014102.038893, 0.109010
1548014102.044533, 0.114747
1548014102.050375, 0.120484
1548014102.056268, 0.126222
1548014102.063309, 0.131959
1548014102.069371, 0.137696
1548014102.075014, 0.143434
1548014102.080918, 0.149171
1548014102.087926, 0.154908
1548014102.093832, 0.160646
1548014102.099483, 0.166383
1548014102.104949, 0.172120
1548014102.111252, 0.177858
1548014102.118012, 0.183595
1548014102.124345, 0.189332
1548014102.129449, 0.195070
1548014102.134978, 0.200807
1548014102.143148, 0.206545
1548014102.152252, 0.212282
1548014102.158278, 0.218019
1548014102.164060, 0.223757
1548014102.169649, 0.229494
1548014102.175392, 0.235231
1548014102.181391, 0.240969
1548014102.187259, 0.246706
1548014102.192914, 0.252443
1548014102.200844, 0.258181
1548014102.207168, 0.263918
1548014102.212608, 0.269655
1548014102.218347, 0.275393
1548014102.223727, 0.281130
1548014102.229578, 0.286867
1548014102.235658, 0.292605
1548014102.241082, 0.298342
1548014102.246851, 0.304079
1548014102.253644, 0.309817
1548014102.258762, 0.315554
1548014102.264172, 0.321291
1548014102.269360, 0.327029
1548014102.274927, 0.332766
1548014102.282080, 0.338504
1548014102.287187, 0.344241
1548014102.293096, 0.349978
1548014102.298535, 0.355716
1548014102.303797, 0.361453
1548014102.309234, 0.367190
1548014102.315576, 0.372928
1548014102.321244, 0.378665
1548014102.326573, 0.384402
1548014102.332503, 0.390140
1548014102.340142, 0.395877
1548014102.346651, 0.401614
1548014102.352560, 0.407352
1548014102.359034, 0.413089
1548014102.364888, 0.418826
1548014102.370739, 0.424564
1548014102.376186, 0.430301
1548014102.382182, 0.436038
1548014102.387590, 0.441776
1548014102.393292, 0.447513
1548014102.399259, 0.453250
1548014102.405414, 0.458988
1548014102.410885, 0.464725
1548014102.416934, 0.470462
1548014102.422336, 0.476200
1548014102.428209, 0.481937
1548014102.434258, 0.487675
1548014102.439656, 0.493412
1548014102.445576, 0.499149
1548014102.451295, 0.504887
1548014102.456538, 0.504828
1548014102.462079, 0.504770
1548014102.467654, 0.504711
1548014102.473434, 0.504653
1548014102.478643, 0.504594
1548014102.484527, 0.504536
1548014102.493212, 0.504477
1548014102.499427, 0.504419
1548014102.505023, 0.504360
1548014102.510839, 0.504302
1548014102.517344, 0.504243
1548014102.523392, 0.504185
1548014102.529795, 0.504126
1548014102.535780, 0.504068
1548014102.541867, 0.504009
1548014102.547088, 0.503951
1548014102.552660, 0.503892
1548014102.560378, 0.503834
1548014102.566400, 0.503776
1548014102.572122, 0.503717
1548014102.579419, 0.503659
1548014102.587160, 0.503600
1548014102.592645, 0.503542
1548014102.599076, 0.503483
1548014102.604224, 0.503425
1548014102.610458, 0.503366
1548014102.616484, 0.503308
1548014102.621918, 0.503249
1548014102.628322, 0.503191
1548014102.634285, 0.503132
1548014102.640314, 0.503074
1548014102.645600, 0.503015
1548014102.651775, 0.502957
1548014102.659133, 0.502898
1548014102.664781, 0.502840
1548014102.672435, 0.502781
1548014102.678507, 0.502723
1548014102.685721, 0.502664
1548014102.691245, 0.502606
1548014102.696790, 0.502548
1548014102.703227, 0.502489
1548014102.709053, 0.502431
1548014102.714172, 0.502372
1548014102.719356, 0.502314
1548014102.724734, 0.502255
1548014102.732772, 0.502197
1548014102.738540, 0.502138
1548014102.743791, 0.502080
1548014102.749512, 0.502021
1548014102.755372, 0.501963
1548014102.760679, 0.501904
1548014102.765862, 0.501846
1548014102.771782, 0.501787
1548014102.777697, 0.501729
1548014102.783546, 0.501670
1548014102.789390, 0.501612
1548014102.795378, 0.501553
1548014102.800905, 0.501495
1548014102.807941, 0.501436
1548014102.818715, 0.501378
1548014102.825918, 0.501320
1548014102.831327, 0.501261
1548014102.837047, 0.501203
1548014102.843117, 0.501144
1548014102.849229, 0.501086
1548014102.854546, 0.501027
1548014102.860003, 0.500969
1548014102.865126, 0.500910
1548014102.870993, 0.500852
1548014102.876262, 0.500793
1548014102.881845, 0.500735
1548014102.888044, 0.500676
1548014102.893777, 0.500618
1548014102.899579, 0.500559
1548014102.905588, 0.500501
1548014102.911357, 0.500442
1548014102.916573, 0.500384
1548014102.922548, 0.500325
1548014102.928252, 0.500267
1548014102.934085, 0.500208
1548014102.939435, 0.500150
1548014102.945414, 0.500092
1548014102.951356, 0.500033
1548014102.956871, 0.499975
1548014102.962498, 0.499916
1548014102.968264, 0.499858
1548014102.973423, 0.499799
1548014102.978804, 0.499741
1548014102.984167, 0.499682
1548014102.989388, 0.499624
1548014102.995708, 0.499565
1548014103.001014, 0.499507
1548014103.008921, 0.499448
1548014103.014983, 0.499390
1548014103.020430, 0.499331
1548014103.026146, 0.499273
1548014103.031324, 0.499214
1548014103.036483, 0.499156
1548014103.042006, 0.499097
1548014103.047683, 0.499039
1548014103.053276, 0.498980
1548014103.059160, 0.498922
1548014103.064581, 0.504200
1548014103.069969, 0.509479
1548014103.075330, 0.514757
1548014103.080502, 0.520035
1548014103.086695, 0.525313
1548014103.092416, 0.530592
1548014103.097633, 0.535870
1548014103.103370, 0.541148
1548014103.109906, 0.546427
1548014103.115100, 0.551705
1548014103.122277, 0.556983
1548014103.127896, 0.562261
1548014103.134539, 0.567540
1548014103.140178, 0.572818
1548014103.145471, 0.578096
1548014103.150939, 0.583374
1548014103.157295, 0.588653
1548014103.165383, 0.593931
1548014103.171271, 0.599209
1548014103.177183, 0.604488
1548014103.182499, 0.609766
1548014103.188187, 0.615044
1548014103.193675, 0.620322
1548014103.200333, 0.625601
1548014103.210334, 0.630879
1548014103.215549, 0.636157
1548014103.221287, 0.641436
1548014103.226921, 0.646714
1548014103.232619, 0.651992
1548014103.238034, 0.657270
1548014103.243374, 0.662549
1548014103.248707, 0.667827
1548014103.254133, 0.673105
1548014103.260051, 0.678384
1548014103.265811, 0.683662
1548014103.271601, 0.688940
1548014103.277458, 0.694218
1548014103.283832, 0.699497
1548014103.289247, 0.704775
1548014103.297926, 0.710053
1548014103.304693, 0.715332
1548014103.310210, 0.720610
1548014103.315441, 0.725888
1548014103.321453, 0.731166
1548014103.327256, 0.736445
1548014103.332552, 0.741723
1548014103.337706, 0.747001
1548014103.343291, 0.752280
1548014103.348629, 0.757558
1548014103.354241, 0.762836
1548014103.359399, 0.768114
1548014103.365214, 0.773393
1548014103.372917, 0.778671
1548014103.379848, 0.783949
1548014103.385575, 0.789228
1548014103.391243, 0.794506
1548014103.396980, 0.799784
1548014103.402193, 0.805062
1548014103.407925, 0.810341
1548014103.415154, 0.815619
1548014103.421413, 0.820897
1548014103.427128, 0.826175
1548014103.432826, 0.831454
1548014103.438541, 0.836732
1548014103.444261, 0.842010
1548014103.449406, 0.847289
1548014103.455149, 0.852567
1548014103.460427, 0.857845
1548014103.465832, 0.863123
1548014103.471821, 0.868402
1548014103.477114, 0.873680
1548014103.483365, 0.878958
1548014103.489213, 0.884237
1548014103.499882, 0.889515
1548014103.505507, 0.894793
1548014103.512810, 0.900071
1548014103.518186, 0.905350
1548014103.523553, 0.910628
1548014103.529318, 0.915906
1548014103.534636, 0.921185
1548014103.540008, 0.926463
1548014103.545712, 0.931741
1548014103.552102, 0.937019
1548014103.557593, 0.942298
1548014103.563005, 0.947576
1548014103.568540, 0.952854
1548014103.573916, 0.958133
1548014103.579243, 0.963411
1548014103.584734, 0.968689
1548014103.590041, 0.973967
1548014103.595379, 0.979246
1548014103.601217, 0.984524
1548014103.606776, 0.989802
1548014103.611897, 0.995081
1548014103.617427, 1.000359
1548014103.622864, 1.005637
1548014103.628923, 1.010915
1548014103.634215, 1.016194
1548014103.640005, 1.021472
1548014103.645751, 1.026750
1548014103.656425, 1.032029
1548014103.662134, 1.037307
1548014103.667557, 1.042585
1548014103.672992, 1.047863
1548014103.678425, 1.053142
1548014103.687572, 1.058420
1548014103.693580, 1.063698
1548014103.698990, 1.068976
1548014103.704460, 1.074255
1548014103.709554, 1.079533
1548014103.715308, 1.083669
1548014103.721982, 1.087806
1548014103.727069, 1.091942
1548014103.732702, 1.096078
1548014103.737852, 1.100215
1548014103.743423, 1.104351
1548014103.752165, 1.108487
1548014103.757664, 1.112624
1548014103.763366, 1.116760
1548014103.769064, 1.120896
1548014103.774315, 1.125033
1548014103.780001, 1.129169
1548014103.785703, 1.133306
1548014103.790794, 1.137442
1548014103.796100, 1.141578
1548014103.801220, 1.145715
1548014103.806899, 1.149851
1548014103.812143, 1.153987
1548014103.820785, 1.158124
1548014103.826496, 1.162260
1548014103.832206, 1.166396
1548014103.838672, 1.170533
1548014103.844011, 1.174669
1548014103.849729, 1.178805
1548014103.856611, 1.182942
1548014103.861723, 1.187078
1548014103.868086, 1.191214
1548014103.873908, 1.195351
1548014103.879513, 1.199487
1548014103.885713, 1.203623
1548014103.890960, 1.207760
1548014103.896463, 1.211896
