time,palm_pos,palm_vel,span
1548014113.047678, 0.000000, 0.000000, 0.000000
1548014113.060265, 0.000000, 0.000000, 0.000000
1548014113.065833, 0.000000, 0.000000, 0.000000
1548014113.071111, 0.000000, 0.000000, 0.000000
1548014113.076891, 0.000000, 0.000000, 0.000000
1548014113.082250, 0.000000, 0.000000, 0.000000
1548014113.087646, 0.000000, 0.000000, 0.000000
1548014113.093381, 0.000000, 0.000000, 0.000000
1548014113.099123, 0.000000, 0.000000, 0.000000
1548014113.104575, 0.000000, 0.000000, 0.000000
1548014113.111266, 0.000000, 0.000000, 0.000000
1548014113.117150, 0.000000, 0.000000, 0.000000
1548014113.122326, 0.000000, 0.000000, 0.000000
1548014113.128045, 0.000000, 0.000000, 0.000000
1548014113.133771, 0.000000, 0.000000, 0.000000
1548014113.139347, 0.000000, 0.000000, 0.000000
1548014113.144719, 0.000000, 0.000000, 0.000000
1548014113.149949, 0.000000, 0.000000, 0.000000
1548014113.155060, 0.000000, 0.000000, 0.000000
1548014113.160804, 0.000000, 0.000000, 0.000000
1548014113.166092, 0.000000, 0.000000, 0.000000
1548014113.172165, 281.813965, 413.242340, 30.592441
1548014113.178098, 284.531250, 386.627441, 30.548393
1548014113.183604, 285.715027, 319.954834, 30.650940
1548014113.189500, 285.715027, 319.954834, 30.650940
1548014113.195761, 285.715027, 319.954834, 30.650940
1548014113.201711, 285.715027, 319.954834, 30.650940
1548014113.207594, 286.070984, 180.960251, 30.863689
1548014113.213495, 285.863037, 126.530067, 31.196708
1548014113.219870, 285.863037, 126.530067, 31.196708
1548014113.225713, 285.153687, 71.043053, 31.692250
1548014113.231724, 283.682800, 6.866219, 31.953609
1548014113.237617, 281.007660, -77.238800, 31.993790
1548014113.243065, 281.007660, -77.238800, 31.993790
1548014113.248985, 277.388153, -167.688339, 32.009321
1548014113.254603, 273.733124, -234.347870, 31.938770
1548014113.260100, 273.733124, -234.347870, 31.938770
1548014113.266007, 269.400391, -303.877411, 31.802701
1548014113.271904, 265.010223, -359.832764, 31.713545
1548014113.277655, 265.010223, -359.832764, 31.713545
1548014113.283148, 259.914490, -420.962097, 31.613596
1548014113.288466, 254.864044, -464.385681, 31.648899
1548014113.293840, 254.864044, -464.385681, 31.648899
1548014113.299788, 248.497711, -535.716187, 31.614320
1548014113.306522, 242.476761, -577.477356, 31.364093
1548014113.311867, 242.476761, -577.477356, 31.364093
1548014113.317838, 236.464890, -608.716431, 31.122000
1548014113.323673, 230.119659, -617.802734, 30.965100
1548014113.329496, 230.119659, -617.802734, 30.965100
1548014113.335339, 224.838242, -640.524353, 31.012653
1548014113.340862, 218.319534, -670.483704, 31.081392
1548014113.346421, 218.319534, -670.483704, 31.081392
1548014113.352326, 212.709702, -662.633545, 30.975247
1548014113.357835, 207.206345, -655.926086, 30.823250
1548014113.363950, 207.206345, -655.926086, 30.823250
1548014113.369673, 201.991501, -641.384583, 30.655461
1548014113.374980, 197.333420, -614.093079, 30.451035
1548014113.380542, 197.333420, -614.093079, 30.451035
1548014113.386692, 192.772781, -568.910217, 30.339978
1548014113.392099, 190.205933, -516.216125, 29.665983
1548014113.397509, 190.205933, -516.216125, 29.665983
1548014113.403600, 188.284332, -437.947418, 28.669398
1548014113.409047, 187.422379, -347.972198, 28.171197
1548014113.414448, 187.422379, -347.972198, 28.171197
1548014113.420079, 187.189392, -262.211273, 28.124521
1548014113.425531, 187.189392, -262.211273, 28.124521
1548014113.430965, 187.292786, -188.734894, 28.166690
1548014113.436277, 189.092590, -83.587921, 28.149357
1548014113.441699, 189.092590, -83.587921, 28.149357
1548014113.447624, 192.470749, 42.277935, 28.143065
1548014113.453070, 192.470749, 42.277935, 28.143065
1548014113.458927, 196.973907, 168.985184, 28.186737
1548014113.464458, 202.751602, 301.881561, 28.177854
1548014113.469699, 208.552734, 399.472687, 28.132537
1548014113.475167, 208.552734, 399.472687, 28.132537
1548014113.480410, 214.891342, 487.682465, 28.018799
1548014113.486597, 214.891342, 487.682465, 28.018799
1548014113.491949, 220.711899, 535.762695, 27.988657
1548014113.497239, 227.018204, 587.127197, 27.984974
1548014113.503055, 233.321747, 624.886963, 27.929428
1548014113.508474, 233.321747, 624.886963, 27.929428
1548014113.513824, 239.676895, 652.840027, 27.776271
1548014113.519128, 239.676895, 652.840027, 27.776271
1548014113.525596, 246.140320, 677.832764, 27.629118
1548014113.531026, 252.717087, 698.905457, 27.258782
1548014113.536887, 252.717087, 698.905457, 27.258782
1548014113.542241, 259.791229, 730.495300, 27.569034
1548014113.547863, 266.078644, 729.130127, 28.127448
1548014113.553794, 266.078644, 729.130127, 28.127448
1548014113.560252, 272.720825, 731.526001, 28.470439
1548014113.566967, 277.573151, 692.435181, 28.791628
1548014113.572598, 277.573151, 692.435181, 28.791628
1548014113.578381, 281.809235, 632.187317, 29.307790
1548014113.583671, 285.473267, 580.014832, 29.601831
1548014113.589720, 285.473267, 580.014832, 29.601831
1548014113.595191, 288.595123, 521.865417, 29.963760
1548014113.601393, 291.383636, 468.543365, 30.139358
1548014113.607135, 291.383636, 468.543365, 30.139358
1548014113.612937, 293.524414, 407.165436, 30.354465
1548014113.619147, 295.755249, 366.843079, 30.643002
1548014113.625129, 296.311737, 289.071228, 31.103306
1548014113.631017, 296.311737, 289.071228, 31.103306
1548014113.637150, 296.542389, 216.454163, 31.684462
1548014113.643078, 296.569153, 157.365021, 32.288417
1548014113.649129, 296.569153, 157.365021, 32.288417
1548014113.654996, 296.569153, 157.365021, 32.288417
1548014113.660325, 296.569153, 157.365021, 32.288417
1548014113.666199, 296.198090, 76.816483, 32.800344
1548014113.672826, 294.665436, 9.511617, 32.938665
1548014113.678418, 291.367798, -94.068329, 32.988212
1548014113.684131, 291.367798, -94.068329, 32.988212
1548014113.690095, 286.369141, -221.098892, 33.087347
1548014113.695969, 283.830719, -242.136978, 33.175162
1548014113.701622, 283.830719, -242.136978, 33.175162
1548014113.707032, 279.978851, -296.179901, 33.184716
1548014113.712975, 275.325165, -359.744659, 33.170367
1548014113.718624, 275.325165, -359.744659, 33.170367
1548014113.724866, 270.293488, -417.212524, 33.040342
1548014113.730662, 264.631439, -481.377533, 32.769918
1548014113.736391, 264.631439, -481.377533, 32.769918
1548014113.742191, 259.610626, -507.843109, 32.446387
1548014113.748277, 254.147430, -540.498413, 32.432258
1548014113.754187, 254.147430, -540.498413, 32.432258
1548014113.760405, 248.486053, -563.983521, 32.188003
1548014113.765691, 242.696045, -598.003845, 31.982729
1548014113.772102, 242.696045, -598.003845, 31.982729
1548014113.777948, 236.269974, -634.723389, 31.768850
1548014113.783806, 230.044113, -637.419006, 31.656458
1548014113.789576, 230.044113, -637.419006, 31.656458
1548014113.795076, 225.194824, -636.835693, 31.588073
1548014113.801324, 219.634811, -638.294922, 31.461341
1548014113.806918, 214.325897, -629.756348, 31.457981
1548014113.812367, 214.325897, -629.756348, 31.457981
1548014113.818451, 209.581619, -609.620361, 31.411093
1548014113.824016, 209.581619, -609.620361, 31.411093
1548014113.829709, 205.249802, -579.491455, 31.225894
1548014113.835745, 201.227890, -547.655640, 31.069749
1548014113.853041, 196.778946, -410.535431, 31.044391
1548014113.858576, 195.992828, -325.498383, 31.051119
1548014113.864021, 195.992828, -325.498383, 31.051119
1548014113.869987, 195.849228, -243.066086, 29.852135
1548014113.875881, 195.849228, -243.066086, 29.852135
1548014113.881713, 195.910202, -176.737747, 28.695618
1548014113.887720, 196.651917, -106.877655, 28.050277
1548014113.893415, 199.026886, -5.564981, 28.018585
1548014113.899486, 199.026886, -5.564981, 28.018585
1548014113.904950, 199.026886, -5.564981, 28.018585
1548014113.910562, 204.598190, 158.813324, 28.027436
