time,est_amp,est_freq,est_phase
1551390216.877118, 0.997147, 0.043289, 0.000107
1551390217.029639, 5.907731, 0.046506, 0.397662
1551390217.061707, 7.131700, 0.054110, 0.400479
1551390217.238154, 10.862832, 0.053070, 3.277768
1551390217.417198, 19.690329, 0.050296, 4.701072
1551390217.531414, 24.409868, 0.050780, 6.835134
1551390217.640645, 42.925586, 0.049243, 8.720160
1551390217.724714, 10.236464, 0.048681, 9.242564
1551390217.808634, 32.217704, 0.051981, 9.350375
1551390217.887220, 96.124485, 0.051939, 10.650574
1551390218.000508, 104.901341, 0.049278, 13.737076
1551390218.067601, 136.511922, 0.046649, 16.471955
1551390218.111577, 328.282393, 0.026915, 17.278760
1551390218.151924, 375.639969, 0.029016, 18.604185
1551390218.226770, 376.292688, 0.029729, 19.846759
1551390218.300286, 366.996013, 0.028987, 21.405516
1551390218.425837, 366.118630, 0.028042, 23.035608
1551390218.552123, 316.656668, 0.025405, 24.782801
1551390218.637808, 309.952378, 0.021383, 26.781847
1551390218.721293, 278.050257, 0.020613, 27.990443
1551390218.824271, 295.329585, 0.018262, 29.509996
1551390218.914792, 284.225783, 0.018127, 30.463458
1551390218.995165, 293.823452, 0.018570, 31.390928
1551390219.094426, 313.034987, 0.019098, 32.176175
1551390219.168502, 319.874070, 0.019040, 33.124903
1551390219.255154, 358.933293, 0.020089, 33.888550
1551390219.363926, 420.635102, 0.020511, 34.761276
1551390219.474858, 428.988829, 0.021219, 35.733617
1551390219.547510, 484.462497, 0.021747, 36.725270
1551390219.619250, 492.735110, 0.022613, 37.621143
1551390219.714654, 482.452803, 0.021884, 38.804994
1551390219.783857, 482.721509, 0.021394, 39.947030
1551390219.887072, 473.075414, 0.021588, 41.018625
1551390219.981224, 483.165260, 0.022245, 42.086400
1551390220.066542, 423.276582, 0.021912, 43.281414
1551390220.151445, 406.058769, 0.022972, 44.212847
1551390220.236923, 367.332653, 0.023421, 45.118916
1551390220.325704, 364.812662, 0.023332, 46.287916
1551390220.443014, 371.811001, 0.021654, 47.734937
1551390220.517772, 375.049303, 0.019954, 49.068345
1551390220.596855, 314.457445, 0.017291, 50.568880
1551390220.689256, 320.384274, 0.015971, 51.718614
1551390220.765830, 311.112264, 0.015916, 52.530226
1551390220.862769, 310.643117, 0.014994, 53.445127
1551390220.949863, 312.717362, 0.013355, 54.537660
1551390221.037976, 298.243220, 0.013521, 55.174939
1551390221.127346, 291.995077, 0.013508, 55.861241
1551390221.248361, 286.752881, 0.014437, 56.389593
1551390221.336797, 288.181819, 0.015161, 57.018512
1551390221.451148, 286.454146, 0.016391, 57.512367
1551390221.562173, 287.991179, 0.016502, 58.308874
1551390221.630289, 293.292169, 0.016698, 59.088418
1551390221.711339, 288.417910, 0.016123, 59.988639
1551390221.793859, 296.396056, 0.015975, 60.848864
1551390221.905631, 315.732979, 0.015723, 61.690504
1551390222.001622, 320.472083, 0.015633, 62.476158
1551390222.099266, 323.002140, 0.015557, 63.311374
1551390222.185372, 332.863079, 0.015857, 64.057217
1551390222.292687, 345.530787, 0.015832, 64.850995
1551390222.387048, 359.171965, 0.016362, 65.523996
1551390222.480425, 354.339731, 0.015884, 66.402401
1551390222.567418, 355.512862, 0.015591, 67.258206
1551390222.679965, 365.165598, 0.015440, 68.062601
1551390222.769545, 362.315473, 0.015403, 68.854265
1551390222.861316, 360.593163, 0.015128, 69.695449
1551390222.961554, 373.169562, 0.015779, 70.353417
1551390223.053740, 383.666595, 0.015740, 71.147043
1551390223.148007, 392.597456, 0.016378, 71.818216
1551390223.236253, 389.043007, 0.016088, 72.645374
1551390223.325176, 391.864236, 0.015841, 73.504293
1551390223.424286, 381.405851, 0.015852, 74.298378
1551390223.515362, 377.421771, 0.016157, 75.060381
1551390223.594540, 373.893558, 0.015579, 75.987958
1551390223.691156, 369.439783, 0.016127, 76.650303
1551390223.774170, 375.174666, 0.016044, 77.469411
1551390223.855326, 380.608979, 0.016611, 78.174428
1551390223.982612, 418.184979, 0.017992, 78.813467
1551390224.070414, 378.902273, 0.019628, 79.391697
1551390224.153535, 385.030209, 0.022150, 80.011987
1551390224.230091, 423.096816, 0.022886, 80.951168
1551390224.335986, 444.466458, 0.023661, 81.851585
1551390224.412096, 443.156973, 0.024287, 82.884989
1551390224.493315, 457.598116, 0.024214, 84.100615
1551390224.571786, 454.373192, 0.022872, 85.612332
1551390224.694710, 433.441685, 0.022276, 86.854358
1551390224.793268, 405.714584, 0.022761, 87.928403
1551390224.874957, 386.382063, 0.021395, 89.178298
1551390224.969654, 335.060002, 0.019129, 90.464626
1551390225.061709, 298.777086, 0.014735, 92.189476
1551390225.170420, 250.801673, 0.012936, 93.090428
1551390225.247095, 172.066486, 0.009379, 94.461024
1551390225.389750, 172.066486, 0.000500, 97.243320
1551390225.422732, 172.066486, 0.000500, 97.253634
1551390225.542745, 794.224408, 0.000500, 97.265391
1551390225.637575, 557.338106, 0.000500, 97.301588
1551390225.738978, 925.314569, 0.000500, 97.336530
1551390225.817466, 925.314569, 0.000500, 97.346079
1551390225.915110, 578.022895, 0.001078, 97.346079
1551390225.983601, 151.129624, 0.006642, 97.346079
1551390226.081806, 195.809354, 0.009470, 97.346079
1551390226.175794, 246.857817, 0.011553, 97.346079
1551390226.267675, 266.723281, 0.014156, 97.346079
1551390226.351065, 268.281247, 0.014545, 98.008497
1551390226.450751, 270.507402, 0.014732, 98.711629
1551390226.537508, 250.006907, 0.014764, 99.435375
1551390226.633888, 245.477509, 0.015892, 100.005048
1551390226.731293, 242.319567, 0.014704, 100.908283
1551390226.834744, 233.285142, 0.012947, 101.876087
1551390226.932167, 205.299033, 0.011682, 102.635973
1551390227.007500, 184.180886, 0.010716, 103.463672
1551390227.091820, 188.024791, 0.009328, 104.385193
1551390227.165834, 192.934530, 0.008300, 105.069949
1551390227.246297, 174.354456, 0.010203, 105.160068
1551390227.369104, 179.021948, 0.010798, 105.586516
1551390227.444399, 183.526524, 0.010853, 106.096603
1551390227.566123, 195.682383, 0.011387, 106.531613
1551390227.687173, 214.280381, 0.011267, 107.142015
1551390227.804841, 208.255076, 0.012319, 107.523200
1551390227.887633, 211.871859, 0.015010, 107.636136
1551390227.984419, 268.795472, 0.015586, 108.383582
1551390228.082607, 340.456328, 0.015507, 109.107167
1551390228.162861, 370.542401, 0.016482, 109.596845
1551390228.248524, 376.417074, 0.016646, 110.354457
1551390228.372180, 437.815384, 0.015388, 111.537725
1551390228.427120, 469.983546, 0.015679, 112.237615
1551390228.505041, 486.884062, 0.016747, 112.840586
1551390228.590926, 501.179536, 0.017167, 113.612904
1551390228.666919, 494.369192, 0.017610, 114.380044
1551390228.750080, 487.629436, 0.018259, 115.172591
1551390228.825644, 495.121882, 0.018266, 116.024602
1551390228.905380, 491.441002, 0.017996, 116.986135
1551390228.985045, 491.490891, 0.018080, 117.869158
1551390229.075893, 488.834248, 0.018305, 118.758287
1551390229.171847, 480.574321, 0.018053, 119.730819
1551390229.290644, 441.113735, 0.018779, 120.523007
1551390229.361854, 416.016560, 0.019649, 121.340299
1551390229.451363, 449.526808, 0.020431, 122.169601
1551390229.539644, 460.519369, 0.020717, 123.100855
1551390229.621465, 452.072839, 0.020463, 124.151355
1551390229.704403, 459.552167, 0.020549, 125.187335
1551390229.795663, 494.665832, 0.019827, 126.342341
1551390229.888040, 532.073964, 0.018835, 127.522407
1551390229.980395, 567.240850, 0.019370, 128.350757
1551390230.073565, 614.638453, 0.019321, 129.346018
1551390230.188631, 619.762358, 0.019856, 130.280114
1551390230.262201, 655.986573, 0.020340, 131.186046
